entry_mode,cost_scenario,fee_rate,slippage_rate,total_return,profit_factor,max_drawdown,avg_trade,total_fee,trade_count
B0,C1,0.0005,0.0002,-29.907376336964543,0.8675737235666177,-55.621036636254175,-1.7802009724383665,249.0332113542195,168
B0,C2,0.00075,0.0003,-43.723933530956586,0.7953978111125979,-59.33921129407291,-2.602615091128367,336.5256666019792,168
B0,C3,0.001,0.0004,-54.82856503468566,0.7294591428814495,-64.21617752008743,-3.2636050615884336,405.96595321992606,168
B1,C1,0.0005,0.0002,7.346313286128514,1.030508854271304,-43.783898053607906,0.5523543824156765,270.57179050469006,133
B1,C2,0.00075,0.0003,-9.868258293194486,0.957057274561095,-47.05133323516646,-0.7419743077589814,370.16163284100253,133
B1,C3,0.001,0.0004,-24.337675552089667,0.8891471523811176,-50.13238125228997,-1.829900417450358,451.27316929685196,133
B2,C1,0.0005,0.0002,26.696876864350116,1.1964445132607695,-30.508366095252406,3.422676521070531,157.13020294821615,78
B2,C2,0.00075,0.0003,13.614873503191461,1.1009837206977955,-32.95799493210618,1.7454966029732686,222.22660514593193,78
B2,C3,0.001,0.0004,2.419104634966507,1.0180749480264464,-34.98313295556332,0.3101416198675045,280.7481854536394,78
B3,C1,0.0005,0.0002,87.86021309242835,1.9960695354340097,-21.649636858129305,21.965053273107095,107.43677987728813,40
B3,C2,0.00075,0.0003,78.14653939628423,1.8720617560753705,-22.89226944574907,19.53663484907106,156.5595728316494,40
B3,C3,0.001,0.0004,68.92466501714192,1.757601317378099,-24.116627606263698,17.231166254285462,202.8326842493483,40
