reason,trade_count,win_rate,net_pnl,avg_pnl,avg_duration_minutes
ATR Stop Loss,175,0.0,-5161.498164223327,-29.494275224133297,238.3657142857143
Donchian Long Exit,244,53.278688524590166,6081.458433282753,24.924009972470298,957.172131147541
