label,total_return_pct,profit_factor,max_drawdown_pct,total_trades
B0,4.022544486348673,1.0354795068414306,-28.026557119737753,88
B1,3.3191270347372566,1.027446255538384,-25.612771986547028,72
B2,18.37562618926424,1.5359877867849883,-18.063976802192073,40
B3,13.688780040698944,1.9275779740534529,-12.43837536013882,24
