prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P0_ALL_TREND_CONTEXT,1,2024Q1,197,0.00549627990588276,0.7918781725888325,0.025380710659898477
P0_ALL_TREND_CONTEXT,1,2024Q2,103,0.006223769567301772,0.8737864077669902,0.0
P0_ALL_TREND_CONTEXT,1,2024Q3,105,0.005167320546886447,0.8476190476190476,0.009523809523809525
P0_ALL_TREND_CONTEXT,1,2024Q4,164,0.006546160522253336,0.8170731707317073,0.006097560975609756
P0_ALL_TREND_CONTEXT,1,2025Q1,99,0.006804081510490236,0.7676767676767676,0.0
P0_ALL_TREND_CONTEXT,1,2025Q2,145,0.007318264478570663,0.8482758620689655,0.013793103448275862
P0_ALL_TREND_CONTEXT,1,2025Q3,169,0.005934822012130794,0.727810650887574,0.03550295857988166
P0_ALL_TREND_CONTEXT,1,2025Q4,105,0.005987930189110343,0.7619047619047619,0.01904761904761905
P0_ALL_TREND_CONTEXT,1,2026Q1,106,0.005288477901540519,0.7830188679245284,0.018867924528301886
P0_ALL_TREND_CONTEXT,1,2026Q2,85,0.006614751091774601,0.8588235294117647,0.0
P0_ALL_TREND_CONTEXT,4,2024Q1,197,0.0040794755721384815,0.8578680203045685,0.04568527918781726
P0_ALL_TREND_CONTEXT,4,2024Q2,103,0.0059829624091565356,0.9029126213592233,0.038834951456310676
P0_ALL_TREND_CONTEXT,4,2024Q3,105,0.004972342769432113,0.8952380952380953,0.0380952380952381
P0_ALL_TREND_CONTEXT,4,2024Q4,164,0.006500215108821384,0.8902439024390244,0.08536585365853659
P0_ALL_TREND_CONTEXT,4,2025Q1,99,0.0076901488624951525,0.898989898989899,0.04040404040404041
P0_ALL_TREND_CONTEXT,4,2025Q2,145,0.008158386979701232,0.8827586206896552,0.07586206896551724
P0_ALL_TREND_CONTEXT,4,2025Q3,169,0.00586868732504059,0.7988165680473372,0.08875739644970414
P0_ALL_TREND_CONTEXT,4,2025Q4,105,0.005934940911439174,0.8571428571428571,0.047619047619047616
P0_ALL_TREND_CONTEXT,4,2026Q1,106,0.005775688650557059,0.8679245283018868,0.0660377358490566
P0_ALL_TREND_CONTEXT,4,2026Q2,85,0.007847662064134545,0.9176470588235294,0.047058823529411764
P0_ALL_TREND_CONTEXT,8,2024Q1,197,0.003659433594955098,0.8934010152284264,0.06091370558375635
P0_ALL_TREND_CONTEXT,8,2024Q2,103,0.006827816745657171,0.9223300970873787,0.04854368932038835
P0_ALL_TREND_CONTEXT,8,2024Q3,105,0.004462795862994271,0.9238095238095239,0.047619047619047616
P0_ALL_TREND_CONTEXT,8,2024Q4,164,0.005715197174181886,0.8963414634146342,0.0975609756097561
P0_ALL_TREND_CONTEXT,8,2025Q1,99,0.006605216105982366,0.9090909090909091,0.06060606060606061
P0_ALL_TREND_CONTEXT,8,2025Q2,145,0.007870203798794283,0.8827586206896552,0.0896551724137931
P0_ALL_TREND_CONTEXT,8,2025Q3,169,0.005939824849973255,0.834319526627219,0.1242603550295858
P0_ALL_TREND_CONTEXT,8,2025Q4,105,0.006319328127286596,0.8761904761904762,0.05714285714285714
P0_ALL_TREND_CONTEXT,8,2026Q1,106,0.004259475595758385,0.8679245283018868,0.09433962264150944
P0_ALL_TREND_CONTEXT,8,2026Q2,85,0.008241562251501602,0.9411764705882353,0.047058823529411764
P0_ALL_TREND_CONTEXT,16,2024Q1,197,0.0034828535025767287,0.9035532994923858,0.06598984771573604
P0_ALL_TREND_CONTEXT,16,2024Q2,103,0.009117059043737346,0.9320388349514563,0.06796116504854369
P0_ALL_TREND_CONTEXT,16,2024Q3,105,0.003641763513650899,0.9238095238095239,0.06666666666666667
P0_ALL_TREND_CONTEXT,16,2024Q4,164,0.006296649437270295,0.8963414634146342,0.0975609756097561
P0_ALL_TREND_CONTEXT,16,2025Q1,99,0.009014309917985922,0.9292929292929293,0.06060606060606061
P0_ALL_TREND_CONTEXT,16,2025Q2,145,0.0067562805732770004,0.8896551724137931,0.0896551724137931
P0_ALL_TREND_CONTEXT,16,2025Q3,169,0.007933011048948979,0.8402366863905325,0.14201183431952663
P0_ALL_TREND_CONTEXT,16,2025Q4,105,0.004880195649273569,0.8857142857142857,0.0761904761904762
P0_ALL_TREND_CONTEXT,16,2026Q1,106,0.0058568830635694,0.8867924528301887,0.09433962264150944
P0_ALL_TREND_CONTEXT,16,2026Q2,85,0.009715576003146178,0.9411764705882353,0.047058823529411764
P0_ALL_TREND_CONTEXT,32,2024Q1,197,0.004463721446874316,0.9137055837563451,0.06598984771573604
P0_ALL_TREND_CONTEXT,32,2024Q2,103,0.008145707963183244,0.9320388349514563,0.06796116504854369
P0_ALL_TREND_CONTEXT,32,2024Q3,105,0.0025681441224684547,0.9238095238095239,0.06666666666666667
P0_ALL_TREND_CONTEXT,32,2024Q4,164,0.008138579468324355,0.8963414634146342,0.0975609756097561
P0_ALL_TREND_CONTEXT,32,2025Q1,99,0.004364096071197886,0.9292929292929293,0.06060606060606061
P0_ALL_TREND_CONTEXT,32,2025Q2,145,0.00945912964252307,0.8896551724137931,0.0896551724137931
P0_ALL_TREND_CONTEXT,32,2025Q3,169,0.01122493494974479,0.8402366863905325,0.14201183431952663
P0_ALL_TREND_CONTEXT,32,2025Q4,105,0.001407038979307136,0.8952380952380953,0.08571428571428572
P0_ALL_TREND_CONTEXT,32,2026Q1,106,0.008381492829401796,0.8867924528301887,0.10377358490566038
P0_ALL_TREND_CONTEXT,32,2026Q2,85,0.0072001684263281965,0.9411764705882353,0.047058823529411764
P1_C1_FIRST_BREAKOUT,1,2024Q1,44,0.005517052521168956,0.8181818181818182,0.0
P1_C1_FIRST_BREAKOUT,1,2024Q2,34,0.005715640679622576,0.8823529411764706,0.0
P1_C1_FIRST_BREAKOUT,1,2024Q3,38,0.005772230491754413,0.868421052631579,0.0
P1_C1_FIRST_BREAKOUT,1,2024Q4,43,0.007763570643914863,0.9069767441860465,0.0
P1_C1_FIRST_BREAKOUT,1,2025Q1,31,0.010164680837258962,0.8709677419354839,0.0
P1_C1_FIRST_BREAKOUT,1,2025Q2,48,0.008083934585577287,0.8958333333333334,0.0
P1_C1_FIRST_BREAKOUT,1,2025Q3,39,0.007584187108512511,0.7948717948717948,0.0
P1_C1_FIRST_BREAKOUT,1,2025Q4,29,0.008428383403349723,0.8620689655172413,0.034482758620689655
P1_C1_FIRST_BREAKOUT,1,2026Q1,33,0.006079655602827218,0.8787878787878788,0.0
P1_C1_FIRST_BREAKOUT,1,2026Q2,32,0.004988607169195972,0.8125,0.0
P1_C1_FIRST_BREAKOUT,4,2024Q1,44,0.005211015627535189,0.8863636363636364,0.022727272727272728
P1_C1_FIRST_BREAKOUT,4,2024Q2,34,0.004368120981046745,0.9117647058823529,0.058823529411764705
P1_C1_FIRST_BREAKOUT,4,2024Q3,38,0.006146594316190798,0.8947368421052632,0.05263157894736842
P1_C1_FIRST_BREAKOUT,4,2024Q4,43,0.00722400712230163,0.9069767441860465,0.06976744186046512
P1_C1_FIRST_BREAKOUT,4,2025Q1,31,0.012838534543663413,0.967741935483871,0.0
P1_C1_FIRST_BREAKOUT,4,2025Q2,48,0.00685040800264462,0.8958333333333334,0.08333333333333333
P1_C1_FIRST_BREAKOUT,4,2025Q3,39,0.008607334688355022,0.8717948717948718,0.05128205128205128
P1_C1_FIRST_BREAKOUT,4,2025Q4,29,0.009237611589246304,0.896551724137931,0.034482758620689655
P1_C1_FIRST_BREAKOUT,4,2026Q1,33,0.00624317608033702,0.9393939393939394,0.030303030303030304
P1_C1_FIRST_BREAKOUT,4,2026Q2,32,0.006296578533685107,0.875,0.09375
P1_C1_FIRST_BREAKOUT,8,2024Q1,44,0.005660335145591245,0.9772727272727273,0.022727272727272728
P1_C1_FIRST_BREAKOUT,8,2024Q2,34,0.004063308117142992,0.9117647058823529,0.058823529411764705
P1_C1_FIRST_BREAKOUT,8,2024Q3,38,0.005698070947663103,0.8947368421052632,0.07894736842105263
P1_C1_FIRST_BREAKOUT,8,2024Q4,43,0.007881383219920423,0.9302325581395349,0.06976744186046512
P1_C1_FIRST_BREAKOUT,8,2025Q1,31,0.01063412202483322,0.967741935483871,0.0
P1_C1_FIRST_BREAKOUT,8,2025Q2,48,0.006876405838846284,0.8958333333333334,0.08333333333333333
P1_C1_FIRST_BREAKOUT,8,2025Q3,39,0.008723130673350035,0.8974358974358975,0.05128205128205128
P1_C1_FIRST_BREAKOUT,8,2025Q4,29,0.008465761299923897,0.9655172413793104,0.034482758620689655
P1_C1_FIRST_BREAKOUT,8,2026Q1,33,0.005009287683934675,0.9393939393939394,0.030303030303030304
P1_C1_FIRST_BREAKOUT,8,2026Q2,32,0.006986499308636592,0.875,0.09375
P1_C1_FIRST_BREAKOUT,16,2024Q1,44,0.00665598249192709,0.9772727272727273,0.022727272727272728
P1_C1_FIRST_BREAKOUT,16,2024Q2,34,0.007692740314710478,0.9117647058823529,0.08823529411764706
P1_C1_FIRST_BREAKOUT,16,2024Q3,38,0.006245862297596733,0.8947368421052632,0.10526315789473684
P1_C1_FIRST_BREAKOUT,16,2024Q4,43,0.008096454471933343,0.9302325581395349,0.06976744186046512
P1_C1_FIRST_BREAKOUT,16,2025Q1,31,0.01311726986383883,1.0,0.0
P1_C1_FIRST_BREAKOUT,16,2025Q2,48,0.00474235220452586,0.9166666666666666,0.08333333333333333
P1_C1_FIRST_BREAKOUT,16,2025Q3,39,0.010701896225592176,0.8974358974358975,0.07692307692307693
P1_C1_FIRST_BREAKOUT,16,2025Q4,29,0.008184671701577011,0.9655172413793104,0.034482758620689655
P1_C1_FIRST_BREAKOUT,16,2026Q1,33,0.00545603242507881,0.9696969696969697,0.030303030303030304
P1_C1_FIRST_BREAKOUT,16,2026Q2,32,0.010465379971643117,0.875,0.09375
P1_C1_FIRST_BREAKOUT,32,2024Q1,44,0.0069424368291321,0.9772727272727273,0.022727272727272728
P1_C1_FIRST_BREAKOUT,32,2024Q2,34,0.007129350565398266,0.9117647058823529,0.08823529411764706
P1_C1_FIRST_BREAKOUT,32,2024Q3,38,0.0056229493999552125,0.8947368421052632,0.10526315789473684
P1_C1_FIRST_BREAKOUT,32,2024Q4,43,0.010205765693656834,0.9302325581395349,0.06976744186046512
P1_C1_FIRST_BREAKOUT,32,2025Q1,31,0.011604961859420258,1.0,0.0
P1_C1_FIRST_BREAKOUT,32,2025Q2,48,0.004195447560336703,0.9166666666666666,0.08333333333333333
P1_C1_FIRST_BREAKOUT,32,2025Q3,39,0.016444511871607323,0.8974358974358975,0.07692307692307693
P1_C1_FIRST_BREAKOUT,32,2025Q4,29,0.0025981458851042655,0.9655172413793104,0.034482758620689655
P1_C1_FIRST_BREAKOUT,32,2026Q1,33,0.00813506430917216,0.9696969696969697,0.030303030303030304
P1_C1_FIRST_BREAKOUT,32,2026Q2,32,0.008933341850375684,0.875,0.09375
P2_STRONG_BREAKOUT,1,2024Q1,130,0.006609084096067026,0.8769230769230769,0.007692307692307693
P2_STRONG_BREAKOUT,1,2024Q2,74,0.007311028654513813,0.9459459459459459,0.0
P2_STRONG_BREAKOUT,1,2024Q3,56,0.006471103803564669,0.9464285714285714,0.0
P2_STRONG_BREAKOUT,1,2024Q4,110,0.008318749709876155,0.9272727272727272,0.0
P2_STRONG_BREAKOUT,1,2025Q1,56,0.008606585803333065,0.8928571428571429,0.0
P2_STRONG_BREAKOUT,1,2025Q2,88,0.008663643371492115,0.9318181818181818,0.0
P2_STRONG_BREAKOUT,1,2025Q3,95,0.007354121593449405,0.8210526315789474,0.010526315789473684
P2_STRONG_BREAKOUT,1,2025Q4,60,0.007251188574433432,0.8166666666666667,0.0
P2_STRONG_BREAKOUT,1,2026Q1,57,0.005827255661624137,0.8596491228070176,0.0
P2_STRONG_BREAKOUT,1,2026Q2,51,0.00774397155289118,0.9411764705882353,0.0
P2_STRONG_BREAKOUT,4,2024Q1,130,0.004806598038530196,0.9153846153846154,0.023076923076923078
