comparison,base_prototype,test_prototype,horizon,base_event_count,test_event_count,base_mean_ret,test_mean_ret,incremental_mean_ret,base_plus_1atr_rate,test_plus_1atr_rate,incremental_plus_1atr_rate,base_mean_mae,test_mean_mae,incremental_mae_improvement,interpretation
P3_vs_P0,P0_ALL_TREND_CONTEXT,P3_MOMENTUM_TOP20,1,1278,256,0.006126179107328416,0.009011029361530329,0.0028848502542019126,0.8035993740219093,0.77734375,-0.026255624021909285,0.0028435222922420077,0.00434887057706961,0.0015053482848276026,weak_incremental
P3_vs_P0,P0_ALL_TREND_CONTEXT,P3_MOMENTUM_TOP20,4,1278,256,0.006139730172127261,0.009617804651750479,0.003478074479623218,0.8716744913928013,0.859375,-0.012299491392801287,3.4131038401448095e-06,0.00046933152828139554,0.0004659184244412507,weak_incremental
P3_vs_P0,P0_ALL_TREND_CONTEXT,P3_MOMENTUM_TOP20,8,1278,256,0.005825158410050934,0.009382351939436257,0.003557193529385323,0.8904538341158059,0.88671875,-0.00373508411580592,-0.002172450444929162,-0.002005017670392017,0.00016743277453714484,weak_incremental
P3_vs_P0,P0_ALL_TREND_CONTEXT,P3_MOMENTUM_TOP20,16,1278,256,0.0064257004996994445,0.01159067178404826,0.005164971284348816,0.8982785602503912,0.89453125,-0.0037473102503912115,-0.004922492489471526,-0.004953094417970818,-3.0601928499291234e-05,weak_incremental
P3_vs_P0,P0_ALL_TREND_CONTEXT,P3_MOMENTUM_TOP20,32,1278,256,0.006785264613153003,0.012256707066700626,0.005471442453547623,0.9006259780907668,0.89453125,-0.006094728090766832,-0.009236790270778679,-0.00984076854652571,-0.0006039782757470309,weak_incremental
P4_vs_P0,P0_ALL_TREND_CONTEXT,P4_BREAKOUT_TOP20,1,1278,256,0.006126179107328416,0.01193819332871868,0.0058120142213902645,0.8035993740219093,0.984375,0.18077562597809071,0.0028435222922420077,0.007935837872508629,0.005092315580266621,clear_incremental
P4_vs_P0,P0_ALL_TREND_CONTEXT,P4_BREAKOUT_TOP20,4,1278,256,0.006139730172127261,0.012546926664730555,0.0064071964926032945,0.8716744913928013,0.9921875,0.12051300860719871,3.4131038401448095e-06,0.00463515445436366,0.004631741350523516,clear_incremental
P4_vs_P0,P0_ALL_TREND_CONTEXT,P4_BREAKOUT_TOP20,8,1278,256,0.005825158410050934,0.012732123976304008,0.006906965566253074,0.8904538341158059,0.9921875,0.10173366588419408,-0.002172450444929162,0.0028434097499336034,0.005015860194862765,clear_incremental
P4_vs_P0,P0_ALL_TREND_CONTEXT,P4_BREAKOUT_TOP20,16,1278,256,0.0064257004996994445,0.013302721966683926,0.006877021466984481,0.8982785602503912,0.9921875,0.09390893974960879,-0.004922492489471526,4.2259117091725425e-05,0.004964751606563252,clear_incremental
P4_vs_P0,P0_ALL_TREND_CONTEXT,P4_BREAKOUT_TOP20,32,1278,256,0.006785264613153003,0.014371904292728346,0.007586639679575343,0.9006259780907668,0.9921875,0.09156152190923317,-0.009236790270778679,-0.0035534288790764726,0.005683361391702207,clear_incremental
P5_vs_P0,P0_ALL_TREND_CONTEXT,P5_MOMENTUM_AND_BREAKOUT_TOP40,1,1278,188,0.006126179107328416,0.012710305146297602,0.006584126038969186,0.8035993740219093,0.9787234042553191,0.17512403023340983,0.0028435222922420077,0.00818486545166127,0.005341343159419263,clear_incremental
P5_vs_P0,P0_ALL_TREND_CONTEXT,P5_MOMENTUM_AND_BREAKOUT_TOP40,4,1278,188,0.006139730172127261,0.013122791795014325,0.0069830616228870645,0.8716744913928013,0.9946808510638298,0.12300635967102846,3.4131038401448095e-06,0.004133305512883581,0.004129892409043437,clear_incremental
P5_vs_P0,P0_ALL_TREND_CONTEXT,P5_MOMENTUM_AND_BREAKOUT_TOP40,8,1278,188,0.005825158410050934,0.012436225881101753,0.006611067471050819,0.8904538341158059,0.9946808510638298,0.10422701694802383,-0.002172450444929162,0.0012818906972988091,0.0034543411422279712,clear_incremental
P5_vs_P0,P0_ALL_TREND_CONTEXT,P5_MOMENTUM_AND_BREAKOUT_TOP40,16,1278,188,0.0064257004996994445,0.013358057109946659,0.0069323566102472145,0.8982785602503912,0.9946808510638298,0.09640229081343854,-0.004922492489471526,-0.0018553618100381204,0.0030671306794334057,clear_incremental
P5_vs_P0,P0_ALL_TREND_CONTEXT,P5_MOMENTUM_AND_BREAKOUT_TOP40,32,1278,188,0.006785264613153003,0.014982060121521727,0.008196795508368724,0.9006259780907668,0.9946808510638298,0.09405487297306292,-0.009236790270778679,-0.005439838710695667,0.003796951560083012,clear_incremental
P6_vs_P0,P0_ALL_TREND_CONTEXT,P6_MOMENTUM_OR_BREAKOUT_TOP20,1,1278,454,0.006126179107328416,0.009420093478953128,0.003293914371624712,0.8035993740219093,0.8678414096916299,0.06424203566972064,0.0028435222922420077,0.0052713506581712226,0.002427828365929215,clear_incremental
P6_vs_P0,P0_ALL_TREND_CONTEXT,P6_MOMENTUM_OR_BREAKOUT_TOP20,4,1278,454,0.006139730172127261,0.00982613000185115,0.0036863998297238893,0.8716744913928013,0.9162995594713657,0.04462506807856437,3.4131038401448095e-06,0.0019263286911117596,0.0019229155872716147,clear_incremental
P6_vs_P0,P0_ALL_TREND_CONTEXT,P6_MOMENTUM_OR_BREAKOUT_TOP20,8,1278,454,0.005825158410050934,0.009889330931752434,0.0040641725217015,0.8904538341158059,0.9317180616740088,0.041264227558202915,-0.002172450444929162,-0.0002006095141198159,0.001971840930809346,clear_incremental
