comparison,base_prototype,test_prototype,horizon,base_event_count,test_event_count,base_mean_ret,test_mean_ret,incremental_mean_ret,base_plus_1atr_rate,test_plus_1atr_rate,incremental_plus_1atr_rate,base_mean_mae,test_mean_mae,incremental_mae_improvement,interpretation
P6_vs_P0,P0_ALL_TREND_CONTEXT,P6_MOMENTUM_OR_BREAKOUT_TOP20,16,1278,454,0.0064257004996994445,0.011073039647297072,0.004647339147597627,0.8982785602503912,0.9361233480176211,0.03784478776722988,-0.004922492489471526,-0.00319871629720272,0.0017237761922688066,clear_incremental
P6_vs_P0,P0_ALL_TREND_CONTEXT,P6_MOMENTUM_OR_BREAKOUT_TOP20,32,1278,454,0.006785264613153003,0.011711620007663985,0.0049263553945109815,0.9006259780907668,0.9361233480176211,0.03549736992685426,-0.009236790270778679,-0.007663813289595109,0.0015729769811835695,clear_incremental
P7_vs_P1,P1_C1_FIRST_BREAKOUT,P7_C1_PLUS_MOMENTUM_TOP40,1,371,52,0.006991549425102548,0.014249525141867316,0.007257975716764767,0.8598382749326146,0.8269230769230769,-0.03291519800953768,0.0039506268106939205,0.009377053966739353,0.005426427156045433,weak_incremental
P7_vs_P1,P1_C1_FIRST_BREAKOUT,P7_C1_PLUS_MOMENTUM_TOP40,4,371,52,0.007169568622331265,0.015609607391810195,0.008440038769478929,0.9029649595687331,0.8461538461538461,-0.05681111341488698,0.0013610059302862543,0.005877052996464057,0.004516047066177802,weak_incremental
P7_vs_P1,P1_C1_FIRST_BREAKOUT,P7_C1_PLUS_MOMENTUM_TOP40,8,371,52,0.006945936132872678,0.014552066314943173,0.007606130182070495,0.9245283018867925,0.9038461538461539,-0.020682148040638615,-0.0007755726029157423,0.0033140398001648076,0.00408961240308055,weak_incremental
P7_vs_P1,P1_C1_FIRST_BREAKOUT,P7_C1_PLUS_MOMENTUM_TOP40,16,371,52,0.007934893915921865,0.012285903128334828,0.004351009212412963,0.9326145552560647,0.9038461538461539,-0.028768401409910882,-0.003473781909920753,-0.0012719940260801472,0.002201787883840606,weak_incremental
P7_vs_P1,P1_C1_FIRST_BREAKOUT,P7_C1_PLUS_MOMENTUM_TOP40,32,371,52,0.008173926407936651,0.015149733833999122,0.0069758074260624706,0.9326145552560647,0.9038461538461539,-0.028768401409910882,-0.007710903035921457,-0.006613373157379158,0.0010975298785422987,weak_incremental
P8_vs_P1,P1_C1_FIRST_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,1,371,197,0.006991549425102548,0.009807293646519506,0.002815744221416958,0.8598382749326146,0.9796954314720813,0.11985715653946671,0.0039506268106939205,0.0063276204454170756,0.002376993634723155,clear_incremental
P8_vs_P1,P1_C1_FIRST_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,4,371,197,0.007169568622331265,0.010107142786518176,0.0029375741641869116,0.9029649595687331,0.9847715736040609,0.08180661403532774,0.0013610059302862543,0.0037154366238872326,0.002354430693600978,clear_incremental
P8_vs_P1,P1_C1_FIRST_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,8,371,197,0.006945936132872678,0.010189888736097098,0.0032439526032244197,0.9245283018867925,0.9898477157360406,0.06531941384924811,-0.0007755726029157423,0.0017102308577707623,0.0024858034606865045,clear_incremental
P8_vs_P1,P1_C1_FIRST_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,16,371,197,0.007934893915921865,0.010822563715666369,0.002887669799744504,0.9326145552560647,0.9898477157360406,0.05723316047997584,-0.003473781909920753,-0.0010525947814944883,0.0024211871284262644,clear_incremental
P8_vs_P1,P1_C1_FIRST_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,32,371,197,0.008173926407936651,0.012410974210622292,0.004237047802685641,0.9326145552560647,0.9898477157360406,0.05723316047997584,-0.007710903035921457,-0.0046999003282297645,0.003011002707691692,clear_incremental
P4_vs_P2,P2_STRONG_BREAKOUT,P4_BREAKOUT_TOP20,1,777,256,0.0074424964523042685,0.01193819332871868,0.004495696876414412,0.8944658944658944,0.984375,0.08990910553410558,0.00397860031343286,0.007935837872508629,0.003957237559075769,clear_incremental
P4_vs_P2,P2_STRONG_BREAKOUT,P4_BREAKOUT_TOP20,4,777,256,0.007409648544124065,0.012546926664730555,0.00513727812060649,0.9266409266409267,0.9921875,0.06554657335907332,0.0009405256765688763,0.00463515445436366,0.003694628777794784,clear_incremental
P4_vs_P2,P2_STRONG_BREAKOUT,P4_BREAKOUT_TOP20,8,777,256,0.007109777360166819,0.012732123976304008,0.005622346616137188,0.9356499356499357,0.9921875,0.056537564350064295,-0.0012840132984427014,0.0028434097499336034,0.0041274230483763046,clear_incremental
P4_vs_P2,P2_STRONG_BREAKOUT,P4_BREAKOUT_TOP20,16,777,256,0.007629565553084065,0.013302721966683926,0.0056731564135998605,0.9407979407979408,0.9921875,0.05138955920205923,-0.004183725417154245,4.2259117091725425e-05,0.004225984534245971,clear_incremental
P4_vs_P2,P2_STRONG_BREAKOUT,P4_BREAKOUT_TOP20,32,777,256,0.008420280826421699,0.014371904292728346,0.0059516234663066474,0.9407979407979408,0.9921875,0.05138955920205923,-0.008480205323901088,-0.0035534288790764726,0.004926776444824615,clear_incremental
P8_vs_P2,P2_STRONG_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,1,777,197,0.0074424964523042685,0.009807293646519506,0.0023647971942152377,0.8944658944658944,0.9796954314720813,0.08522953700618685,0.00397860031343286,0.0063276204454170756,0.0023490201319842155,clear_incremental
P8_vs_P2,P2_STRONG_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,4,777,197,0.007409648544124065,0.010107142786518176,0.0026974942423941117,0.9266409266409267,0.9847715736040609,0.05813064696313419,0.0009405256765688763,0.0037154366238872326,0.0027749109473183564,clear_incremental
P8_vs_P2,P2_STRONG_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,8,777,197,0.007109777360166819,0.010189888736097098,0.003080111375930278,0.9356499356499357,0.9898477157360406,0.054197780086104874,-0.0012840132984427014,0.0017102308577707623,0.0029942441562134637,clear_incremental
P8_vs_P2,P2_STRONG_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,16,777,197,0.007629565553084065,0.010822563715666369,0.0031929981625823034,0.9407979407979408,0.9898477157360406,0.04904977493809981,-0.004183725417154245,-0.0010525947814944883,0.003131130635659757,clear_incremental
P8_vs_P2,P2_STRONG_BREAKOUT,P8_C1_PLUS_BREAKOUT_TOP40,32,777,197,0.008420280826421699,0.012410974210622292,0.003990693384200593,0.9407979407979408,0.9898477157360406,0.04904977493809981,-0.008480205323901088,-0.0046999003282297645,0.003780304995671323,clear_incremental
