prototype,horizon,event_count,mean_fwd_ret,median_fwd_ret,mean_mfe,mean_mae,plus_1atr_first_rate,minus_1atr_first_rate,ambiguous_rate,top1_event_contribution,top5_event_contribution,top10_event_contribution,sample_status
P0_ALL_TREND_CONTEXT,1,1278,0.006126179107328416,0.004828508479117977,0.010247217594115182,0.0028435222922420077,0.8035993740219093,0.01486697965571205,0.010954616588419406,0.009970671687552416,0.03614693590714815,0.05591812624847233,valid
P0_ALL_TREND_CONTEXT,4,1278,0.006139730172127261,0.0043584051635251475,0.013274956099114816,3.4131038401448095e-06,0.8716744913928013,0.06025039123630673,0.010954616588419406,0.011586900053870926,0.04243575803388936,0.06932693630876675,valid
P0_ALL_TREND_CONTEXT,8,1278,0.005825158410050934,0.004261733732727202,0.015233138352368706,-0.002172450444929162,0.8904538341158059,0.07668231611893583,0.010954616588419406,0.01248272646371186,0.04611918610205086,0.07391423962130089,valid
P0_ALL_TREND_CONTEXT,16,1278,0.0064257004996994445,0.004153686896116837,0.018366704111592358,-0.004922492489471526,0.8982785602503912,0.08450704225352113,0.010954616588419406,0.014378118152207698,0.04745845928457823,0.07423185387761348,valid
P0_ALL_TREND_CONTEXT,32,1278,0.006785264613153003,0.004541828730027397,0.022834102952291217,-0.009236790270778679,0.9006259780907668,0.08607198748043818,0.010954616588419406,0.012744367065853444,0.045201965419520276,0.07438925377150733,valid
P1_C1_FIRST_BREAKOUT,1,371,0.006991549425102548,0.004901210923397903,0.011069180169719242,0.0039506268106939205,0.8598382749326146,0.0026954177897574125,0.005390835579514825,0.02959368660453381,0.09443466950202418,0.1483159255810702,valid
P1_C1_FIRST_BREAKOUT,4,371,0.007169568622331265,0.0049383189973102315,0.013773603773398363,0.0013610059302862543,0.9029649595687331,0.05121293800539083,0.005390835579514825,0.036144133422492036,0.11506513202046385,0.17771654540277862,valid
P1_C1_FIRST_BREAKOUT,8,371,0.006945936132872678,0.004720319853081856,0.015876782269856688,-0.0007755726029157423,0.9245283018867925,0.05390835579514825,0.005390835579514825,0.02714920499807924,0.11115403595439839,0.17329860174296435,valid
P1_C1_FIRST_BREAKOUT,16,371,0.007934893915921865,0.004968773736180321,0.0192466035512755,-0.003473781909920753,0.9326145552560647,0.06199460916442048,0.005390835579514825,0.03230058291123833,0.11353553730405354,0.17618723915731943,valid
P1_C1_FIRST_BREAKOUT,32,371,0.008173926407936651,0.004969257980291575,0.023551914987025763,-0.007710903035921457,0.9326145552560647,0.06199460916442048,0.005390835579514825,0.04034011623576011,0.11369273755673932,0.183579843148696,valid
P2_STRONG_BREAKOUT,1,777,0.0074424964523042685,0.005960550236971951,0.011873066253509621,0.00397860031343286,0.8944658944658944,0.002574002574002574,0.014157014157014158,0.013798884112867487,0.05002545417684167,0.07685399552220186,valid
P2_STRONG_BREAKOUT,4,777,0.007409648544124065,0.005505449241775651,0.01486123386962687,0.0009405256765688763,0.9266409266409267,0.023166023166023165,0.014157014157014158,0.01652995711599038,0.06053916554241724,0.09732028148435949,valid
P2_STRONG_BREAKOUT,8,777,0.007109777360166819,0.0051423028378170255,0.016931444943863123,-0.0012840132984427014,0.9356499356499357,0.032175032175032175,0.014157014157014158,0.017943797342627407,0.06629587946414378,0.10527128885581742,valid
P2_STRONG_BREAKOUT,16,777,0.007629565553084065,0.005522101949738234,0.019934886709121802,-0.004183725417154245,0.9407979407979408,0.039897039897039896,0.014157014157014158,0.021119451370132557,0.06831348054437998,0.10282753936763313,valid
P2_STRONG_BREAKOUT,32,777,0.008420280826421699,0.005795826636394219,0.024767072551319547,-0.008480205323901088,0.9407979407979408,0.04247104247104247,0.014157014157014158,0.018886983745425724,0.06537167469343952,0.10279341555136126,valid
P3_MOMENTUM_TOP20,1,256,0.009011029361530329,0.00673241637327604,0.01481138520873155,0.00434887057706961,0.77734375,0.015625,0.0078125,0.03422540131733599,0.12023282755102277,0.18512750643442497,valid
P3_MOMENTUM_TOP20,4,256,0.009617804651750479,0.0059331997084451915,0.01952403306440892,0.00046933152828139554,0.859375,0.0546875,0.0078125,0.038573733549723856,0.1322538587851288,0.21205549440018348,valid
P3_MOMENTUM_TOP20,8,256,0.009382351939436257,0.006664714356526602,0.02221235046528954,-0.002005017670392017,0.88671875,0.078125,0.0078125,0.041791577363689554,0.1488361765084305,0.23245619713360643,valid
P3_MOMENTUM_TOP20,16,256,0.01159067178404826,0.0085464327038558,0.026714510567289046,-0.004953094417970818,0.89453125,0.0859375,0.0078125,0.04585818889080035,0.13780925812813188,0.2146560856730375,valid
P3_MOMENTUM_TOP20,32,256,0.012256707066700626,0.00881979863997051,0.032713212913049655,-0.00984076854652571,0.89453125,0.0859375,0.0078125,0.03996925605481767,0.13094518844407402,0.22060704671971218,valid
P4_BREAKOUT_TOP20,1,256,0.01193819332871868,0.00974301192311855,0.01701306342446296,0.007935837872508629,0.984375,0.00390625,0.00390625,0.02668241548847567,0.09673245622096982,0.1496419423539396,valid
P4_BREAKOUT_TOP20,4,256,0.012546926664730555,0.009084782837359473,0.020495105654071283,0.00463515445436366,0.9921875,0.00390625,0.00390625,0.03201321910633493,0.11603635662019401,0.18391996065234914,valid
P4_BREAKOUT_TOP20,8,256,0.012732123976304008,0.009719334692792958,0.023058181111793568,0.0028434097499336034,0.9921875,0.00390625,0.00390625,0.03483052112818811,0.12278961678819213,0.18945109427174534,valid
P4_BREAKOUT_TOP20,16,256,0.013302721966683926,0.009944172147200447,0.02596124695683275,4.2259117091725425e-05,0.9921875,0.00390625,0.00390625,0.04417473800146046,0.1264264137594203,0.1922755016565651,valid
P4_BREAKOUT_TOP20,32,256,0.014371904292728346,0.012231704011204658,0.03085644638692815,-0.0035534288790764726,0.9921875,0.00390625,0.00390625,0.039549749016735476,0.1155697292583265,0.18617422623331867,valid
P5_MOMENTUM_AND_BREAKOUT_TOP40,1,188,0.012710305146297602,0.009397782308886216,0.018839800010651536,0.00818486545166127,0.9787234042553191,0.0,0.0,0.034013055601412934,0.12330841686076494,0.1907540832570533,valid
P5_MOMENTUM_AND_BREAKOUT_TOP40,4,188,0.013122791795014325,0.009929345827281999,0.023369738781030627,0.004133305512883581,0.9946808510638298,0.005319148936170213,0.0,0.04039092521568612,0.14640251537901391,0.2310594700700684,valid
