prototype,horizon,original_mean_ret,remove_best_1_event,remove_best_5_events,remove_best_10pct_positive_events,remove_best_1_month,remove_best_quarter,tail_dependence_status
P0_ALL_TREND_CONTEXT,1,0.006126179107328416,0.0060670568371962086,0.0059177835871199735,0.004595182398696325,0.006069374693860265,0.005973617431397149,not_tail_dependent
P0_ALL_TREND_CONTEXT,4,0.006139730172127261,0.0060610381431512135,0.005857074958148648,0.004082353483187488,0.0060362791018505006,0.005881384861360954,not_tail_dependent
P0_ALL_TREND_CONTEXT,8,0.005825158410050934,0.005732960146498179,0.005489421857958312,0.0035210071071679885,0.005549950940785643,0.005652992168204072,not_tail_dependent
P0_ALL_TREND_CONTEXT,16,0.0064257004996994445,0.006296459634791397,0.006006346630331432,0.003663096752990277,0.00622739321867526,0.006191300317140373,not_tail_dependent
P0_ALL_TREND_CONTEXT,32,0.006785264613153003,0.006644342817578663,0.006291615601000878,0.003314964109619974,0.006228717689803127,0.006108705292247672,not_tail_dependent
P1_C1_FIRST_BREAKOUT,1,0.006991549425102548,0.006798709184444526,0.006404018846121579,0.005117718823263554,0.006799333044026194,0.006702234502229463,not_tail_dependent
P1_C1_FIRST_BREAKOUT,4,0.007169568622331265,0.006900758128946916,0.006340038976478139,0.004742912460151845,0.006788364752192924,0.006652692317739216,not_tail_dependent
P1_C1_FIRST_BREAKOUT,8,0.006945936132872678,0.006729315057005691,0.006066545676278286,0.004414018406070461,0.006642509164320859,0.006609660360370393,not_tail_dependent
P1_C1_FIRST_BREAKOUT,16,0.007934893915921865,0.007617547717027157,0.006839436660320734,0.00483651776990589,0.007475600868498969,0.007462383167729434,not_tail_dependent
P1_C1_FIRST_BREAKOUT,32,0.008173926407936651,0.007691308918332196,0.006847596911890727,0.00413278856154111,0.007796352592202892,0.007202381729975338,not_tail_dependent
P2_STRONG_BREAKOUT,1,0.0074424964523042685,0.007346900032698788,0.007107385169272574,0.0057277676653116035,0.007364007796560296,0.007286529937226577,not_tail_dependent
P2_STRONG_BREAKOUT,4,0.007409648544124065,0.007281787973724044,0.006951785207939103,0.005131333067123584,0.007310353730546997,0.007138875436722751,not_tail_dependent
P2_STRONG_BREAKOUT,8,0.007109777360166819,0.006959709623560177,0.006564480033659915,0.0045220756845564805,0.006994262285392826,0.00678243913771424,not_tail_dependent
P2_STRONG_BREAKOUT,16,0.007629565553084065,0.0074184357599987654,0.006960548580793579,0.0046392654779481325,0.007399069473126953,0.0074484812325021415,not_tail_dependent
P2_STRONG_BREAKOUT,32,0.008420280826421699,0.008190484284237212,0.007637571185745628,0.004616302908014932,0.00827120061689972,0.007653348248250272,not_tail_dependent
P3_MOMENTUM_TOP20,1,0.009011029361530329,0.008726267445041593,0.00804811225686787,0.006595716715240808,0.008918925035662767,0.00880629375866684,not_tail_dependent
P3_MOMENTUM_TOP20,4,0.009617804651750479,0.00923736682224934,0.008352862057194385,0.00627969524965685,0.009502058861720071,0.00915920707848292,not_tail_dependent
P3_MOMENTUM_TOP20,8,0.009382351939436257,0.008934587276583375,0.007816048612217047,0.005786555601415319,0.009271375657266446,0.008544916108087145,not_tail_dependent
P3_MOMENTUM_TOP20,16,0.01159067178404826,0.010963708595015989,0.009768667719209317,0.00750897143338019,0.011465889582884544,0.010395599487166464,not_tail_dependent
P3_MOMENTUM_TOP20,32,0.012256707066700626,0.011624934237056494,0.010238119664871127,0.0072975336354459425,0.012160594392971739,0.01130067343065816,not_tail_dependent
P4_BREAKOUT_TOP20,1,0.01193819332871868,0.011664910486611077,0.010997048204741006,0.009504775242550416,0.011640410034758585,0.011542790069642306,not_tail_dependent
P4_BREAKOUT_TOP20,4,0.012546926664730555,0.012177975588221498,0.01125705170693571,0.009115057439248767,0.012022988898380355,0.012131227265793588,not_tail_dependent
P4_BREAKOUT_TOP20,8,0.012732123976304008,0.01229749567438002,0.0112502940633511,0.009005781535451186,0.012358860034798753,0.01238574222197981,not_tail_dependent
P4_BREAKOUT_TOP20,16,0.013302721966683926,0.0126824726999365,0.01161261697880439,0.00931515581657058,0.012782600407229328,0.012940570064055084,not_tail_dependent
P4_BREAKOUT_TOP20,32,0.014371904292728346,0.013748426354166676,0.012639958731959234,0.010071996060061953,0.013873312049980761,0.01344941323080056,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,1,0.012710305146297602,0.012341775665442737,0.01144054084558448,0.01001092114454248,0.012323161323424,0.01252342264200722,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,4,0.013122791795014325,0.012622756183359105,0.011369353058647731,0.009315330313876392,0.012577099110942569,0.012828437698143007,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,8,0.012436225881101753,0.011841968581177583,0.010281377282967024,0.008032617448307456,0.01200861819046918,0.011930166760211252,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,16,0.013358057109946659,0.0125125585651481,0.01104144685726114,0.009013716639884008,0.012803944364363247,0.012805484757858168,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,32,0.014982060121521727,0.014135125797968611,0.012417491556578883,0.00996510825832201,0.01445344373651675,0.013661958816157428,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,1,0.009420093478953128,0.009260700047193295,0.00886593328882568,0.007355409719563887,0.009275398987461374,0.009255383473162062,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,4,0.00982613000185115,0.009612436136127772,0.009065800183930982,0.006871285368002292,0.00961007723718643,0.009547425701498594,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,8,0.009889330931752434,0.009638397134765306,0.008982712294323921,0.00662784073502321,0.009737588615165776,0.009527513426072779,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,16,0.011073039647297072,0.010718970673036631,0.010048738576120389,0.007414672118730337,0.0108833766363153,0.010394260137488872,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,32,0.011711620007663985,0.011354783012921622,0.010577119176585171,0.007406299224475864,0.010775156649020042,0.011291076296283818,not_tail_dependent
P7_C1_PLUS_MOMENTUM_TOP40,1,0.014249525141867316,0.01299280135114764,0.010446412092437298,0.010446412092437298,0.01299280135114764,0.012770206377108184,not_tail_dependent
P7_C1_PLUS_MOMENTUM_TOP40,4,0.015609607391810195,0.013824904572540974,0.01004774235915382,0.01004774235915382,0.013824904572540974,0.01361024099053583,not_tail_dependent
P7_C1_PLUS_MOMENTUM_TOP40,8,0.014552066314943173,0.013129641454380146,0.008513209799981577,0.009263955443984713,0.013129641454380146,0.014200133137942881,not_tail_dependent
P7_C1_PLUS_MOMENTUM_TOP40,16,0.012285903128334828,0.010519854554345242,0.005903894057587225,0.006796249495960409,0.010519854554345242,0.009278924410235017,not_tail_dependent
P7_C1_PLUS_MOMENTUM_TOP40,32,0.015149733833999122,0.01349931910942067,0.008456771405360972,0.009542098812974633,0.01358913028786728,0.011963929511073081,not_tail_dependent
P8_C1_PLUS_BREAKOUT_TOP40,1,0.009807293646519506,0.009457624540284551,0.008760640152769767,0.0074124412828242186,0.00942565191214505,0.00935669608745067,not_tail_dependent
P8_C1_PLUS_BREAKOUT_TOP40,4,0.010107142786518176,0.00961468202943643,0.00860235122630302,0.007126670820400659,0.009391329677037315,0.009312581800784604,not_tail_dependent
P8_C1_PLUS_BREAKOUT_TOP40,8,0.010189888736097098,0.009797511973507506,0.008598028610589675,0.0070452622626847395,0.009573121865418345,0.009666742152293665,not_tail_dependent
P8_C1_PLUS_BREAKOUT_TOP40,16,0.010822563715666369,0.010355564650941179,0.00922219328135137,0.007525497566576684,0.009965299049173945,0.010054672810495428,not_tail_dependent
P8_C1_PLUS_BREAKOUT_TOP40,32,0.012410974210622292,0.011967556299515774,0.010609580521947293,0.008220632379533958,0.011689818752702393,0.010947200320327245,not_tail_dependent
