label,trend_regime,volatility_regime,trade_count,net_pnl,profit_factor,win_rate,avg_mae,avg_mfe,top5_profit_contribution,cost_2x_pf
B0,downtrend,high_vol,39,-568.2311307955756,0.26487076970118295,17.94871794871795,-2.1274984769663887,2.6611455956363685,0.0,0.23544647963287932
B0,downtrend,low_vol,72,-415.5923323232883,0.5277753169780842,22.22222222222222,-2.190915389976242,4.1857169008827,0.0,0.4513986005327447
B0,downtrend,mid_vol,53,-347.7595475231013,0.5132939574316655,28.30188679245283,-2.042972829739802,3.907629408418611,0.0,0.4435013353802906
B0,range,high_vol,2,123.54539438669713,4.898451710247227,50.0,-0.9835552685641795,8.20041819177763,125.65120910364138,4.541527450917583
B0,range,low_vol,10,322.44176939799564,8.415368099708326,80.0,-1.324735524778347,9.311292645313483,102.13661999919562,7.512409595660176
B0,range,mid_vol,12,236.17580160255255,6.2636034534494405,66.66666666666666,-1.1554333738474598,7.924341996302882,112.17644535391042,5.153287333460794
B0,uptrend,high_vol,47,-313.2649803326552,0.6535478040141477,25.53191489361702,-1.9958586110705998,4.968341971860073,0.0,0.5851445614058763
B0,uptrend,low_vol,86,-528.5814542365991,0.4712386417497988,20.930232558139537,-2.177801005691767,4.288011156632786,0.0,0.40064035594975483
B0,uptrend,mid_vol,80,909.5452443834447,1.8552914546205936,30.0,-2.0430076177976217,6.2911126583985375,122.46570831893035,1.669857626232987
B1,downtrend,high_vol,32,-622.771630418904,0.3201379086139827,21.875,-2.059554955888003,2.979380784749372,0.0,0.2851281852566163
B1,downtrend,low_vol,57,-498.1745343949828,0.5064778319111725,22.807017543859647,-2.206237788445801,3.7368070203435764,0.0,0.4337607895563514
B1,downtrend,mid_vol,43,-371.48430608167416,0.5849749251454388,32.55813953488372,-2.0946847933172585,3.971843925524086,0.0,0.5110395088632017
B1,range,high_vol,2,168.11582703576133,6.711718976709098,50.0,-0.9835552685641795,8.20041819177763,117.50786416624732,6.222671525331915
B1,range,low_vol,8,329.9415010777413,9.101107714048682,87.5,-0.9522113149943523,9.758451742427113,111.8898381988243,7.811144011257194
B1,range,mid_vol,11,285.64308202716455,4.294539071723854,63.63636363636363,-1.0960919594281964,7.429587259300257,124.77135782850422,3.6844417468792234
B1,uptrend,high_vol,41,-70.45944045090573,0.9292827537214948,31.70731707317073,-1.981489828249731,5.131381142753459,0.0,0.8349204689538212
B1,uptrend,low_vol,67,-530.9706260756242,0.5953865207893744,23.88059701492537,-2.223899917393965,4.577333874815987,0.0,0.5166276397360121
B1,uptrend,mid_vol,63,1167.7685097479311,1.9020346375604895,34.92063492063492,-1.9777623728893134,6.9037055593968,136.63194701461333,1.7182403010980312
B2,downtrend,high_vol,17,-358.02972048153197,0.20770958065823014,11.76470588235294,-1.7378148147642551,2.643057776238168,0.0,0.1807046589853913
B2,downtrend,low_vol,34,-384.04768769271135,0.4506816359944452,23.52941176470588,-2.215572991658625,3.697291705290688,0.0,0.38695924877750976
B2,downtrend,mid_vol,24,128.17028587089368,1.3012764352317439,37.5,-1.6709461027770232,4.557851408809774,362.25796872858444,1.1399195980943888
B2,range,high_vol,2,194.01912663871417,inf,100.0,-1.604771280924314,7.903905656170124,100.0,inf
B2,range,low_vol,6,238.465810798608,5.042251534299568,66.66666666666666,-0.7531155060794098,7.869036970097714,124.73868811761804,4.416158566922309
B2,range,mid_vol,7,164.21826521029158,2.22643078056483,57.14285714285714,-1.6182485105686069,7.934332368789694,181.53741864986887,2.0344414819880297
B2,uptrend,high_vol,26,157.97139321351443,1.3001383055834985,23.076923076923077,-1.6525744853621747,5.2522045425839154,414.984515782774,1.1604041169238766
B2,uptrend,low_vol,35,-313.307175897645,0.5943744709335698,20.0,-2.0899596520233006,3.785324660976722,0.0,0.5210465120679639
