symbol,side,event_count,trade_count,conversion_rate,ignored_due_to_position_count,missing_execution_count,avg_bars_held,median_bars_held
BNBUSDT,long,2692,1332,0.4947994056463596,1360,0,5.753053053053053,3.6
BNBUSDT,short,174,120,0.6896551724137931,54,0,3.4288888888888893,2.033333333333333
BTCUSDT,long,2496,1158,0.4639423076923077,1338,0,5.239838802533103,3.0
BTCUSDT,short,142,100,0.704225352112676,42,0,2.833333333333333,1.8666666666666667
ETHUSDT,long,2478,1180,0.47619047619047616,1298,0,6.0581920903954805,3.8
ETHUSDT,short,160,132,0.825,28,0,3.4747474747474745,2.033333333333333
SOLUSDT,long,2396,1140,0.4757929883138564,1256,0,5.95578947368421,4.066666666666666
SOLUSDT,short,178,122,0.6853932584269663,56,0,3.7901639344262295,2.1333333333333333
