period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2020Q1,BNBUSDT,fixed_1x,14,-0.10787136385361916,0.18447841096603074,-0.0988097485706676,0.21428571428571427,valid
2020Q1,BNBUSDT,fixed_risk_0_5pct,14,-0.04800000270486954,0.20123017662276968,-0.0425679805696183,0.21428571428571427,valid
2020Q1,BTCUSDT,fixed_1x,21,-0.03261870917683855,0.6576630564008976,-0.06257271336203374,0.3333333333333333,valid
2020Q1,BTCUSDT,fixed_risk_0_5pct,21,-0.01756993433085687,0.7083343358455485,-0.03312624451917279,0.3333333333333333,valid
2020Q1,ETHUSDT,fixed_1x,21,-0.07558857701413181,0.44521322236361527,-0.07167491086857192,0.3333333333333333,valid
2020Q1,ETHUSDT,fixed_risk_0_5pct,21,-0.03556741768627216,0.5379451818507426,-0.03188493844812068,0.3333333333333333,valid
2020Q2,BNBUSDT,fixed_1x,29,-0.02924653429812149,0.7434135945157622,-0.05189512913460215,0.3103448275862069,valid
2020Q2,BNBUSDT,fixed_risk_0_5pct,29,-0.03834001968489577,0.6034033525184409,-0.04623189651192272,0.3103448275862069,valid
2020Q2,BTCUSDT,fixed_1x,22,-0.03317249875702064,0.6216126598789052,-0.0505991015214885,0.3181818181818182,valid
2020Q2,BTCUSDT,fixed_risk_0_5pct,22,-0.029761419463493317,0.567947225195006,-0.042213575812634296,0.3181818181818182,valid
2020Q2,ETHUSDT,fixed_1x,38,-0.03687556144297182,0.7600008806359552,-0.04815448859587235,0.3684210526315789,valid
2020Q2,ETHUSDT,fixed_risk_0_5pct,38,-0.04113294342421391,0.6736558164845319,-0.046381206588167245,0.3684210526315789,valid
2020Q3,BNBUSDT,fixed_1x,18,0.07523829856542605,3.0258839224862664,-0.01772512173573848,0.6111111111111112,valid
2020Q3,BNBUSDT,fixed_risk_0_5pct,18,0.04912685283213532,2.418294975018258,-0.01657851334319238,0.6111111111111112,valid
2020Q3,BTCUSDT,fixed_1x,20,-0.047447734065792,0.22026290191072806,-0.047314974389661035,0.15,valid
