symbol,side_scope,sizing_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,avg_bars_held,median_bars_held,fee_to_gross_profit_ratio,funding_status,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,sample_status
ETHUSDT,both,fixed_1x,656,-0.6595003717443133,-0.1529792823820092,-0.661084060337491,0.6563396203910608,0.34603658536585363,5.548662935517422,-4.473302699549579,1.2403951416201104,5.798272357723577,3.466666666666667,0.27439118873049373,unavailable,340.49962825568673,,,,2363 days 19:09:00,valid
ETHUSDT,long_only,fixed_1x,590,-0.6164093712325779,-0.13728075872554224,-0.6156709640933173,0.6510802206372847,0.3440677966101695,5.666072243256966,-4.564914823291323,1.241221898456301,6.0581920903954805,3.8,0.2711516825881861,unavailable,383.5906287674221,,,,2358 days 05:55:00,valid
ETHUSDT,short_only,fixed_1x,66,-0.04309100051173653,-0.0067651365907032135,-0.05813678387077337,0.7172966968919314,0.36363636363636365,4.555575874220442,-3.6291624165006446,1.2552692195608801,3.474747474747475,2.033333333333333,0.3070074077900793,unavailable,956.9089994882635,,,,1993 days 01:36:00,valid
ETHUSDT,both,fixed_risk_0_5pct,656,-0.5932906002898036,-0.12946466621500008,-0.5947946579700567,0.597413388699745,0.34603658536585363,3.8784414028755996,-3.435190673059589,1.1290323513312361,5.798272357723577,3.466666666666667,0.3308270712650752,unavailable,406.70939971019635,,,,2363 days 19:09:00,valid
ETHUSDT,long_only,fixed_risk_0_5pct,590,-0.5565269193790798,-0.11777702276193902,-0.555317973432619,0.5874235461987461,0.3440677966101695,3.9033460054558384,-3.48554562916438,1.1198665634429297,6.0581920903954805,3.8,0.32888240508337546,unavailable,443.4730806209201,,,,2358 days 05:55:00,valid
ETHUSDT,short_only,fixed_risk_0_5pct,66,-0.03676368091072291,-0.005755829389931466,-0.0533612293666238,0.7053971288606292,0.36363636363636365,3.6677899727177468,-2.9712057203797326,1.234444975506101,3.474747474747475,2.033333333333333,0.347569529635735,unavailable,963.2363190892771,,,,1993 days 01:36:00,valid
BTCUSDT,both,fixed_1x,629,-0.7102214253596006,-0.17377467762331056,-0.7130555840597016,0.5462619913801883,0.2845786963434022,4.776794537416504,-3.4783725501270113,1.3732843358719817,5.048542660307366,2.933333333333333,0.38685369052349494,unavailable,289.7785746403993,,,,2338 days 13:38:00,valid
BTCUSDT,long_only,fixed_1x,579,-0.6758252528062161,-0.15936843030986791,-0.6789958208209578,0.5403071419826009,0.28324697754749567,4.843547011015482,-3.542570994247603,1.3672406336754839,5.239838802533103,3.0,0.3844569961741095,unavailable,324.1747471937839,,,,2338 days 13:38:00,valid
BTCUSDT,short_only,fixed_1x,50,-0.03439617255338445,-0.005379615945189542,-0.031012715474684538,0.6383183509824977,0.3,4.046967492734352,-2.71716242698285,1.4894094856258278,2.833333333333333,1.8666666666666667,0.4170572091932891,unavailable,965.6038274466156,,,,1122 days 04:40:00,valid
BTCUSDT,both,fixed_risk_0_5pct,629,-0.6851282778838653,-0.16313215363182132,-0.6877816901218459,0.4839468919933073,0.2845786963434022,3.5894025663878306,-2.9502918605939703,1.216626264787644,5.048542660307366,2.933333333333333,0.45748772109721236,unavailable,314.87172211613466,,,,2338 days 13:38:00,valid
BTCUSDT,long_only,fixed_risk_0_5pct,579,-0.6405948666179265,-0.1458962015913785,-0.6436235602487801,0.48211996251333217,0.28324697754749567,3.6363489272926044,-2.9806170860094285,1.219998685628249,5.239838802533103,3.0,0.4525016144107527,unavailable,359.4051333820735,,,,2338 days 13:38:00,valid
BTCUSDT,short_only,fixed_risk_0_5pct,50,-0.04453341126593935,-0.006996013723394756,-0.04117389084264811,0.5088691462239024,0.3,3.0761223538289726,-2.5907213306678245,1.1873613411891057,2.833333333333333,1.8666666666666667,0.5187102223451058,unavailable,955.4665887340607,,,,2223 days 20:27:00,valid
SOLUSDT,both,fixed_1x,631,-0.5380384022579974,-0.1249810587407163,-0.6430511763270783,0.8495656515591173,0.34231378763866877,14.067258209175396,-8.618231748047913,1.632267339801082,5.746434231378764,4.0,0.157853771997537,unavailable,461.9615977420026,,,,1770 days 04:18:00,valid
SOLUSDT,long_only,fixed_1x,570,-0.47806526249768033,-0.10632045460880246,-0.6016756435827504,0.8526415903135648,0.3368421052631579,14.40713236173441,-8.58263141785896,1.6786381309298308,5.955789473684211,4.066666666666666,0.15681156562121804,unavailable,521.9347375023196,,,,1770 days 04:18:00,valid
SOLUSDT,short_only,fixed_1x,61,-0.05997313976031837,-0.010635051509441662,-0.10153843165804077,0.8195382025101476,0.39344262295081966,11.34826498870328,-8.98193241862695,1.263454728869811,3.7901639344262295,2.1333333333333333,0.1682781729754035,unavailable,940.0268602396816,,,,1834 days 03:17:00,valid
SOLUSDT,both,fixed_risk_0_5pct,631,-0.4947714852341456,-0.11133244305682677,-0.5230318040877783,0.7199229710803202,0.34231378763866877,5.887886797995883,-4.256759117111458,1.383185337955245,5.746434231378764,4.0,0.22440264424899747,unavailable,505.2285147658544,,,,1925 days 04:28:00,valid
SOLUSDT,long_only,fixed_risk_0_5pct,570,-0.461287504758196,-0.10141881792375729,-0.49307390036704024,0.7151374062816155,0.3368421052631579,6.031488897653599,-4.283950722507109,1.4079267686169306,5.955789473684211,4.066666666666666,0.22325718328283609,unavailable,538.7124952418039,,,,1925 days 04:28:00,valid
SOLUSDT,short_only,fixed_risk_0_5pct,61,-0.033483980475948694,-0.0058705054854684136,-0.03890046370413758,0.7725607742522947,0.39344262295081966,4.739070000734141,-3.97896379712346,1.1910311936389544,3.7901639344262295,2.1333333333333333,0.23576750222617718,unavailable,966.5160195240513,,,,1858 days 21:55:00,valid
BNBUSDT,both,fixed_1x,726,-0.6953110500162102,-0.1699973616940369,-0.7015336777993889,0.6491917983074967,0.3581267217630854,4.9489044568571305,-4.253275126178247,1.1635514538895906,5.560973370064279,3.5,0.2760852840453629,unavailable,304.6889499837898,,,,1983 days 13:00:00,valid
BNBUSDT,long_only,fixed_1x,666,-0.6621932952830538,-0.15646133687616492,-0.676804735803159,0.645947806537455,0.3588588588588589,5.054951775555563,-4.380156369182277,1.1540573782070849,5.753053053053052,3.6,0.270095429187794,unavailable,337.80670471694623,,,,1982 days 13:52:00,valid
BNBUSDT,short_only,fixed_1x,60,-0.03311775473315626,-0.005266182753415727,-0.03837502963503037,0.7035101072777771,0.35,3.7419849726225918,-2.864088183544377,1.306518770658729,3.428888888888889,2.033333333333333,0.36343576453660204,unavailable,966.8822452668437,,,,2077 days 08:22:00,valid
BNBUSDT,both,fixed_risk_0_5pct,726,-0.5722118072352191,-0.1246447325257527,-0.5781426398577565,0.6339881502384946,0.3581267217630854,3.812145441676785,-3.3548704336291495,1.1363018385043788,5.560973370064279,3.5,0.33750938119792073,unavailable,427.7881927647809,,,,2321 days 13:30:00,valid
BNBUSDT,long_only,fixed_risk_0_5pct,666,-0.5215703310302232,-0.10915500963115721,-0.5339672045875485,0.6405320662291654,0.3588588588588589,3.888621732295885,-3.398011534072459,1.1443815576562915,5.753053053053052,3.6,0.3279541633767074,unavailable,478.4296689697768,,,,1982 days 13:52:00,valid
BNBUSDT,short_only,fixed_risk_0_5pct,60,-0.05064147620499615,-0.008114518221821854,-0.052950444533166774,0.549527991816379,0.35,2.9417724198689297,-2.882530692878044,1.0205519848018465,3.428888888888889,2.033333333333333,0.47087729939300393,unavailable,949.3585237950039,,,,2077 days 08:22:00,valid
ALL,both,fixed_1x,2642,-0.6507678123445304,-0.14966728614746383,-0.6535807293371052,0.7121422037105501,0.33383800151400456,7.301400952975905,-5.138015278353905,1.4210547375630025,5.542190259904113,3.4,0.23670566558017328,unavailable,349.2321876554696,,,,2368 days 22:44:00,valid
ALL,both,fixed_risk_0_5pct,2642,-0.5863505426607585,-0.12719173696118047,-0.5886999489353277,0.6174677100535105,0.33383800151400456,4.292347642901652,-3.483666358910392,1.2321351130319484,5.542190259904113,3.4,0.32015994350721455,unavailable,413.64945733924156,,,,2368 days 22:44:00,valid
ALL,long_only,fixed_1x,2405,-0.6081232954548821,-0.13449257116395785,-0.6104133763070917,0.7087305582621214,0.3318087318087318,7.417114364659761,-5.196857775244566,1.4272305853724674,5.752404712404712,3.6,0.23464219772719278,unavailable,391.87670454511795,,,,2363 days 09:30:00,valid
ALL,long_only,fixed_risk_0_5pct,2405,-0.5449949054463564,-0.11432961803965325,-0.5468040384037376,0.6145821888558151,0.3318087318087318,4.356098904200163,-3.5196929354929405,1.2376360620191664,5.752404712404712,3.6,0.31637999065950295,unavailable,455.0050945536436,,,,2363 days 09:30:00,valid
ALL,short_only,fixed_1x,237,-0.042644516889648876,-0.00691902431896807,-0.04334241360390512,0.753341800555896,0.35443037974683544,6.202123541979274,-4.519976765260488,1.3721582795839535,3.4090014064697614,2.0,0.2595213205270201,unavailable,957.3554831103511,,,,2273 days 20:36:00,valid
ALL,short_only,fixed_risk_0_5pct,237,-0.04135563721440172,-0.006706142971538487,-0.042002389791793826,0.6518198806550772,0.35443037974683544,3.686710660565803,-3.105269570883231,1.1872433540503193,3.4090014064697614,2.0,0.36081862153538646,unavailable,958.6443627855983,,,,2273 days 20:36:00,valid
