period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2020-01,BTCUSDT,fixed_1x,5,0.009877030332908151,1.7676044936969872,-0.0046410525831195315,0.6,insufficient_sample
2020-01,BTCUSDT,fixed_risk_0_5pct,5,0.008498579852719375,1.8069561901197335,-0.0046410525831195315,0.6,insufficient_sample
2020-01,ETHUSDT,fixed_1x,12,-0.026221190642949203,0.5843001801687191,-0.039135548879389304,0.3333333333333333,valid
2020-01,ETHUSDT,fixed_risk_0_5pct,12,-0.023835228582045998,0.4617166567260291,-0.025947247339957236,0.3333333333333333,valid
2020-02,BNBUSDT,fixed_1x,10,-0.09509353431296949,0.10471549021439651,-0.08590213082374687,0.1,valid
2020-02,BNBUSDT,fixed_risk_0_5pct,10,-0.045951644082022736,0.07395246713254429,-0.040507934205792684,0.1,valid
2020-02,BTCUSDT,fixed_1x,9,-0.022883216909494034,0.37835311566071966,-0.02094680753724365,0.2222222222222222,insufficient_sample
2020-02,BTCUSDT,fixed_risk_0_5pct,9,-0.013840761344361496,0.44197748343278204,-0.0104077099001606,0.2222222222222222,insufficient_sample
2020-02,ETHUSDT,fixed_1x,7,-0.04634601438592985,0.2777614722217127,-0.06304622358031864,0.2857142857142857,insufficient_sample
2020-02,ETHUSDT,fixed_risk_0_5pct,7,-0.012131124001878397,0.5532373667022207,-0.026751530075055374,0.2857142857142857,insufficient_sample
2020-03,BNBUSDT,fixed_1x,4,-0.012777829540649661,0.5096173449918031,-0.025715379433559504,0.5,insufficient_sample
2020-03,BNBUSDT,fixed_risk_0_5pct,4,-0.002048358622846803,0.8043807420033938,-0.010383690490388453,0.5,insufficient_sample
2020-03,BTCUSDT,fixed_1x,7,-0.019612522600252667,0.5699431684043796,-0.03721814283299918,0.2857142857142857,insufficient_sample
2020-03,BTCUSDT,fixed_risk_0_5pct,7,-0.012227752839214744,0.5090261763437681,-0.016386269297113065,0.2857142857142857,insufficient_sample
2020-03,ETHUSDT,fixed_1x,2,-0.0030213719852527792,0.6643217972245429,-0.008947299140200204,0.5,insufficient_sample
2020-03,ETHUSDT,fixed_risk_0_5pct,2,0.00039893489765224554,1.0719690950498812,-0.005510398569348651,0.5,insufficient_sample
2020-04,BNBUSDT,fixed_1x,12,-0.011327342057695389,0.8147430899748757,-0.05189512913460215,0.3333333333333333,valid
2020-04,BNBUSDT,fixed_risk_0_5pct,12,-0.019011616655537935,0.5535143203354133,-0.03724209088624009,0.3333333333333333,valid
