symbol,side,sizing_mode,trade_count,total_return,profit_factor,max_drawdown,win_rate,avg_trade_return,top1_profit_contribution,sample_status
BNBUSDT,long,fixed_1x,666,-0.6621932952830529,0.645947806537455,-0.676804735803159,0.3588588588588589,-0.001624777786828721,,valid
BNBUSDT,long,fixed_risk_0_5pct,666,-0.5215703310302235,0.6405320662291654,-0.5339672045875485,0.3588588588588589,-0.0011268071445515232,,valid
BNBUSDT,short,fixed_1x,60,-0.03311775473315628,0.7035101072777771,-0.03837502963503037,0.35,-0.0012508085608003174,,valid
BNBUSDT,short,fixed_risk_0_5pct,60,-0.05064147620499615,0.549527991816379,-0.052950444533166774,0.35,-0.001447494063972475,,valid
BTCUSDT,long,fixed_1x,579,-0.6758252528062163,0.5403071419826009,-0.6789958208209578,0.28324697754749567,-0.001985431710911606,,valid
BTCUSDT,long,fixed_risk_0_5pct,579,-0.6405948666179256,0.48211996251333217,-0.6436235602487801,0.28324697754749567,-0.001835996940747456,,valid
BTCUSDT,short,fixed_1x,50,-0.034396172553384445,0.6383183509824977,-0.031012715474684538,0.3,-0.001462662495534982,,valid
BTCUSDT,short,fixed_risk_0_5pct,50,-0.044533411265939286,0.5088691462239024,-0.04117389084264811,0.3,-0.00167049274248892,,valid
ETHUSDT,long,fixed_1x,590,-0.6164093712325779,0.6510802206372847,-0.6156709640933173,0.3440677966101695,-0.0016293712612077433,,valid
ETHUSDT,long,fixed_risk_0_5pct,590,-0.5565269193790798,0.5874235461987461,-0.555317973432619,0.3440677966101695,-0.0013887506512779313,,valid
ETHUSDT,short,fixed_1x,66,-0.04309100051173649,0.7172966968919314,-0.05813678387077337,0.36363636363636365,-0.001297329598344655,,valid
ETHUSDT,short,fixed_risk_0_5pct,66,-0.036763680910722865,0.7053971288606292,-0.0533612293666238,0.36363636363636365,-0.0010381040147821677,,valid
SOLUSDT,long,fixed_1x,570,-0.4780652624976802,0.8526415903135648,-0.6016756435827504,0.3368421052631579,-0.001082902820937451,,valid
SOLUSDT,long,fixed_risk_0_5pct,570,-0.4612875047581962,0.7151374062816155,-0.49307390036704024,0.3368421052631579,-0.0010974025114256051,,valid
SOLUSDT,short,fixed_1x,61,-0.059973139760318386,0.8195382025101476,-0.10153843165804077,0.39344262295081966,-0.0012062479750109842,,valid
SOLUSDT,short,fixed_risk_0_5pct,61,-0.03348398047594864,0.7725607742522947,-0.03890046370413758,0.39344262295081966,-0.0007148483747907878,,valid
