symbol,prototype,leverage_mode,gate,base_gate,base_trade_count,gate_trade_count,trade_count_change,base_total_return,gate_total_return,return_change,base_max_drawdown,gate_max_drawdown,drawdown_improvement,base_liquidation_count,gate_liquidation_count,liquidation_reduction,base_profit_factor,gate_profit_factor,pf_change,risk_reduction_status
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,214,129,-85,7.511221651040357,18.503937287305874,10.992715636265517,-0.5088950395248163,-0.17577763851168915,0.33311740101312715,0,0,0,2.0640965594288274,2.496283960697565,0.43218740126873767,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,214,0,-214,7.511221651040357,0.0,-7.511221651040357,-0.5088950395248163,0.0,0.5088950395248163,0,0,0,2.0640965594288274,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,214,0,-214,7.511221651040357,0.0,-7.511221651040357,-0.5088950395248163,0.0,0.5088950395248163,0,0,0,2.0640965594288274,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,214,214,0,7.511221651040357,24.60272139143523,17.091499740394873,-0.5088950395248163,-0.2544475197624082,0.2544475197624081,0,0,0,2.0640965594288274,2.335381188055664,0.27128462862683644,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,214,129,-85,3.040580108672766,22.820497762697027,19.77991765402426,-0.6361187994060205,-0.21347352425153698,0.42264527515448347,0,0,0,1.739306087234531,2.13712009810293,0.3978140108683992,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,214,0,-214,3.040580108672766,0.0,-3.040580108672766,-0.6361187994060205,0.0,0.6361187994060205,0,0,0,1.739306087234531,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,214,0,-214,3.040580108672766,0.0,-3.040580108672766,-0.6361187994060205,0.0,0.6361187994060205,0,0,0,1.739306087234531,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,214,214,0,3.040580108672766,25.200421356760764,22.159841248087996,-0.6361187994060205,-0.3180593997030102,0.3180593997030102,0,0,0,1.739306087234531,2.1598327292666193,0.42052664203208834,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,214,129,-85,0.20236149321359065,19.757925172004526,19.555563678790936,-0.7633425592872244,-0.21755653353991133,0.545786025747313,0,0,0,1.1467751316911603,2.2463960483935015,1.0996209167023412,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,214,0,-214,0.20236149321359065,0.0,-0.20236149321359065,-0.7633425592872244,0.0,0.7633425592872244,0,0,0,1.1467751316911603,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,214,0,-214,0.20236149321359065,0.0,-0.20236149321359065,-0.7633425592872244,0.0,0.7633425592872244,0,0,0,1.1467751316911603,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,214,214,0,0.20236149321359065,20.660348264239424,20.457986771025833,-0.7633425592872244,-0.38167127964361214,0.38167127964361225,0,0,0,1.1467751316911603,2.0664871113786205,0.9197119796874602,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,fixed_10x,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,214,129,-85,9098.59537184153,2260.5194221095385,-6838.0759497319905,-0.6388737366634527,-0.4599369498869992,0.17893678677645353,0,0,0,2.029734553631149,1.7922227521480225,-0.23751180148312634,return_too_damaged
BNBUSDT,P4_BREAKOUT_TOP20,fixed_10x,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,214,0,-214,9098.59537184153,0.0,-9098.59537184153,-0.6388737366634527,0.0,0.6388737366634527,0,0,0,2.029734553631149,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,fixed_10x,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,214,0,-214,9098.59537184153,0.0,-9098.59537184153,-0.6388737366634527,0.0,0.6388737366634527,0,0,0,2.029734553631149,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,fixed_10x,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,214,214,0,9098.59537184153,6658.774416853746,-2439.820954987784,-0.6388737366634527,-0.39000331464482973,0.24887042201862297,0,0,0,2.029734553631149,1.9082941543462142,-0.12144039928493466,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,fixed_20x,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,214,129,-85,107684.49013515393,92215.30407505903,-15469.1860600949,-0.952785985929057,-0.7312034647393109,0.2215825211897462,1,0,1,1.560999049232252,1.3172768191546838,-0.24372223007756832,clear_risk_reduction
BNBUSDT,P4_BREAKOUT_TOP20,fixed_20x,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,214,0,-214,107684.49013515393,0.0,-107684.49013515393,-0.952785985929057,0.0,0.952785985929057,1,0,1,1.560999049232252,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,fixed_20x,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,214,0,-214,107684.49013515393,0.0,-107684.49013515393,-0.952785985929057,0.0,0.952785985929057,1,0,1,1.560999049232252,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,fixed_20x,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,214,214,0,107684.49013515393,362365.5756922481,254681.0855570942,-0.952785985929057,-0.6549343088695821,0.2978516770594749,1,0,1,1.560999049232252,1.4157087155944892,-0.1452903336377629,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,228,137,-91,7.7588777169390415,22.93239369538976,15.173515978450718,-0.5156644649720755,-0.16171574697208202,0.3539487179999935,0,0,0,2.0202224759575405,2.5543411542898267,0.5341186783322862,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,228,121,-107,7.7588777169390415,3.8764067413750203,-3.882470975564021,-0.5156644649720755,-0.2013562243003426,0.3143082406717329,0,0,0,2.0202224759575405,2.213173608881536,0.19295113292399568,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,228,141,-87,7.7588777169390415,5.503414379063273,-2.255463337875769,-0.5156644649720755,-0.5156644649720755,0.0,0,0,0,2.0202224759575405,2.5187190653745595,0.498496589417019,no_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,228,228,0,7.7588777169390415,29.914572952044704,22.15569523510566,-0.5156644649720755,-0.2647242677860979,0.2509401971859776,0,0,0,2.0202224759575405,2.2831938045801907,0.26297132862265027,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,228,137,-91,3.5092347848589256,29.832909506332403,26.323674721473477,-0.6411345635650644,-0.20843298254557896,0.4327015810194854,0,0,0,1.7330245582699735,2.1569750737787317,0.4239505155087582,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,228,121,-107,3.5092347848589256,2.6642661389865894,-0.8449686458723362,-0.6411345635650644,-0.2288230750067075,0.41231148855835686,0,0,0,1.7330245582699735,1.8730767093415825,0.14005215107160907,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,228,141,-87,3.5092347848589256,1.6688960546224938,-1.8403387302364318,-0.6411345635650644,-0.6411345635650644,0.0,0,0,0,1.7330245582699735,1.737373527952943,0.004348969682969495,no_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,228,228,0,3.5092347848589256,32.7693655775855,29.260130792726578,-0.6411345635650644,-0.32745931708259235,0.313675246482472,0,0,0,1.7330245582699735,2.1487361779118603,0.41571161964188685,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,228,137,-91,0.2357720058281727,41.099938943256454,40.86416693742828,-0.7666046621580531,-0.2174310996093145,0.5491735625487386,0,0,0,1.1365653025220428,2.1010187903728528,0.96445348785081,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,228,121,-107,0.2357720058281727,5.548026513637598,5.312254507809426,-0.7666046621580531,-0.1975925144763493,0.5690121476817038,0,0,0,1.1365653025220428,2.013074712220214,0.8765094096981711,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,228,141,-87,0.2357720058281727,-0.17128242005179328,-0.407054425879966,-0.7666046621580531,-0.7666046621580531,0.0,0,0,0,1.1365653025220428,0.8432931162902582,-0.29327218623178464,worse_than_base
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,228,228,0,0.2357720058281727,30.276963445348123,30.04119143951995,-0.7666046621580531,-0.39019436637908655,0.37641029577896656,0,0,0,1.1365653025220428,2.108473382773432,0.9719080802513893,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,G1_SINGLE_BEST_PATH_SAFETY,G0_NO_PATH_GATE,228,137,-91,7863.9613249186605,5019.721919673456,-2844.2394052452046,-0.6886516357573388,-0.4104932176094551,0.27815841814788367,0,0,0,1.9358760785009554,1.8883520685661979,-0.04752400993475758,clear_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,G2_CONSENSUS_TWO_FACTORS,G0_NO_PATH_GATE,228,121,-107,7863.9613249186605,126.17153863685373,-7737.789786281806,-0.6886516357573388,-0.4336528156117754,0.2549988201455634,0,0,0,1.9358760785009554,1.9710710192052996,0.035194940704344146,return_too_damaged
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,G3_STRICT_CONSENSUS,G0_NO_PATH_GATE,228,141,-87,7863.9613249186605,3001.2811553203683,-4862.680169598292,-0.6886516357573388,-0.6886516357573388,0.0,0,0,0,1.9358760785009554,2.0924635433278267,0.15658746482687125,no_risk_reduction
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,G4_RISK_MONITOR_DOWNSHIFT,G0_NO_PATH_GATE,228,228,0,7863.9613249186605,9983.019619257508,2119.058294338847,-0.6886516357573388,-0.5191228399530304,0.16952879580430835,0,0,0,1.9358760785009554,1.9147365450812126,-0.02113953341974284,clear_risk_reduction
