factor,prototype,best_window,safe20_edge,factor_role,failure_explainability,window_role,rank_score
volatility_ratio_short_long,P4_BREAKOUT_TOP20,15m,0.0682110682110682,dual_use_candidate,weak_explanation,path_safety_multi_window,0.08130778515871682
volatility_ratio_short_long,P6_MOMENTUM_OR_BREAKOUT_TOP20,15m,0.1007309432648798,dual_use_candidate,weak_explanation,path_safety_multi_window,0.11641536141083642
breakout_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,60m,0.0474372205022359,dual_use_candidate,explains_failures,path_safety_multi_window,0.0786215342277261
atr_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,1m,0.0118335053319573,dual_use_candidate,explains_failures,execution_risk_short_window,0.04504987960096314
