symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,coverage_status
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,179,487838992458.4508,,-0.6901293469240123,2.6993485050949597,0.5642458100558659,7672407146012.915,-3680437554985.3037,2.0846453801723452,0,0.0,1000.0,487838992459450.8,0.2281813010880125,0.6792880360266058,0.9972642115671373,85 days 14:30:00,usable
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,179,1922.5045358383572,,-0.2032641879950008,2.84307861231889,0.5642458100558659,29362.363319263986,-13373.002043683411,2.1956448689195387,0,0.0,1000.0,1923504.5358383572,0.1440426688156454,0.38006224414063505,0.54328647405402,85 days 14:30:00,usable
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,179,10846.725952257158,,-0.2231880166192053,2.5610896797093607,0.5642458100558659,176187.14871350705,-89079.18035650068,1.9778712377953478,0,0.0,1000.0,10847725.952257158,0.1683345103044321,0.41592024359696306,0.6043152810412364,85 days 14:30:00,usable
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,179,11290.113787649008,,-0.23480683780760703,2.322271954939168,0.5642458100558659,196322.1203197237,-109466.92775183439,1.7934377473787635,0,0.0,1000.0,11291113.787649008,0.18318746560112886,0.43267099027811423,0.6570963457160897,106 days 04:00:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,198,35463874.95945623,,-0.5022860239619682,2.886056395116442,0.5303030303030303,516829181.05819637,-202184828.5124128,2.556221378531706,0,0.0,1000.0,35463875959.45623,0.26965574537400366,0.5456509595113578,0.7896018659341063,66 days 10:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,198,107748355385.0996,,-0.8313230046531623,2.5924183937716685,0.5303030303030303,1670587624048.8232,-727562850968.0306,2.296142005912049,0,0.0,1000.0,107748355386099.6,0.4247698486305915,0.7624769979853585,1.0161219817418758,106 days 04:00:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,198,1375.4561280397752,,-0.2032641879950009,2.461191569736929,0.5303030303030303,22064.58200010903,-10121.773999695408,2.1799125331955658,0,0.0,1000.0,1376456.1280397752,0.17340700409164875,0.42983689182514534,0.6255214459943339,106 days 04:00:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,198,4584.3198840738005,,-0.24059742593447564,2.350798670324518,0.5303030303030303,75981.94858858256,-36492.30879276741,2.0821359651445728,0,0.0,1000.0,4585319.8840738,0.2031703184723059,0.5002363344346347,0.6879080856507561,91 days 02:20:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,198,8443.599585481425,,-0.23480683780760703,2.317963748925115,0.5303030303030303,141429.98831881143,-68887.62567735242,2.053053606190816,0,0.0,1000.0,8444599.585481424,0.24744768924431132,0.5703262074630236,0.7479506085136384,106 days 15:30:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,119,9356350.685696952,,-0.42280024224517676,3.1804450098027033,0.5966386554621849,192216601.82822722,-89396417.58556624,2.1501600066271798,0,0.0,1000.0,9356351685.696953,0.2696557665909402,0.6000535431571971,0.8321489970347327,55 days 00:15:00,usable
