symbol,prototype,gate,leverage_mode,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,stress_liquidation_cases,final_equity,decision_status,allowed_next_step
ETHUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,0,0.0,0.0,,0,0,1000.0,gate_unavailable,discard
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,179,28834547.173655417,-0.407787533727034,3.316036627983793,0,0,28834548173.65542,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,179,487838992458.4508,-0.6901293469240123,2.6993485050949597,0,0,487838992459450.8,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,179,1922.5045358383572,-0.2032641879950008,2.84307861231889,0,0,1923504.5358383572,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,179,10846.725952257158,-0.2231880166192053,2.5610896797093607,0,0,10847725.952257158,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,179,11290.113787649008,-0.23480683780760703,2.322271954939168,0,0,11291113.787649008,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,198,35463874.95945623,-0.5022860239619682,2.886056395116442,0,0,35463875959.45623,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,198,107748355385.0996,-0.8313230046531623,2.5924183937716685,0,0,107748355386099.6,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,198,1375.4561280397752,-0.2032641879950009,2.461191569736929,0,0,1376456.1280397752,risk_monitor_only,keep_as_risk_monitor
