symbol,prototype,gate,original_event_count,accepted_event_count,rejected_event_count,acceptance_rate,rejected_failure_case_count,failure_case_rejection_rate,avg_breakout_score_accepted,avg_momentum_score_accepted,avg_atr_pct_accepted,coverage_status
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,179,179,0,1.0,0,0.0,0.9066584485185477,0.45905351413259193,0.004818635122871274,usable
ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,179,107,72,0.5977653631284916,3,0.5,0.918089011744402,0.4786684802480512,0.00528121757497087,usable
ETHUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,179,0,179,0.0,6,1.0,,,,gate_unavailable
ETHUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,179,0,179,0.0,6,1.0,,,,gate_unavailable
ETHUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,179,179,0,1.0,0,0.0,0.9066584485185477,0.45905351413259193,0.004818635122871274,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,198,198,0,1.0,0,0.0,0.8493977332005501,0.4960994925783657,0.005117036339276297,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,198,119,79,0.601010101010101,5,0.5555555555555556,0.8780066017017135,0.5033337278573401,0.0055205513752684685,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,198,99,99,0.5,5,0.5555555555555556,0.937971261914924,0.5114130348872133,0.0051245558114027335,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,198,124,74,0.6262626262626263,4,0.4444444444444444,0.8865730223635722,0.5309392195466706,0.0056734985373792885,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,198,198,0,1.0,0,0.0,0.8493977332005501,0.4960994925783657,0.005117036339276297,usable
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,185,185,0,1.0,0,0.0,0.899864957359824,0.4612908596481492,0.00330355333685046,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,185,111,74,0.6,1,0.5,0.9106005389372948,0.48677630402476396,0.0036639845419149885,usable
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,185,0,185,0.0,2,1.0,,,,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,185,0,185,0.0,2,1.0,,,,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,185,185,0,1.0,0,0.0,0.899864957359824,0.4612908596481492,0.00330355333685046,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,190,190,0,1.0,0,0.0,0.8800893403941062,0.4747685435354299,0.0034282074640772245,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,190,114,76,0.6,1,0.3333333333333333,0.8882104302508497,0.5020173637378869,0.0038011390905293434,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,190,98,92,0.5157894736842106,2,0.6666666666666666,0.93156071463493,0.48654122840101127,0.0034817324586862686,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,190,124,66,0.6526315789473685,1,0.3333333333333333,0.8963866993442405,0.531192731447749,0.003880559596608024,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,190,190,0,1.0,0,0.0,0.8800893403941062,0.4747685435354299,0.0034282074640772245,usable
SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,160,160,0,1.0,0,0.0,0.9339375841184389,0.4852245962314939,0.006327448216646742,usable
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,160,96,64,0.6,6,0.5,0.9379065724540152,0.4741195603409601,0.006803092332325522,usable
SOLUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,160,0,160,0.0,12,1.0,,,,gate_unavailable
SOLUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,160,0,160,0.0,12,1.0,,,,gate_unavailable
SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,160,160,0,1.0,0,0.0,0.9339375841184389,0.4852245962314939,0.006327448216646742,usable
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,236,236,0,1.0,0,0.0,0.765728722312202,0.5767445308757443,0.0073743065137269045,usable
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,236,141,95,0.597457627118644,12,0.46153846153846156,0.806124299609595,0.5521987724673787,0.0078049888076049175,usable
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,236,126,110,0.5338983050847458,20,0.7692307692307693,0.9142579418487896,0.4846236834796727,0.006874900880249109,usable
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,236,153,83,0.6483050847457628,10,0.38461538461538464,0.8164480686846296,0.5654694358676624,0.007777908719188154,usable
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,236,236,0,1.0,0,0.0,0.765728722312202,0.5767445308757443,0.0073743065137269045,usable
BNBUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,214,214,0,1.0,0,0.0,0.911141131830329,0.49301895242454213,0.003503282734349154,usable
BNBUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,214,129,85,0.602803738317757,1,0.3333333333333333,0.9200885002714607,0.5145262092247653,0.003942739692999001,usable
BNBUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,214,0,214,0.0,3,1.0,,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,214,0,214,0.0,3,1.0,,,,gate_unavailable
BNBUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,214,214,0,1.0,0,0.0,0.911141131830329,0.49301895242454213,0.003503282734349154,usable
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,228,228,0,1.0,0,0.0,0.8715667525844627,0.5187032879724324,0.003767361349730313,usable
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,228,137,91,0.6008771929824561,3,0.42857142857142855,0.870596510649093,0.5405611097658006,0.004193918571414771,usable
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,228,121,107,0.5307017543859649,6,0.8571428571428571,0.9331226961558715,0.5150818830267344,0.003755073058956557,usable
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,228,141,87,0.618421052631579,2,0.2857142857142857,0.8773785381630497,0.5803166280125038,0.004334058104887494,usable
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,228,228,0,1.0,0,0.0,0.8715667525844627,0.5187032879724324,0.003767361349730313,usable
