symbol,prototype,gate,leverage_mode,stress_case,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,final_equity,stress_status
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,fee_2x,179,18708318.242826845,-0.5052509636230864,3.1336411565044755,0,18708319242.826847,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,slippage_2x,179,51009891.91549856,-0.48788393314717693,3.502740741850007,0,51009892915.498566,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,entry_delay_1m,179,43139935.707829334,-0.4907760416220375,3.4366864245446878,0,43139936707.82933,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,entry_delay_3m,179,8006548.561001672,-0.5189779137264698,2.8717575338176347,0,8006549561.001673,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,exit_delay_1m,179,43121836.56549783,-0.49078326417546136,3.436523571254179,0,43121837565.49783,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,exit_delay_3m,179,7976102.560899029,-0.5190399603679807,2.8706552970153663,0,7976103560.899029,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,liquidation_price_up_10pct,179,99652086.27228674,-0.47616629480446604,3.7769537896834624,0,99652087272.28674,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,liquidation_price_up_20pct,179,99652086.27228674,-0.47616629480446604,3.7769537896834624,0,99652087272.28674,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,fee_2x,179,76568844307.4177,-0.7963494603173509,2.800398666580615,0,76568844308417.69,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,slippage_2x,179,572308753023.7942,-0.7785691449056326,3.2129715236467806,0,572308753024794.2,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,entry_delay_1m,179,409796716559.80273,-0.7815749109463723,3.138696452617818,0,409796716560802.75,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,entry_delay_3m,179,13975314874.002546,-0.8098887135596959,2.5119805529184935,0,13975314875002.547,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,exit_delay_1m,179,409453890011.0834,-0.7815823937189428,3.1385135900058097,0,409453890012083.4,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,exit_delay_3m,179,13868299702.634531,-0.8099489978436206,2.510773053585073,0,13868299703634.531,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,liquidation_price_up_10pct,179,2166287024322.684,-0.7661986276833957,3.521196423792614,0,2166287024323684.0,stress_fragile
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,liquidation_price_up_20pct,179,141977061464.01843,-0.9815124928268625,3.5211964225375634,1,141977061465018.44,liquidation_risk
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,fee_2x,179,1679.2679476692858,-0.20871209954823444,2.826389940584759,0,1680267.9476692858,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,slippage_2x,179,2526.8294551651315,-0.20871727190740397,2.813396649732804,0,2527829.4551651315,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,entry_delay_1m,179,2000.2747045967205,-0.2100746174807493,2.593057335548258,0,2001274.7045967206,stress_pass
ETHUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,entry_delay_3m,179,1042.846746184447,-0.21499757680827847,2.5473321440930143,0,1043846.7461844471,stress_pass
