label,method,runs,median_final_return,median_max_drawdown,median_pf,loss_probability,pf_lt_1_probability,equity_below_80_probability,bootstrap_low_trade_count
B2,trade,5000,36.68734835998498,-53.091105951879825,1.0899935996661705,0.3294,0.3294,0.6982,False
B2,monthly_block,5000,40.37671952422915,-44.4249554313524,1.1003468845941993,0.2902,0.2902,0.618,False
B2,quarterly_block,5000,44.008741902745776,-42.74860022770201,1.1099399668320877,0.2648,0.2648,0.5684,False
B3,trade,5000,99.65083032680037,-27.41244086450306,1.5644372649567624,0.0926,0.0926,0.3716,True
B3,monthly_block,5000,102.65267394812467,-24.411610033937563,1.5827771481783246,0.0816,0.0816,0.3062,True
B3,quarterly_block,5000,107.99472122725479,-23.027447306073057,1.6099518390801033,0.0324,0.0324,0.2152,True
