window_id,train_start,train_end,test_start,test_end,candidate_id,trade_count,total_return,profit_factor,sample_status
8,2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,D1,45,-0.14548635317832453,0.7912939215045494,valid
9,2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-06-28 01:05:00+00:00,D1,36,-0.2566900586929159,0.5837646754274214,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,C2,14,-0.12472253394043913,0.6883677981110393,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,C2,15,-0.1896542879704715,0.6204449480076096,valid
3,2021-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,C2,31,0.10262139835833688,1.178186443582411,valid
4,2021-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,C2,33,-0.23846548801424214,0.6102575922076535,valid
5,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,C2,27,0.48854275470382696,2.036260542925178,valid
6,2022-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,C2,30,0.014119545476775158,1.022080766222258,valid
7,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,C2,26,0.4869616669289013,1.6035550882088985,valid
8,2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,C2,31,0.4878892672689417,1.620818536226125,valid
9,2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-06-28 01:05:00+00:00,C2,22,-0.137914994715239,0.8169684836428074,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,D2,25,-0.24005981853304065,0.3524006805561548,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,D2,24,-0.1960005141318435,0.43291941791395466,valid
3,2021-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,D2,37,0.0890867929903512,1.3129652684091866,valid
4,2021-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,D2,38,-0.12291600805545994,0.57523521712396,valid
5,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,D2,42,0.10262966494739678,1.3492944336140087,valid
6,2022-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,D2,40,0.05024007983810085,1.1551165579739773,valid
7,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,D2,35,0.1413937794124578,1.3841116804255222,valid
8,2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,D2,41,0.2874984253595692,1.743317749403211,valid
9,2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-06-28 01:05:00+00:00,D2,24,0.026614313124839764,1.0944724824184433,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,C3,30,-0.07625150577453473,0.7360791937259634,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,C3,32,-0.07240311777138585,0.7728239378777687,valid
3,2021-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,C3,62,0.1941022764925487,1.4481611810735433,valid
4,2021-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,C3,58,-0.11653227040091596,0.7198202722240135,valid
5,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,C3,61,0.5035448413122758,2.1847626966201528,valid
6,2022-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,C3,57,0.1627313827451788,1.3537670226702305,valid
7,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,C3,49,0.36979494776856126,1.6890439686082708,valid
8,2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,C3,64,0.21943814336332837,1.3576983471300221,valid
9,2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-06-28 01:05:00+00:00,C3,45,-0.12461496170813825,0.7725909874966189,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,D3,45,-0.14509098313060825,0.527634538211071,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,D3,47,-0.0341820098863035,0.8694605067131909,valid
3,2021-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,D3,73,0.253405632320396,1.7391623769446074,valid
4,2021-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,D3,73,-0.10356907689822803,0.680658631673591,valid
5,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,D3,81,0.3702797988672997,1.8949228136572045,valid
6,2022-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,D3,80,0.22259068432745846,1.5285394822580496,valid
7,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,D3,72,0.19665830047076638,1.4245517266142125,valid
8,2023-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,D3,86,0.0710060360906223,1.1310238157264283,valid
9,2024-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,2026-06-28 01:05:00+00:00,D3,60,-0.11503787278403808,0.7439077198720021,valid
