candidate_id,bootstrap_runs,block_length,block_return_p05,block_return_p50,block_return_p95,block_bootstrap_positive_probability
C1,500,quarter,0.35120095249978917,1.3584866233193775,2.5113763121474424,0.994
D1,500,quarter,0.0414837702717901,1.4332651990839729,2.978005537994312,0.952
C2,500,quarter,0.673803577905543,2.642105226478542,4.993689034957656,0.99
D2,500,quarter,-0.7247257784841702,0.5780612426939988,1.7281535551330351,0.774
C3,500,quarter,0.8783482222068568,2.0373194719624816,3.25894667199617,1.0
D3,500,quarter,0.24222339523339806,1.060707873604601,2.0479004209498,0.978
