candidate_id,trade_count,base_cost_total_return,total_return,base_cost_profit_factor,profit_factor,base_cost_max_drawdown,max_drawdown,win_rate,avg_win,avg_loss,payoff_ratio,final_equity,liquidation_count,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,longest_drawdown_seconds,accounting_identity_max_abs_error,symbol_or_portfolio,prototype,gate,leverage_mode,cost_scenario,coverage_status
C1,352,-0.2143437448770641,-0.2143437448770641,0.9157005923012524,0.9157005923012524,-0.32258995166163773,-0.32258995166163773,0.32954545454545453,20.071590910714487,-10.773933434406544,1.8629770670956518,785.6562551229359,0,,,,1869 days 18:30:00,161548200.0,0.0,BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,stress_cost,full_coverage
D1,491,-0.46118313613872985,-0.46118313613872985,0.8628170317622283,0.8628170317622283,-0.5032334169521024,-0.5032334169521024,0.29124236252545826,20.28410708764346,-9.66037485537857,2.099722566805982,538.8168638612701,0,,,,2290 days 00:33:00,197857980.0,0.0,BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,stress_cost,full_coverage
C2,343,0.26195115636394317,0.26195115636394317,1.0469977042761354,1.0469977042761354,-0.5188559758201567,-0.5188559758201567,0.33819241982507287,50.30734710045771,-24.553749371317846,2.048866197161058,1261.9511563639433,0,1.3550302431646808,3.016969602365458,4.425334068550504,1967 days 18:00:00,170013600.0,0.0,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,stress_cost,full_coverage
D2,490,-0.6498261009447067,-0.6498261009447067,0.8351869547017994,0.8351869547017994,-0.7993416410156348,-0.7993416410156348,0.2938775510204082,22.867925954449774,-11.39539722076727,2.0067686550473787,350.1738990552933,0,,,,1987 days 18:34:00,171743640.0,0.0,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,stress_cost,full_coverage
