candidate_id,period,year,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
C1,2020,2020,71,-0.08908486008466658,0.8385842028948792,-0.16029000699765417,0.3380281690140845,valid
C1,2021,2021,49,0.19527695713766435,1.5691665233214485,-0.06082953582756445,0.5102040816326531,valid
C1,2022,2022,33,0.017067574819069484,1.0541216134093778,-0.11859139784551409,0.3939393939393939,valid
C1,2023,2023,56,0.29098410183917084,1.5702437362217976,-0.08500270950290822,0.3392857142857143,valid
C1,2024,2024,61,0.8298901479343073,2.2590709610596673,-0.10128971230704809,0.47540983606557374,valid
C1,2025,2025,56,0.20361524806593623,1.2877551476508544,-0.1256566257259093,0.3392857142857143,valid
C1,2026,2026,23,-0.11131492870103757,0.6749458224638779,-0.14493226635284484,0.30434782608695654,partial_year
D1,2020,2020,95,0.2347076649549339,1.3002594310409432,-0.14890840321820342,0.3473684210526316,valid
D1,2021,2021,82,0.016976365097783906,1.020650793832553,-0.25600471099764277,0.36585365853658536,valid
D1,2022,2022,43,0.07751434663106063,1.1838149681553538,-0.15801530968397903,0.37209302325581395,valid
D1,2023,2023,71,0.3335023259094446,1.4386631483261862,-0.11697058591677745,0.29577464788732394,valid
D1,2024,2024,79,1.0328712216040186,1.9817306439499227,-0.12986055679581587,0.43037974683544306,valid
D1,2025,2025,82,0.10643646835075055,1.0847822804268046,-0.22580618744006065,0.2926829268292683,valid
D1,2026,2026,36,-0.2566900586929159,0.5837646754274214,-0.24133189701811064,0.3055555555555556,partial_year
C2,2020,2020,55,1.3571493170042066,3.1728612443735025,-0.05262574597766123,0.4909090909090909,valid
C2,2021,2021,57,0.48247277591934545,1.3109333796451714,-0.5111924960861856,0.3684210526315789,valid
C2,2022,2022,29,-0.3143768219109106,0.6506531457847718,-0.2870438912161689,0.3448275862068966,valid
C2,2023,2023,64,-0.13584408965590528,0.8856315167450428,-0.4345033346917003,0.296875,valid
C2,2024,2024,57,0.5026623001806021,1.4524829461704687,-0.21828068685618673,0.40350877192982454,valid
C2,2025,2025,57,0.9748509341978429,1.6120733182860638,-0.31365687139681175,0.42105263157894735,valid
C2,2026,2026,22,-0.137914994715239,0.8169684836428074,-0.32517053486358194,0.3181818181818182,partial_year
D2,2020,2020,89,0.5420588306137136,1.4617091962595081,-0.09863413426532452,0.3707865168539326,valid
D2,2021,2021,93,-0.10122578173504874,0.9378694732091983,-0.5430413988968121,0.3010752688172043,valid
D2,2022,2022,49,-0.43606033266488414,0.39125154448037874,-0.4248726394311102,0.24489795918367346,valid
D2,2023,2023,75,-0.03382921506510872,0.9410669825628075,-0.2158699591942611,0.28,valid
D2,2024,2024,82,0.15286974478549764,1.2474798132507663,-0.10573763268561687,0.4024390243902439,valid
D2,2025,2025,76,0.4288922047720269,1.56815704026606,-0.1458932462754976,0.39473684210526316,valid
D2,2026,2026,24,0.026614313124839764,1.0944724824184433,-0.07998857245536228,0.375,partial_year
C3,2020,2020,126,0.6340322284597698,2.077839139680394,-0.05106166515111121,0.40476190476190477,valid
C3,2021,2021,106,0.3388748665285048,1.357692224981425,-0.25723757615363707,0.4339622641509434,valid
C3,2022,2022,62,-0.14865462354592057,0.7553523381784482,-0.1352852532699652,0.3709677419354839,valid
C3,2023,2023,120,0.07757000609163282,1.0913633187170286,-0.2127672094649966,0.31666666666666665,valid
C3,2024,2024,118,0.6662762240574545,1.7528431121942762,-0.12635174228059787,0.4406779661016949,valid
C3,2025,2025,113,0.5892330911318896,1.5123093653679867,-0.12488047237872058,0.3805309734513274,valid
C3,2026,2026,45,-0.12461496170813825,0.7725909874966189,-0.21949040098630745,0.3111111111111111,partial_year
D3,2020,2020,184,0.38838324778432376,1.3971788925623536,-0.0907276547004886,0.358695652173913,valid
D3,2021,2021,175,-0.042124708318632444,0.9656308922480263,-0.24548451757555123,0.3314285714285714,valid
D3,2022,2022,92,-0.17927299301691169,0.684938870172612,-0.2309462841079879,0.30434782608695654,valid
D3,2023,2023,146,0.14983655542216792,1.2245923442633833,-0.13858027710846976,0.2876712328767123,valid
D3,2024,2024,161,0.5928704831947582,1.710110345233951,-0.08934108000555296,0.4161490683229814,valid
D3,2025,2025,158,0.2676643365613887,1.2662939135861688,-0.11502892729788017,0.34177215189873417,valid
D3,2026,2026,60,-0.11503787278403808,0.7439077198720021,-0.12929222038911892,0.3333333333333333,partial_year
