candidate_id,period,year,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
C1,2020Q1,2020,12,0.007131268791457625,1.1083960566677353,-0.028026851632915517,0.5,valid
C1,2020Q2,2020,18,-0.05102213115112496,0.7341278114357931,-0.09637049307108403,0.2222222222222222,valid
C1,2020Q3,2020,18,-0.006104843962216197,0.9030869764438297,-0.04417702065835705,0.5,valid
C1,2020Q4,2020,23,-0.03908915376278304,0.8309366012569478,-0.07829592491855963,0.21739130434782608,valid
C1,2021Q1,2021,15,0.08005980526992769,1.6631384382718202,-0.06082953582756445,0.5333333333333333,valid
C1,2021Q2,2021,9,-0.021591687563942676,0.7530631760824287,-0.054297197426403376,0.5555555555555556,valid
C1,2021Q3,2021,12,0.0718610673983988,1.9420252091177659,-0.045557597468787625,0.4166666666666667,valid
C1,2021Q4,2021,13,0.0649477720332805,2.107520605958956,-0.03320016589772645,0.5384615384615384,valid
C1,2022Q1,2022,11,-0.0036613608135796128,0.9707083150742265,-0.06865343298796245,0.45454545454545453,valid
C1,2022Q2,2022,5,-0.024119116795050688,0.5416024538432868,-0.03923520547263426,0.4,valid
C1,2022Q3,2022,9,0.043845413259522466,1.4507292582908689,-0.028796563982699364,0.4444444444444444,valid
C1,2022Q4,2022,8,0.0010026391681773274,1.024776937324186,-0.01076961276799826,0.25,valid
C1,2023Q1,2023,19,0.2473354741174736,2.5687279782936825,-0.06368579402219199,0.47368421052631576,valid
C1,2023Q2,2023,12,0.03824768050928705,1.288381750760258,-0.06427187264606482,0.25,valid
C1,2023Q3,2023,12,-0.03066829500530207,0.6336375975393568,-0.046355202968277776,0.3333333333333333,valid
C1,2023Q4,2023,13,0.03606924221771226,1.2646797171124762,-0.10374703198984891,0.23076923076923078,valid
C1,2024Q1,2024,22,0.4983098987837121,3.30017194454183,-0.056645361373498626,0.5,valid
C1,2024Q2,2024,12,0.020237029137012585,1.124960929236295,-0.08614104990611215,0.3333333333333333,valid
C1,2024Q3,2024,11,0.03156777497545138,1.3397943878601815,-0.08243426732791981,0.7272727272727273,valid
C1,2024Q4,2024,16,0.2797754450381311,2.4910283022987354,-0.039402791156509354,0.375,valid
C1,2025Q1,2025,6,0.28379453538969496,inf,0.0,1.0,valid
C1,2025Q2,2025,17,-0.03116630678147385,0.8830683375073289,-0.11809587674430111,0.23529411764705882,valid
C1,2025Q3,2025,15,0.022462873763588347,1.1295811211830171,-0.15238381231531783,0.3333333333333333,valid
C1,2025Q4,2025,18,-0.07147585430587322,0.7330148450024014,-0.15699800937024455,0.2222222222222222,valid
C1,2026Q1,2026,9,-0.10448033447131463,0.3479987305581949,-0.09328862494321799,0.2222222222222222,partial_year
C1,2026Q2,2026,14,-0.0068345942297229545,0.9624894913260231,-0.13150295910132448,0.35714285714285715,partial_year
D1,2020Q1,2020,19,0.06168289790191166,1.4083767414440074,-0.06828776787669633,0.47368421052631576,valid
D1,2020Q2,2020,23,-0.08500396852556999,0.6334677725499488,-0.12363849543887506,0.17391304347826086,valid
D1,2020Q3,2020,22,0.007297633463605608,1.065597610670944,-0.05974414520850535,0.4090909090909091,valid
D1,2020Q4,2020,31,0.2507311021149866,1.8721800658417789,-0.0603054194725654,0.3548387096774194,valid
D1,2021Q1,2021,22,0.12802584674109915,1.5840508865658913,-0.0897361557615235,0.4090909090909091,valid
D1,2021Q2,2021,19,-0.19495053241709145,0.338585000617194,-0.2087268029737711,0.2631578947368421,valid
D1,2021Q3,2021,21,0.051362792777498056,1.3699270754591117,-0.0644105787995568,0.42857142857142855,valid
D1,2021Q4,2021,20,0.03253825799627819,1.192224959249609,-0.08586735801546319,0.35,valid
D1,2022Q1,2022,14,-0.01179881386873608,0.9320149529338854,-0.09260769156178361,0.42857142857142855,valid
D1,2022Q2,2022,6,-0.03832333385943978,0.45310679127109016,-0.05527792508255447,0.3333333333333333,valid
D1,2022Q3,2022,10,0.08413594374430787,1.770713919127638,-0.03217389396149839,0.5,valid
D1,2022Q4,2022,13,0.0435005506149286,1.631296479297528,-0.03556419228709273,0.23076923076923078,valid
D1,2023Q1,2023,22,0.38742897062391507,2.7779719869788417,-0.0718578165403625,0.4090909090909091,valid
D1,2023Q2,2023,14,0.030295501026525735,1.1654612311580193,-0.07940913121162296,0.21428571428571427,valid
D1,2023Q3,2023,16,-0.09089320845439552,0.4184023360173782,-0.10926781932308505,0.25,valid
D1,2023Q4,2023,19,0.006671062713399371,1.032864716627801,-0.149344922204669,0.2631578947368421,valid
D1,2024Q1,2024,22,0.6896531035950745,3.6697827830264758,-0.05752060526820191,0.5454545454545454,valid
D1,2024Q2,2024,17,-0.051723170807871637,0.8121713756297537,-0.16665093211709092,0.23529411764705882,valid
