label,cost_scenario,cost_multiplier,total_return_pct,profit_factor,trade_count
B0,C1,1.0,-58.172123544052965,0.8933580819160504,401
B0,C1_1p5x,1.5,-91.17038494958777,0.8399197864481612,401
B0,C2_2x,2.0,-124.16864635512258,0.7908676539214524,401
B1,C1,1.0,-14.239161753349263,0.9783620569349791,324
B1,C1_1p5x,1.5,-53.44896832029056,0.922026607528615,324
B1,C2_2x,2.0,-92.65877488723179,0.8700803320960462,324
B2,C1,1.0,41.59964741634885,1.1027421237881878,195
B2,C1_1p5x,1.5,16.077264327131605,1.0379951739668776,195
B2,C2_2x,2.0,-9.445118762085709,0.9786111907519705,195
B3,C1,1.0,104.00613560454562,1.5840892476462605,84
B3,C1_1p5x,1.5,92.55285341647284,1.4993328269786894,84
B3,C2_2x,2.0,81.09957122840005,1.4208016671885417,84
C1,C1,1.0,-66.25580586320224,0.867645611732098,371
C1,C1_1p5x,1.5,-96.06276504164917,0.8161667962739706,371
C1,C2_2x,2.0,-125.86972422009607,0.7689061357692002,371
