prototype,symbol,month,regime,bars,coverage
Regime-0,BNBUSDT,2020-02,ALL,1887,1.0
Regime-0,BNBUSDT,2020-03,ALL,2976,1.0
Regime-0,BNBUSDT,2020-04,ALL,2880,1.0
Regime-0,BNBUSDT,2020-05,ALL,2976,1.0
Regime-0,BNBUSDT,2020-06,ALL,2880,1.0
Regime-0,BNBUSDT,2020-07,ALL,2976,1.0
Regime-0,BNBUSDT,2020-08,ALL,2976,1.0
Regime-0,BNBUSDT,2020-09,ALL,2880,1.0
Regime-0,BNBUSDT,2020-10,ALL,2976,1.0
Regime-0,BNBUSDT,2020-11,ALL,2880,1.0
Regime-0,BNBUSDT,2020-12,ALL,2976,1.0
Regime-0,BNBUSDT,2021-01,ALL,2976,1.0
Regime-0,BNBUSDT,2021-02,ALL,2688,1.0
Regime-0,BNBUSDT,2021-03,ALL,2976,1.0
Regime-0,BNBUSDT,2021-04,ALL,2880,1.0
Regime-0,BNBUSDT,2021-05,ALL,2976,1.0
Regime-0,BNBUSDT,2021-06,ALL,2880,1.0
Regime-0,BNBUSDT,2021-07,ALL,2976,1.0
Regime-0,BNBUSDT,2021-08,ALL,2976,1.0
Regime-0,BNBUSDT,2021-09,ALL,2880,1.0
Regime-0,BNBUSDT,2021-10,ALL,2976,1.0
Regime-0,BNBUSDT,2021-11,ALL,2880,1.0
Regime-0,BNBUSDT,2021-12,ALL,2976,1.0
Regime-0,BNBUSDT,2022-01,ALL,2976,1.0
Regime-0,BNBUSDT,2022-02,ALL,2688,1.0
Regime-0,BNBUSDT,2022-03,ALL,2976,1.0
Regime-0,BNBUSDT,2022-04,ALL,2880,1.0
Regime-0,BNBUSDT,2022-05,ALL,2976,1.0
Regime-0,BNBUSDT,2022-06,ALL,2880,1.0
Regime-0,BNBUSDT,2022-07,ALL,2976,1.0
Regime-0,BNBUSDT,2022-08,ALL,2976,1.0
Regime-0,BNBUSDT,2022-09,ALL,2880,1.0
Regime-0,BNBUSDT,2022-10,ALL,2976,1.0
Regime-0,BNBUSDT,2022-11,ALL,2880,1.0
Regime-0,BNBUSDT,2022-12,ALL,2976,1.0
Regime-0,BNBUSDT,2023-01,ALL,2976,1.0
Regime-0,BNBUSDT,2023-02,ALL,2688,1.0
Regime-0,BNBUSDT,2023-03,ALL,2976,1.0
Regime-0,BNBUSDT,2023-04,ALL,2880,1.0
Regime-0,BNBUSDT,2023-05,ALL,2976,1.0
Regime-0,BNBUSDT,2023-06,ALL,2880,1.0
Regime-0,BNBUSDT,2023-07,ALL,2976,1.0
Regime-0,BNBUSDT,2023-08,ALL,2976,1.0
Regime-0,BNBUSDT,2023-09,ALL,2880,1.0
Regime-0,BNBUSDT,2023-10,ALL,2976,1.0
Regime-0,BNBUSDT,2023-11,ALL,2880,1.0
Regime-0,BNBUSDT,2023-12,ALL,2976,1.0
Regime-0,BNBUSDT,2024-01,ALL,2976,1.0
Regime-0,BNBUSDT,2024-02,ALL,2784,1.0
Regime-0,BNBUSDT,2024-03,ALL,2976,1.0
Regime-0,BNBUSDT,2024-04,ALL,2880,1.0
Regime-0,BNBUSDT,2024-05,ALL,2976,1.0
Regime-0,BNBUSDT,2024-06,ALL,2880,1.0
Regime-0,BNBUSDT,2024-07,ALL,2976,1.0
Regime-0,BNBUSDT,2024-08,ALL,2976,1.0
Regime-0,BNBUSDT,2024-09,ALL,2880,1.0
Regime-0,BNBUSDT,2024-10,ALL,2976,1.0
