prototype,symbol,from_regime,to_regime,probability
Regime-3,BNBUSDT,EXTREME,TRANSITION,0.13238309089134043
Regime-3,BNBUSDT,EXTREME,TREND,0.09258355299554168
Regime-3,BNBUSDT,RANGE,EXTREME,0.028710559186111765
Regime-3,BNBUSDT,RANGE,RANGE,0.848065748266686
Regime-3,BNBUSDT,RANGE,TRANSITION,0.12316938505819952
Regime-3,BNBUSDT,RANGE,TREND,5.4307489002733475e-05
Regime-3,BNBUSDT,TRANSITION,EXTREME,0.0408929560703367
Regime-3,BNBUSDT,TRANSITION,RANGE,0.07455321419045079
Regime-3,BNBUSDT,TRANSITION,TRANSITION,0.8307035722346472
Regime-3,BNBUSDT,TRANSITION,TREND,0.05385025750456532
Regime-3,BNBUSDT,TREND,EXTREME,0.06125951350544695
Regime-3,BNBUSDT,TREND,RANGE,9.948763866089639e-05
Regime-3,BNBUSDT,TREND,TRANSITION,0.14002885141521165
Regime-3,BNBUSDT,TREND,TREND,0.7986121474406805
Regime-3,BTCUSDT,EXTREME,EXTREME,0.7302963051823417
Regime-3,BTCUSDT,EXTREME,RANGE,0.03856765834932822
Regime-3,BTCUSDT,EXTREME,TRANSITION,0.13570657389635316
Regime-3,BTCUSDT,EXTREME,TREND,0.09542946257197697
Regime-3,BTCUSDT,RANGE,EXTREME,0.03272707763292022
Regime-3,BTCUSDT,RANGE,RANGE,0.8430352129048411
Regime-3,BTCUSDT,RANGE,TRANSITION,0.12416617486631973
Regime-3,BTCUSDT,RANGE,TREND,7.153459591895131e-05
Regime-3,BTCUSDT,TRANSITION,EXTREME,0.04599392973516186
Regime-3,BTCUSDT,TRANSITION,RANGE,0.07600012181133455
Regime-3,BTCUSDT,TRANSITION,TRANSITION,0.8285708485174546
Regime-3,BTCUSDT,TRANSITION,TREND,0.04943509993604905
Regime-3,BTCUSDT,TREND,EXTREME,0.06621550227678684
Regime-3,BTCUSDT,TREND,RANGE,0.00010063146242672772
Regime-3,BTCUSDT,TREND,TRANSITION,0.13635563158821606
Regime-3,BTCUSDT,TREND,TREND,0.7973282346725704
Regime-3,ETHUSDT,EXTREME,EXTREME,0.7200085952848723
Regime-3,ETHUSDT,EXTREME,RANGE,0.04067411591355599
Regime-3,ETHUSDT,EXTREME,TRANSITION,0.1393664047151277
Regime-3,ETHUSDT,EXTREME,TREND,0.09995088408644401
Regime-3,ETHUSDT,RANGE,EXTREME,0.034885556432517756
Regime-3,ETHUSDT,RANGE,RANGE,0.8471805665175831
Regime-3,ETHUSDT,RANGE,TRANSITION,0.11786372007366483
Regime-3,ETHUSDT,RANGE,TREND,7.01569762343243e-05
Regime-3,ETHUSDT,TRANSITION,EXTREME,0.04708035612727104
Regime-3,ETHUSDT,TRANSITION,RANGE,0.0763646892158789
Regime-3,ETHUSDT,TRANSITION,TRANSITION,0.8285542928640119
Regime-3,ETHUSDT,TRANSITION,TREND,0.04800066179283816
Regime-3,ETHUSDT,TREND,EXTREME,0.0625591267434809
Regime-3,ETHUSDT,TREND,RANGE,7.277137659187387e-05
Regime-3,ETHUSDT,TREND,TRANSITION,0.129047907822923
Regime-3,ETHUSDT,TREND,TREND,0.8083201940570043
Regime-3,SOLUSDT,EXTREME,EXTREME,0.7353090909090909
Regime-3,SOLUSDT,EXTREME,RANGE,0.037963636363636366
Regime-3,SOLUSDT,EXTREME,TRANSITION,0.1353818181818182
Regime-3,SOLUSDT,EXTREME,TREND,0.09134545454545455
Regime-3,SOLUSDT,RANGE,EXTREME,0.030745441400915736
Regime-3,SOLUSDT,RANGE,RANGE,0.8449473853321552
Regime-3,SOLUSDT,RANGE,TRANSITION,0.12426700939834524
Regime-3,SOLUSDT,RANGE,TREND,4.0163868583821995e-05
Regime-3,SOLUSDT,TRANSITION,EXTREME,0.04058231243039298
Regime-3,SOLUSDT,TRANSITION,RANGE,0.07585744482578358
Regime-3,SOLUSDT,TRANSITION,TRANSITION,0.8300338659454054
Regime-3,SOLUSDT,TRANSITION,TREND,0.053526376798418075
Regime-3,SOLUSDT,TREND,EXTREME,0.05875367716514182
Regime-3,SOLUSDT,TREND,RANGE,5.397673602677246e-05
Regime-3,SOLUSDT,TREND,TRANSITION,0.13615631662753352
Regime-3,SOLUSDT,TREND,TREND,0.8050360294712978
