symbol,start_utc,end_utc,missing_minutes
SOLUSDT,2022-02-26 00:00:00+00:00,2022-02-28 23:59:00+00:00,4320
SOLUSDT,2022-04-01 00:00:00+00:00,2022-04-02 23:59:00+00:00,2880
