factor_name,bucket,events,mean_fwd_ret_120m,median_fwd_ret_120m,mean_mfe_atr_120m,mean_mae_atr_120m,extreme_loss_rate_120m
zscore_ema20,bottom20,43594,-0.00022475091484006334,0.00042764312579968156,1.6292040286093712,1.9978110680682857,0.20401890168371795
zscore_ema20,bottom40,87188,-0.00015399785445139057,0.0003502565716337891,1.5981815945388558,1.8701795850557446,0.18464696976648162
zscore_ema20,middle20,43593,9.11950100131126e-06,0.00012214610710170604,1.583414037669573,1.6424884387652048,0.14692725896359507
zscore_ema20,top40,87188,0.00013822430369344314,-0.00016852996012650667,1.6974674691919125,1.6166851825158632,0.12853833096297657
zscore_ema20,top20,43594,0.0001444706415329572,-0.00030325745970510853,1.7647794638545868,1.6514784447035942,0.12937560214708446
zscore_ema50,bottom20,43594,-0.0004070385101791929,0.0004773355806141355,1.5554582064400995,1.9930056328369028,0.20677157406982613
zscore_ema50,bottom40,87188,-0.00020111328885597568,0.00038596911018029534,1.5648371535159007,1.859428072885574,0.18345414506583474
zscore_ema50,middle20,43593,-2.6259932064456334e-05,2.6932109538302385e-05,1.5926557297864723,1.6706986688295633,0.1484183240428509
zscore_ema50,top40,87188,0.00020302904884762692,-0.00015706332713627535,1.7261911701537125,1.6133319032101934,0.12898564022571912
zscore_ema50,top20,43594,0.00027689543403115166,-0.00026368815765670517,1.797242711887794,1.600573254863293,0.1191907143184842
vwap_deviation_atr,bottom20,43594,-0.0003282590289152463,0.00033353607200281576,1.6113153213874005,1.965212366028238,0.19977519842180116
vwap_deviation_atr,bottom40,87188,-0.00026780434400879027,0.0003081929399730843,1.5760180043106342,1.8611703867255218,0.18090792310868467
vwap_deviation_atr,middle20,43593,2.6693691753270127e-05,0.00011707390762483172,1.5739991732617082,1.6276277613808519,0.13981602550868258
vwap_deviation_atr,top40,87188,0.00024324389944148662,-0.00012349871881850438,1.7243383836405777,1.6331245490941941,0.13583291278616325
vwap_deviation_atr,top20,43594,0.00019779383069997423,-0.0002743212936020534,1.8057010934629831,1.6750253716745807,0.1389411386888104
range_position_96,bottom20,43594,-0.00043241987435764826,0.00043224949188092054,1.572714514484806,1.9488462733994867,0.1988117630866633
range_position_96,bottom40,87188,-0.00024977011796275227,0.0003049438018168926,1.5751530656670658,1.847604670425337,0.17831582327843282
range_position_96,middle20,43593,0.0001485095989370498,0.0001840675802162739,1.6177390001225735,1.6485117915260923,0.1430275502947721
range_position_96,top40,87188,0.00016430311696724178,-0.0001603038265310941,1.7033339105262693,1.6362484898504808,0.13681928705785198
range_position_96,top20,43594,0.00021297510095351642,-0.00031104055416364407,1.777271044940823,1.6334040577627524,0.131577740055971
lower_band_distance,bottom20,43594,-0.00015271509594990082,0.00038014142139486395,1.6417002462720358,1.9752411365631979,0.20007340459696288
lower_band_distance,bottom40,87188,-9.303146146004758e-05,0.0003035196567435783,1.6222985477566667,1.8664414182788296,0.18400467954305638
lower_band_distance,middle20,43593,2.341756165435016e-05,7.563887838335503e-05,1.615675604275628,1.6724459785210195,0.15298327713164958
lower_band_distance,top40,87188,7.010904436673376e-05,-0.0001015739863583498,1.6572201026940885,1.605444923011922,0.1261526815616828
lower_band_distance,top20,43594,0.00014961647324283886,-0.00015977298334429735,1.6761890619978639,1.5870169155161085,0.11476349956416021
short_return_oversold,bottom20,43769,-5.627481348494993e-05,0.00034979137443014174,1.612355706146675,1.8617984840190673,0.1796933902990701
short_return_oversold,bottom40,88343,-2.8526391632860762e-05,0.00026833931506398123,1.6329842168184725,1.809108520719461,0.17112844254779666
short_return_oversold,middle20,42871,-4.9937889801587277e-05,5.015380500217326e-05,1.6453059192448338,1.7205595421280515,0.15693592405122345
short_return_oversold,top40,88166,4.0227620343228066e-05,-8.275193718576546e-05,1.6310415791913602,1.637982472066117,0.1368554771680693
short_return_oversold,top20,44638,7.129544134639628e-05,-0.00015940038414324897,1.624935493682575,1.610707428538023,0.12863479546574666
efficiency_ratio_40,bottom20,43594,3.370440904492556e-05,7.201224418595942e-05,1.637182371149946,1.6988609621439943,0.1513511033628481
efficiency_ratio_40,bottom40,87188,2.0544417406964348e-05,7.260364486016968e-05,1.629973797881563,1.6982727547276095,0.15084644675872827
efficiency_ratio_40,middle20,43593,-7.27238460910316e-05,0.00011469473644787342,1.6381547329837558,1.722684383150522,0.15447434221090542
efficiency_ratio_40,top40,87188,4.602766681586609e-06,9.213529407392507e-05,1.6383055460387816,1.7484949604561797,0.15856539890810661
efficiency_ratio_40,top20,43594,2.824789130684488e-05,8.02358766489597e-05,1.6354837315561501,1.757799412347353,0.1608019452218195
return_autocorr_20,bottom20,43594,-0.0001000259917112434,5.304915050263759e-05,1.6597518514842362,1.7757918177970662,0.1608019452218195
return_autocorr_20,bottom40,87188,-1.782691228108528e-05,6.561018392681195e-05,1.6494342198737586,1.7433933330934273,0.15784282240675324
return_autocorr_20,middle20,43593,8.262583249074363e-05,0.0001238435737718202,1.6437572610400792,1.706268968631148,0.15091872548344917
return_autocorr_20,top40,87188,-3.4698961143041294e-05,9.321054426836284e-05,1.6160439242764417,1.7115819010739732,0.15334679084277653
return_autocorr_20,top20,43594,-8.878251133410039e-05,5.2243122822259735e-05,1.622440491346533,1.7283795099724906,0.15630591365784283
range_width_atr_96,bottom20,43594,6.77787476019649e-05,0.00018650081244553363,1.458939218216009,1.548470413682783,0.12448960866174244
range_width_atr_96,bottom40,87188,2.9755553665345005e-05,0.0001474148052191815,1.5251482301266939,1.60978189420416,0.13489241638757626
range_width_atr_96,middle20,43593,-0.0001182018604227095,2.720912594078584e-05,1.6307728712816643,1.7222727857744178,0.15468079737572546
range_width_atr_96,top40,87188,1.813011598040229e-05,6.439955713632983e-05,1.746821959978668,1.8371916149468779,0.17441620406477956
