mr_prototype,events,symbols,mean_fwd_ret_120m,median_fwd_ret_120m,mean_mfe_atr_120m,mean_mae_atr_120m,positive_year_rate,eth_btc_supported
MR-P0,217969,"BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT",-4.48558252014627e-06,8.646473221496365e-05,1.6349426694286247,1.723243965270864,0.5714285714285714,True
MR-P1,43150,"BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT",-0.0003070905095610074,0.0005285782825059648,1.612886324222197,2.0289082616879504,0.0,True
MR-P2,15225,"BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT",-0.0006159693802684253,0.00039363727293251216,1.5497675601761012,2.084871820548366,0.14285714285714285,True
