factor_name,count,missing_rate,mean,median,std,p01,p99,monthly_median_std,quarterly_median_std,yearly_median_std,symbol_median_std,trend_continuation_spearman_240m,mean_reversion_spearman_120m,path_safety_spearman_120m
ema_gap_atr,880991,5.90209558443799e-05,0.16840513612082206,0.17630007343993734,3.163183633323143,-7.6375349920226565,7.813715760088228,0.7954661273224866,0.5318369405501471,0.3905225038146059,0.1416352272616704,-0.016007605465009307,0.012339448834514865,-0.006088685524746151
ema200_slope_4h,880979,7.264117642385218e-05,0.04188477219667518,0.03786651971038968,0.70157910276393,-1.6431956851697354,1.721478118216377,0.16885389343384702,0.11369285553434866,0.08233612365784279,0.03078705362335674,-0.018884603455875767,0.017104441401100668,-0.004919609616225929
adx_14,880939,0.0001180419116887598,36.55453159257093,33.97152255445781,16.201315286056136,10.68453367564471,80.71289947598727,1.234313872836166,0.9722753404109283,0.5942295224373192,0.4758654941206417,0.009173209449190596,-0.010571720145216814,0.054837518775190844
efficiency_ratio_20,880963,9.080147052981522e-05,0.21388183456280818,0.1836034912718185,0.1578761382500593,0.0034075726865473764,0.6647204302121617,0.009362411331814337,0.007397114860589054,0.004781577553140281,0.005306537676614087,0.007901465212293532,-0.00473609926208092,0.006219162541763076
efficiency_ratio_40,880883,0.00018160294105963045,0.15482216021995976,0.13057583130575898,0.11736361236152784,0.0023713718748490033,0.4991272922970795,0.008685595958129913,0.007183101822705864,0.005549341246814536,0.004485996202883658,0.005898331356067981,-0.00481314248509078,0.015891476731193996
higher_high_lower_low_score,881043,0.0,0.046196383150425124,0.0,1.9141556652313396,-2.0,2.0,0.8243353713924957,0.39223227027636787,0.0,0.0,-0.028336880186191193,0.03141383852405058,0.0012273356997009829
donchian_position_55,880823,0.00024970404395699186,0.5253072639310674,0.5314581791265721,0.2836678463676797,-0.0693269300787912,1.0839319696810823,0.040161874247300354,0.032315903009456526,0.028488429316108618,0.01712285673225773,-0.024767382749107232,0.03308101949835651,0.011697224166147076
breakout_duration_55,881043,0.0,0.06104469361881316,0.0,0.39518853377001883,0.0,2.0,0.0,0.0,0.0,0.0,-0.007961162703362274,0.010963378797225263,-0.02083641752254826
return_autocorr_20,880959,9.5341544056306e-05,-0.07364225091186727,-0.07733386257060164,0.210063156147848,-0.5356112231266326,0.42130762601633925,0.02612961592103881,0.018825807307001115,0.013299832736735432,0.009631294590524152,5.7509542521976224e-05,0.0004787953576744102,0.015923723661911388
trend_direction_consistency_20,880963,9.080147052981522e-05,0.15397746556892852,0.1,0.12249750709798227,0.0,0.5,1.5364373876342487e-16,2.830524433501838e-17,1.4989724041661926e-17,0.0,0.0014884597672411228,-0.001722620478360679,-0.002464625798268758
mean_cross_count_ema20_96,880659,0.0004358470585431131,13.839757499781413,14.0,4.831403475774675,4.0,26.0,0.9646602669175457,0.8521466107154603,0.5345224838248488,0.5773502691896257,-0.008078335724975296,0.005304258680432151,-0.013559961789744371
range_width_atr_96,880659,0.0004358470585431131,11.546259298299246,10.46801705756929,4.954505619075627,4.875457686451609,29.09635941345067,0.41702326915319066,0.32755888023326984,0.27925338099220914,0.12510596453335385,-0.007651836071669705,0.0072492233662747076,-0.08598965301710361
range_round_trip_count_96,880663,0.00043130698501662237,6.919879681558099,7.0,2.41569974329216,2.0,13.0,0.48233013345877285,0.42607330535773014,0.2672612419124244,0.28867513459481287,-0.008078543203576434,0.0053073492798715325,-0.01356390280979672
breakout_failure_rate_96,877230,0.004327825089127319,0.529916534487095,0.5,0.19119942817197308,0.0,1.0,0.03632622867503559,0.030078456904244898,0.029485845118717022,0.024392132326872182,-0.006875269785372222,0.00501874571406678,-0.005819959727825567
zscore_ema20,880967,8.626139700332447e-05,0.03294940635660606,0.057397768912908306,1.1457890843712986,-2.5990050186010323,2.6225335416225124,0.09505735273180445,0.07370298394889135,0.05717694961119566,0.03639091969758006,-0.03022566290136336,0.03966649969500345,0.012671162784774278
zscore_ema50,880847,0.00022246360279804732,0.038828806702875085,0.06120835648630191,1.2492105200690165,-2.947796766757203,2.985738968676383,0.1579584274279789,0.1157769852947304,0.08890191975812299,0.05355987993297833,-0.02988266667185,0.036034378565120914,0.011016819730513003
