prototype,symbol,year,regime,bars,coverage
Regime-1,SOLUSDT,2023,NON_TREND,26352,0.7520547945205479
Regime-1,SOLUSDT,2023,TREND,8688,0.24794520547945206
Regime-1,SOLUSDT,2024,NON_TREND,25433,0.7238444899817851
Regime-1,SOLUSDT,2024,TREND,9703,0.2761555100182149
Regime-1,SOLUSDT,2025,NON_TREND,25309,0.7222888127853881
Regime-1,SOLUSDT,2025,TREND,9731,0.27771118721461185
Regime-1,SOLUSDT,2026,NON_TREND,12822,0.750175520711444
Regime-1,SOLUSDT,2026,TREND,4270,0.24982447928855606
Regime-2,BNBUSDT,2020,RANGE,11414,0.36509612001407415
Regime-2,BNBUSDT,2020,TREND,8065,0.2579726833637207
Regime-2,BNBUSDT,2020,UNCERTAIN,11784,0.37693119662220514
Regime-2,BNBUSDT,2021,RANGE,10602,0.30256849315068496
Regime-2,BNBUSDT,2021,TREND,11000,0.3139269406392694
Regime-2,BNBUSDT,2021,UNCERTAIN,13438,0.38350456621004564
Regime-2,BNBUSDT,2022,RANGE,12570,0.3587328767123288
Regime-2,BNBUSDT,2022,TREND,9006,0.25702054794520546
Regime-2,BNBUSDT,2022,UNCERTAIN,13464,0.38424657534246576
Regime-2,BNBUSDT,2023,RANGE,14396,0.41084474885844746
Regime-2,BNBUSDT,2023,TREND,8006,0.22848173515981735
Regime-2,BNBUSDT,2023,UNCERTAIN,12638,0.36067351598173514
Regime-2,BNBUSDT,2024,RANGE,11285,0.3211805555555556
Regime-2,BNBUSDT,2024,TREND,9504,0.27049180327868855
Regime-2,BNBUSDT,2024,UNCERTAIN,14347,0.40832764116575593
Regime-2,BNBUSDT,2025,RANGE,9927,0.28330479452054796
Regime-2,BNBUSDT,2025,TREND,10037,0.28644406392694066
Regime-2,BNBUSDT,2025,UNCERTAIN,15076,0.43025114155251143
Regime-2,BNBUSDT,2026,RANGE,5119,0.299496840627194
Regime-2,BNBUSDT,2026,TREND,4832,0.28270535923238943
Regime-2,BNBUSDT,2026,UNCERTAIN,7141,0.41779780014041656
Regime-2,BTCUSDT,2020,RANGE,13583,0.38658356102003644
Regime-2,BTCUSDT,2020,TREND,9158,0.2606443533697632
Regime-2,BTCUSDT,2020,UNCERTAIN,12395,0.35277208561020035
Regime-2,BTCUSDT,2021,RANGE,9519,0.2716609589041096
Regime-2,BTCUSDT,2021,TREND,10707,0.3055650684931507
Regime-2,BTCUSDT,2021,UNCERTAIN,14814,0.42277397260273974
Regime-2,BTCUSDT,2022,RANGE,13336,0.38059360730593605
Regime-2,BTCUSDT,2022,TREND,7946,0.22676940639269405
