prototype,symbol,regime,bars,coverage,avg_duration_bars,avg_duration_minutes,mean_fwd_ret_240m,mean_fwd_mae_atr_120m
Regime-0,BNBUSDT,ALL,223651,1.0,223651.0,3354765.0,0.00036570876747490504,1.6206884614899733
Regime-0,BTCUSDT,ALL,227524,1.0,227524.0,3412860.0,0.00023329117172327552,1.6171526816199864
Regime-0,ETHUSDT,ALL,227524,1.0,227524.0,3412860.0,0.0003181729522233471,1.62474212403526
Regime-0,SOLUSDT,ALL,202344,1.0,202344.0,3035160.0,0.0005536267013942375,1.5701879711002138
Regime-1,BNBUSDT,NON_TREND,163201,0.7297128114785983,72.34978339593508,1085.2467509390262,0.0003237294316400057,1.6255209444665353
Regime-1,BNBUSDT,TREND,60450,0.27028718852140166,16.591563275434243,248.87344913151364,0.0004790424179325261,1.6076435554169302
Regime-1,BTCUSDT,NON_TREND,167566,0.7364761519663859,77.90971915543726,1168.645787331559,0.0002523900871163662,1.630220731489561
Regime-1,BTCUSDT,TREND,59958,0.26352384803361406,15.827212382000734,237.408185730011,0.00017991888203186792,1.5806356794618452
Regime-1,ETHUSDT,NON_TREND,166953,0.7337819306974209,74.82188999299204,1122.3283498948806,0.00032761578340241636,1.6481131953119061
Regime-1,ETHUSDT,TREND,60571,0.2662180693025791,16.50626537451916,247.5939806177874,0.0002921474057255523,1.5603320982745315
Regime-1,SOLUSDT,NON_TREND,146751,0.7252550112679398,69.68911285101976,1045.3366927652964,0.00047364170557044464,1.5919499904329055
Regime-1,SOLUSDT,TREND,55593,0.27474498873206027,16.623046066950874,249.3456910042631,0.0007648165060353022,1.512740170740031
Regime-2,BNBUSDT,RANGE,75313,0.3367434082566141,30.42121546081022,456.3182319121533,0.00012535926141810495,1.6980691500346685
Regime-2,BNBUSDT,TREND,60450,0.27028718852140166,16.591563275434243,248.87344913151364,0.0004790424179325261,1.6076435554169302
Regime-2,BNBUSDT,UNCERTAIN,87888,0.39296940322198426,23.558210449663207,353.3731567449481,0.000493740044662014,1.5633380657298903
Regime-2,BTCUSDT,RANGE,77020,0.3385137392099295,29.93801609971436,449.07024149571544,0.0002815566551799411,1.7173481211240627
Regime-2,BTCUSDT,TREND,59958,0.26352384803361406,15.827212382000734,237.408185730011,0.00017991888203186792,1.5806356794618452
Regime-2,BTCUSDT,UNCERTAIN,90546,0.39796241275645644,24.516930620899874,367.7539593134981,0.0002275763871433565,1.5560914683064695
Regime-2,ETHUSDT,RANGE,77188,0.33925212285297374,28.768590972690056,431.52886459035085,0.00030454228601645454,1.7405722032953088
Regime-2,ETHUSDT,TREND,60571,0.2662180693025791,16.50626537451916,247.5939806177874,0.0002921474057255523,1.5603320982745315
Regime-2,ETHUSDT,UNCERTAIN,89765,0.3945298078444472,23.20852225254832,348.1278337882248,0.0003474597624133089,1.5685900415832683
Regime-2,SOLUSDT,RANGE,68310,0.3375934052900012,29.65337432293954,444.8006148440931,-0.00028858277512307066,1.6832308024044031
Regime-2,SOLUSDT,TREND,55593,0.27474498873206027,16.623046066950874,249.3456910042631,0.0007648165060353022,1.512740170740031
Regime-2,SOLUSDT,UNCERTAIN,78441,0.3876616059779386,23.271082724595555,349.06624086893333,0.0011374384683564827,1.5124443066024262
Regime-3,BNBUSDT,EXTREME,30729,0.13739710531140034,13.683523707247225,205.2528556087084,0.0011524930431544738,1.4446113596121521
Regime-3,BNBUSDT,RANGE,55241,0.2469964364120885,21.750782932966455,326.26174399449684,0.00010711038753924833,1.7044193624547825
Regime-3,BNBUSDT,TRANSITION,97475,0.4358352969582072,15.245601436265709,228.68402154398564,0.00012966904936298495,1.6491111822901818
Regime-3,BNBUSDT,TREND,40206,0.17977116131830395,14.02661294334179,210.39919415012685,0.0006919443724945003,1.5713273395316334
Regime-3,BTCUSDT,EXTREME,33344,0.14655157258135407,13.199196257197697,197.98794385796546,0.0003989673813074234,1.4446132026782386
Regime-3,BTCUSDT,RANGE,55917,0.24576308433396038,22.9986766099755,344.9801491496325,0.0002495491701357888,1.7361429847722025
Regime-3,BTCUSDT,TRANSITION,98514,0.4329828941122695,14.70848813366628,220.6273220049942,0.00016000283279022693,1.6398843893994774
Regime-3,BTCUSDT,TREND,39749,0.1747024489724161,13.498276686205942,202.47415029308914,0.0002530632356272972,1.5381687131920774
Regime-3,ETHUSDT,EXTREME,32576,0.14317610449886606,12.278732809430256,184.18099214145383,0.0006938988405382218,1.434735840769776
Regime-3,ETHUSDT,RANGE,57015,0.2505889488581424,22.121950363939312,331.82925545908967,0.00019992334357276962,1.7484864552510746
Regime-3,ETHUSDT,TRANSITION,96708,0.4250452699495438,14.790317243661331,221.85475865491998,0.00025392258849876595,1.657066148102586
Regime-3,ETHUSDT,TREND,41225,0.18118967669344774,14.214069132807762,213.21103699211642,0.0003355345294514519,1.5279277248619891
Regime-3,SOLUSDT,EXTREME,27500,0.1359071679911438,13.226254545454545,198.39381818181818,0.002059517265521635,1.3798720988785365
Regime-3,SOLUSDT,RANGE,49796,0.24609575771952713,21.969555787613462,329.54333681420195,-0.0005333870976815471,1.7007404478093222
Regime-3,SOLUSDT,TRANSITION,87995,0.4348782271774799,14.670185806011705,220.05278709017557,0.0005638686873407448,1.5890097518204507
Regime-3,SOLUSDT,TREND,37053,0.18311884711184911,14.233746255363938,213.50619383045907,0.0008726901315275322,1.4912785771315984
