symbol,prototype,gate,leverage_mode,event_id,signal_time,entry_time,exit_time,entry_price,exit_price,quantity,atr,stop_loss,liquidation_price,min_low_1m,max_high_1m,mae_atr,mfe_atr,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,exit_reason,reason
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-09-24T17:00:00+00:00,2020-09-24 17:00:00+00:00,2020-09-24 17:00:00+00:00,2020-09-25 02:15:00+00:00,3.13802748,3.0333932,637.3430483789135,0.04683571428571422,2.9975203371428574,1.5847038774,3.0258,3.2538,-2.396194479182556,2.4718854354125424,2.0,-68.6545870146427,-0.0686545870146427,1000.0,931.3454129853573,False,,donchian20_exit,atr_pct_rank_gt_80pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-10-09T08:15:00+00:00,2020-10-09 08:15:00+00:00,2020-10-09 08:15:00+00:00,2020-10-09 18:00:00+00:00,2.48179626,2.54679054,750.5413945505401,0.031050000000000053,2.38864626,1.2533071112999998,2.4763,2.6289,-0.17701320450884908,4.737640579710141,2.0,46.89381627426311,0.05035061709698932,931.3454129853573,978.2392292596204,False,,donchian20_exit,atr_pct_rank_gt_80pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-10-12T05:15:00+00:00,2020-10-12 05:15:00+00:00,2020-10-12 05:15:00+00:00,2020-10-12 10:42:00+00:00,2.54530896,2.498651986779428,3074.6420010547417,0.015385714285714272,2.499151817142857,2.2398718848,2.4635,2.5968,-5.317202599814301,3.3466785515320403,8.0,-151.20767659538006,-0.15457126648848613,978.2392292596204,827.0315526642403,False,,atr_stop,all_raise_conditions_met
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-11-06T04:15:00+00:00,2020-11-06 04:15:00+00:00,2020-11-06 04:15:00+00:00,2020-11-07 15:00:00+00:00,1.60092012,2.1115776,1033.1952760569218,0.027092857142857158,1.5196415485714285,0.8084646606,1.5602,2.5,-1.5029836013709468,33.18512607434746,2.0,525.6910284657938,0.6356360005519823,827.0315526642403,1352.722581130034,False,,donchian20_exit,drawdown_gt_10pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-11-15T08:15:00+00:00,2020-11-15 08:15:00+00:00,2020-11-15 08:15:00+00:00,2020-11-15 09:24:00+00:00,2.1577314600000004,2.092577146565143,1880.7566273284542,0.021578571428571447,2.092995745714286,1.4492762973000004,2.0824,2.1636,-3.491030916914955,0.2719614697120101,3.0,-126.53630483163755,-0.09354194762235134,1352.722581130034,1226.1862762983965,False,,atr_stop,default_3x
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-12-01T06:00:00+00:00,2020-12-01 06:00:00+00:00,2020-12-01 06:00:00+00:00,2020-12-01 12:26:00+00:00,2.0509101,1.9992530265514286,1793.62265995725,0.01708571428571426,1.9996529571428572,1.3775279505,1.9494,2.1334,-5.941226588628761,4.828004180602033,3.0,-96.28552966458645,-0.07852439023804166,1226.1862762983965,1129.90074663381,False,,atr_stop,default_3x
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-12-13T12:30:00+00:00,2020-12-13 12:30:00+00:00,2020-12-13 12:30:00+00:00,2020-12-13 14:15:00+00:00,1.6116222599999999,1.5701867312622857,1402.1905438732401,0.01370714285714287,1.5705008314285713,0.8138692412999999,1.5657,1.65,-3.3502430432516768,2.7998351224596254,2.0,-60.331257816390114,-0.053395183600089165,1129.90074663381,1069.56948881742,False,,atr_stop,drawdown_gt_10pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-12-15T02:15:00+00:00,2020-12-15 02:15:00+00:00,2020-12-15 02:15:00+00:00,2020-12-16 00:30:00+00:00,1.64112816,1.66126768,651.7281921586307,0.01417857142857139,1.598592445714286,0.0082056408,1.6303,1.8012,-0.7636989420654888,11.289701561712873,1.0,12.0493607252448,0.011265617476212127,1069.56948881742,1081.6188495426647,False,,donchian20_exit,drawdown_gt_20pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2020-12-16T15:15:00+00:00,2020-12-16 15:15:00+00:00,2020-12-16 15:15:00+00:00,2020-12-17 03:30:00+00:00,1.7543507999999999,1.7063586600000002,616.5351020689048,0.02326428571428572,1.6845579428571427,0.008771754,1.6879,1.8167,-2.8563438747313454,2.6800392999693092,1.0,-30.6556633634809,-0.02834239009096677,1081.6188495426647,1050.9631861791838,False,,donchian20_exit,drawdown_gt_20pct
SOLUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,SOLUSDT_2021-01-01T17:15:00+00:00,2021-01-01 17:15:00+00:00,2021-01-01 17:15:00+00:00,2021-01-01 17:45:00+00:00,1.69173828,1.6226065509154286,621.2327276646976,0.02293571428571428,1.6229311371428572,0.008458691400000001,1.6039,1.713,-3.829759950171284,0.9270136406104108,1.0,-43.976382367250714,-0.04184388468175418,1050.9631861791838,1006.9868038119331,False,,atr_stop,drawdown_gt_20pct
