factor,prototype,forward_window,event_count,safe20_top20,safe20_bottom20,safe20_edge,mae_top20,mae_bottom20,mae_edge,hit_liq20_top20,hit_liq20_bottom20,hit_liq20_edge,mfe_top20,mfe_bottom20,mfe_edge,fast_follow_top20,fast_follow_bottom20,fast_follow_edge,factor_role
range_atr,P4_BREAKOUT_TOP20,1m,738,0.9662162162162162,0.9931972789115646,-0.02698106269534839,-0.0007755734384788047,-0.0005403074002671857,-0.00023526603821161902,0.0,0.0,0.0,0.0014866327051108288,0.0007021553564877017,0.0007844773486231271,0.16216216216216217,0.061224489795918366,0.1009376723662438,alpha_only
atr_pct,P4_BREAKOUT_TOP20,1m,738,0.9932432432432432,0.9727891156462585,0.020454127596984728,-0.0009671579843012533,-0.00036824804961707347,-0.0005989099346841798,0.0,0.0,0.0,0.002040951288548036,0.0003277692306324658,0.0017131820579155705,0.14864864864864866,0.10884353741496598,0.039805111233682675,dual_use_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,1m,738,0.9864864864864865,0.9931972789115646,-0.006710792425078105,-0.0009017154876711019,-0.00040783588034447007,-0.0004938796073266319,0.0,0.0,0.0,0.0018571234307303481,0.00040526213798659425,0.0014518612927437538,0.13513513513513514,0.11564625850340136,0.01948887663173378,alpha_only
volatility_ratio_short_long,P4_BREAKOUT_TOP20,1m,735,0.972972972972973,0.9795918367346939,-0.006618863761720828,-0.0007575901846038581,-0.0005639197615410368,-0.00019367042306282127,0.0,0.0,0.0,0.0013909003297882193,0.0007211351503967301,0.0006697651793914892,0.16216216216216217,0.10884353741496598,0.05331862474719619,alpha_only
atr_percentile_200,P4_BREAKOUT_TOP20,1m,738,0.9864864864864865,0.9863945578231292,9.19286633572769e-05,-0.0007788714867416615,-0.0005267078511498885,-0.000252163635591773,0.0,0.0,0.0,0.0013082210329091813,0.0005954519369633163,0.000712769095945865,0.11486486486486487,0.10884353741496598,0.006021327449898889,dual_use_candidate
prior_5m_range_pct,P4_BREAKOUT_TOP20,1m,738,0.9662162162162162,0.9931972789115646,-0.02698106269534839,-0.0010830513613202402,-0.0003323900926495531,-0.0007506612686706872,0.0,0.0,0.0,0.002557152982526998,0.0002880608410495822,0.002269092141477416,0.2702702702702703,0.06802721088435375,0.20224305938591652,alpha_only
prior_15m_range_pct,P4_BREAKOUT_TOP20,1m,738,0.972972972972973,0.9931972789115646,-0.02022430593859159,-0.0011013296551859952,-0.00031880726455307004,-0.0007825223906329251,0.0,0.0,0.0,0.002508097730411495,0.0004897997740945645,0.0020182979563169307,0.25,0.10204081632653061,0.14795918367346939,alpha_only
prior_30m_range_pct,P4_BREAKOUT_TOP20,1m,738,0.972972972972973,0.9931972789115646,-0.02022430593859159,-0.0011064322142519546,-0.00030516943970058914,-0.0008012627745513654,0.0,0.0,0.0,0.0024681817781879384,0.00044203382731266584,0.0020261479508752725,0.24324324324324326,0.08843537414965986,0.1548078690935834,alpha_only
prior_5m_return,P4_BREAKOUT_TOP20,1m,738,0.9594594594594594,0.9931972789115646,-0.03373781945210519,-0.0009746121799264702,-0.0005766614979505436,-0.0003979506819759267,0.0,0.0,0.0,0.0024295754080159416,0.0007268024052031945,0.001702773002812747,0.2702702702702703,0.04081632653061224,0.22945394373965805,alpha_only
prior_15m_return,P4_BREAKOUT_TOP20,1m,738,0.9662162162162162,0.9863945578231292,-0.02017834160691301,-0.0009973605197279003,-0.0005186563563222979,-0.00047870416340560246,0.0,0.0,0.0,0.0022947921357646898,0.0006749886585521837,0.001619803477212506,0.25,0.07482993197278912,0.17517006802721088,alpha_only
prior_30m_return,P4_BREAKOUT_TOP20,1m,738,0.972972972972973,0.9863945578231292,-0.01342158485015621,-0.0010754757009053546,-0.0005415106140189775,-0.0005339650868863771,0.0,0.0,0.0,0.00215682505121229,0.0006411790762626579,0.0015156459749496318,0.20945945945945946,0.08163265306122448,0.12782680639823496,alpha_only
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,1m,737,1.0,0.9455782312925171,0.05442176870748294,-0.0005811051476413892,-0.0006383841166617646,5.727896902037546e-05,0.0,0.0,0.0,0.0008229534578246102,0.0010025570671035391,-0.00017960360927892893,0.10135135135135136,0.14285714285714285,-0.04150579150579149,path_safety_only
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,1m,737,0.9864864864864865,0.9727891156462585,0.01369737084022804,-0.0005928303440632095,-0.0007725024582818116,0.0001796721142186021,0.0,0.0,0.0,0.0007158760095040841,0.0013278715867070297,-0.0006119955772029456,0.08783783783783784,0.1564625850340136,-0.06862474719617577,path_safety_only
