factor,prototype,forward_window,original_safe20_edge,remove_best_1_month,remove_best_2_month,remove_best_symbol,remove_top1pct_mfe,remove_top5pct_mfe,repeat_worst_1_month,stress_status
range_atr,P4_BREAKOUT_TOP20,1m,-0.02698106269534839,-0.028119069024073462,-0.022166943062465472,-0.044562419562419575,-0.03396701146211911,-0.035410334346504535,-0.025764558022622563,month_dependent
atr_pct,P4_BREAKOUT_TOP20,1m,0.020454127596984728,0.01423434222355413,5.527915975678255e-05,0.00917280917280916,0.02059453918553722,0.014387031408307993,0.01965028435616678,stress_pass
atr_pct_rank,P4_BREAKOUT_TOP20,1m,-0.006710792425078105,-0.014184397163120588,-0.014814814814814836,-0.009009009009009028,-0.006756127108377585,-0.00704154002026347,-0.012944571768101154,month_dependent
volatility_ratio_short_long,P4_BREAKOUT_TOP20,1m,-0.006618863761720828,-0.006940222897669712,-0.014813152283694286,-0.008927108927109018,-0.006707605101558767,-0.006988694758478964,-0.01285968933027748,month_dependent
atr_percentile_200,P4_BREAKOUT_TOP20,1m,9.19286633572769e-05,9.989012086708549e-05,0.0001105583195135651,-0.008545727136431869,9.318796011559272e-05,0.00010131712259364711,-0.006408624055682877,symbol_dependent
prior_5m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02698106269534839,-0.03546099290780147,-0.03703703703703709,-0.03563384813384807,-0.02716429037368373,-0.028318135764944352,-0.0324250912486207,month_dependent
prior_15m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02022430593859159,-0.028368794326241176,-0.029629629629629672,-0.02670527670527667,-0.02036156928524835,-0.021225937183384058,-0.025931584755114145,month_dependent
prior_30m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02022430593859159,-0.028368794326241176,-0.029629629629629672,-0.027027027027026973,-0.02036156928524835,-0.021225937183384058,-0.025931584755114145,month_dependent
prior_5m_return,P4_BREAKOUT_TOP20,1m,-0.03373781945210519,-0.035161322545200324,-0.0369817578772802,-0.044562419562419575,-0.03396701146211911,-0.035410334346504535,-0.03891859774212714,month_dependent
prior_15m_return,P4_BREAKOUT_TOP20,1m,-0.02017834160691301,-0.028318135764944352,-0.02957435046987289,-0.02847985347985349,-0.020314975305190552,-0.021175278622087235,-0.02588914353620242,month_dependent
prior_30m_return,P4_BREAKOUT_TOP20,1m,-0.01342158485015621,-0.021225937183384058,-0.022166943062465472,-0.017696267696267642,-0.01351225421675517,-0.021175278622087235,-0.019395637042695868,month_dependent
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,1m,0.05442176870748294,0.05673758865248224,0.052238805970149294,0.034782608695652195,0.05517241379310345,0.05714285714285716,0.05228758169934644,stress_pass
