factor,prototype,forward_window,label_edge,ordinary_mean,ordinary_p05,ordinary_p50,ordinary_p95,ordinary_positive_rate,monthly_mean,monthly_p05,monthly_p50,monthly_p95,monthly_positive_rate,symbol_mean,symbol_p05,symbol_p50,symbol_p95,symbol_positive_rate,bootstrap_status
range_atr,P4_BREAKOUT_TOP20,1m,-0.02698106269534839,-0.02702595602660983,-0.0547945205479452,-0.02631578947368418,-0.0007193232530582203,0.0388,-0.02632170729755478,-0.04861111111111116,-0.02672618880447858,-0.0020497907567829793,0.0348,-0.02728452568199658,-0.05342555994729914,-0.02698106269534839,-0.006172839506172867,0.016,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,1m,0.020454127596984728,0.020303830501226226,-0.002276451118760586,0.0198611812105553,0.046666666666666634,0.9144,0.020795588463090924,-0.006371468234525556,0.01943662827853987,0.05172896744904859,0.8836,0.01967824319538509,-0.00497512437810943,0.020454127596984728,0.030303030303030276,0.9328,robust_path_safety_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,1m,-0.006710792425078105,-0.006485276887180008,-0.026666666666666616,-0.006535947712418277,0.012739102583638286,0.2694,-0.007118213132220555,-0.02684563758389258,-0.0066225165562914245,0.0112581766982428,0.2514,-0.006613403077652123,-0.012820512820512775,-0.006710792425078105,5.2132207277733045e-05,0.0854,event_sample_fragile
volatility_ratio_short_long,P4_BREAKOUT_TOP20,1m,-0.006618863761720828,-0.006456400307073055,-0.036143017240812654,-0.006485142810336353,0.0232323255466269,0.3512,-0.006436182682221073,-0.03623275480740769,-0.0065455377955377925,0.02308437702876606,0.3588,-0.005822728355027916,-0.021582733812949617,-0.006618863761720828,0.009169458649268214,0.3148,event_sample_fragile
atr_percentile_200,P4_BREAKOUT_TOP20,1m,9.19286633572769e-05,-4.186548141880586e-05,-0.021703122675197146,0.0,0.021722964349527765,0.4918,-0.0004512259387870059,-0.024227994227994175,0.0,0.0214836694799864,0.498,0.0007513544047289097,-0.016404308202154105,9.19286633572769e-05,0.021149425287356305,0.5608,event_sample_fragile
prior_5m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02698106269534839,-0.02710720508465128,-0.05446380435207251,-0.02660786966159595,-0.0003011105870108192,0.0406,-0.026978029914282546,-0.05217391304347829,-0.026761281916410418,-0.00181083220399772,0.0368,-0.02877915758518966,-0.058014005057381746,-0.02698106269534839,-0.010695187165775444,0.0,event_sample_fragile
prior_15m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02022430593859159,-0.020266038718021837,-0.04599882777514359,-0.019867549668874163,0.002293460162454801,0.0784,-0.020023563910925857,-0.043165467625899234,-0.01980966589809663,0.0011398737714526774,0.063,-0.02122511425010039,-0.03749999999999998,-0.02022430593859159,-0.007133152173913082,0.0128,event_sample_fragile
prior_30m_range_pct,P4_BREAKOUT_TOP20,1m,-0.02022430593859159,-0.020215927612132343,-0.04528020667726558,-0.019867549668874163,0.0021993068430756933,0.079,-0.020490853508840595,-0.04396884847997204,-0.020134228187919434,0.0018797841231615656,0.0694,-0.022035322000479356,-0.045358401880141064,-0.02022430593859159,-0.00666666666666671,0.0136,event_sample_fragile
prior_5m_return,P4_BREAKOUT_TOP20,1m,-0.03373781945210519,-0.03361679822219284,-0.0637366178231967,-0.03274201973547908,-0.006749712960745597,0.0186,-0.0335557674675404,-0.06097752856899204,-0.03318600378538511,-0.007046797681999655,0.019,-0.03429957704649231,-0.06172839506172845,-0.03373781945210519,-0.007563025210084007,0.0,event_sample_fragile
prior_15m_return,P4_BREAKOUT_TOP20,1m,-0.02017834160691301,-0.020512293078058318,-0.050056725347973195,-0.020128573330543742,0.00789195134766533,0.1178,-0.01996730711488129,-0.04895104895104896,-0.019727862289966758,0.008070056711662518,0.1236,-0.021014969398610528,-0.032931387067202667,-0.02157258064516121,-0.0067024686732442,0.0,event_sample_fragile
prior_30m_return,P4_BREAKOUT_TOP20,1m,-0.01342158485015621,-0.013357927388587177,-0.04075769845018776,-0.013386343125753264,0.013333724017401485,0.2068,-0.012939021390418156,-0.03876502667565939,-0.01318229329921089,0.013334466569532116,0.2004,-0.014723023059742574,-0.026523985914848835,-0.014533085961657477,-0.0015845070422535468,0.015,event_sample_fragile
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,1m,0.05442176870748294,0.05460226004332565,0.02563285970929285,0.05369127516778527,0.08750456204379566,0.9994,0.05431286616874992,0.02631578947368418,0.05405405405405406,0.08433734939759041,0.9992,0.05311739317781783,0.02083333333333337,0.05442176870748294,0.085427135678392,0.9966,robust_path_safety_candidate
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,1m,0.01369737084022804,0.013762957577695618,-0.01308168155772829,0.013496464617665516,0.04090787215911213,0.7976,0.014007025572226007,-0.012917990197609523,0.013585874757684857,0.04138135074474595,0.7988,0.01481217917161703,-0.0011348756001746674,0.013739545997610514,0.032786885245901676,0.7286,robust_path_safety_candidate
