data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,,96,,5.651886002844533,,-0.2102816545925228,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,,108,,4.748842744418472,,-0.687684007746536,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,,108,,4.7441054385584565,,-0.9732944634616865,,1,,3,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,,108,,4.155254374622395,,-0.21615434811922019,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,,108,,3.8440373850929337,,-0.25490562659897364,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,,108,,3.743067750978228,,-0.31280841738329546,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,,189,,3.03453104232188,,-0.6098779395983527,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,,189,,3.1188064136887923,,-0.8917905492477705,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,,189,,2.366549982922268,,-0.28166502422167183,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,,189,,2.356239950164863,,-0.2973933522433373,,0,,0,insufficient_h4_sample
cross_asset_holdout,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,,189,,2.202831136830525,,-0.35199433593219354,,0,,0,insufficient_h4_sample
