factor,label,prototype,month,event_count,top20_minus_bottom20
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-01,156,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-02,192,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-03,174,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-04,90,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-05,168,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-06,108,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-07,168,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-08,126,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-09,144,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-10,192,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-11,216,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2024-12,120,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-01,174,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-02,84,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-03,108,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-04,150,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-05,168,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-06,150,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-07,216,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-08,180,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-09,198,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-10,132,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-11,78,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2025-12,174,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2026-01,138,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2026-02,48,0.0
momentum_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,2026-03,138,0.0
