factor,label,prototype,symbol,event_count,top20_minus_bottom20
momentum_score_quantile,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.01153500336413271
breakout_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
breakout_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0045045045045044585
breakout_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
breakout_score_quantile,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.03125
breakout_score_quantile,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.023346303501945553
breakout_score_quantile,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.03603603603603611
breakout_score_quantile,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.041860465116279055
breakout_score_quantile,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.0625
breakout_score_quantile,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.027237354085603127
breakout_score_quantile,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.08108108108108103
breakout_score_quantile,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.09302325581395343
breakout_score_quantile,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.05729166666666674
breakout_score_quantile,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
breakout_score_quantile,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
breakout_score_quantile,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
breakout_score_quantile,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
breakout_score_quantile,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
breakout_score_quantile,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
breakout_score_quantile,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
breakout_score_quantile,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
breakout_score_quantile,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,2.2595302024757888e-06
breakout_score_quantile,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0003664201487081698
breakout_score_quantile,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.000180668830102903
breakout_score_quantile,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-2.53267630260835e-05
breakout_score_quantile,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0054473050162946
breakout_score_quantile,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0029927940242976247
breakout_score_quantile,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.009124758520059287
breakout_score_quantile,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.010052129823492796
breakout_distance_atr,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
breakout_distance_atr,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
breakout_distance_atr,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.018604651162790753
breakout_distance_atr,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.03125
breakout_distance_atr,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.01945525291828787
breakout_distance_atr,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0045045045045045695
breakout_distance_atr,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.023255813953488413
breakout_distance_atr,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.08333333333333337
breakout_distance_atr,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
breakout_distance_atr,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.009009009009009028
breakout_distance_atr,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.05581395348837204
breakout_distance_atr,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.04166666666666663
breakout_distance_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
breakout_distance_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
breakout_distance_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
breakout_distance_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
breakout_distance_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
breakout_distance_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
breakout_distance_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
breakout_distance_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
breakout_distance_atr,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.00015207315296012305
breakout_distance_atr,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0006318071005109646
breakout_distance_atr,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.0001629143113198615
breakout_distance_atr,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,1.3031746163017595e-05
breakout_distance_atr,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.003080512167544269
breakout_distance_atr,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0023150461835613903
breakout_distance_atr,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.008456527815189092
breakout_distance_atr,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.007164962049051173
range_atr,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
range_atr,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.04504504504504514
range_atr,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
range_atr,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
range_atr,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.035019455252918275
range_atr,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.036036036036036
range_atr,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.06976744186046513
range_atr,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.10416666666666663
range_atr,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.046692607003890996
range_atr,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0045045045045044585
range_atr,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.13023255813953483
range_atr,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.08333333333333326
range_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
range_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
range_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
range_atr,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
range_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
range_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
range_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
range_atr,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
range_atr,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.00036979776466452587
range_atr,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0007338462493992554
range_atr,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.00023359742148772362
range_atr,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.0006147391183686558
range_atr,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.008764306445611329
range_atr,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.004457679953472706
range_atr,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.010807858960365516
range_atr,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.01001878221604372
body_ratio,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
body_ratio,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0495495495495496
body_ratio,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.018604651162790753
body_ratio,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.03125
body_ratio,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.16342412451361865
body_ratio,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.12162162162162171
body_ratio,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.018604651162790753
body_ratio,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.03645833333333337
body_ratio,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.12840466926070038
body_ratio,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.1711711711711712
body_ratio,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.05581395348837204
body_ratio,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,0.046875
body_ratio,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
body_ratio,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
body_ratio,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
body_ratio,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
body_ratio,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
body_ratio,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
body_ratio,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
body_ratio,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
body_ratio,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0005209417656148435
body_ratio,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.00041230379886886335
body_ratio,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,9.25850754650839e-05
body_ratio,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.000638730696191021
body_ratio,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.0030735305984999064
body_ratio,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.001557437215916167
body_ratio,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0020958581379853704
body_ratio,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.0032892116206087937
