symbol,prototype,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason,failure_source,forward_window,safe_for_10x,safe_for_20x,hit_liquidation_10x,hit_liquidation_20x,mae_pct,mfe_pct,atr_pct_rank,breakout_score_quantile,momentum_score_quantile,bars_after_breakout
SOLUSDT,P4_BREAKOUT_TOP20,fixed_20x,base,12,SOLUSDT_2024-02-28T10:45:00+00:00,2024-02-28 10:46:00+00:00,2024-02-28 17:31:00+00:00,112.17243,107.12467065,104.6,107.12467065,20.0,-14671.37507850054,-0.95,15443.552714211097,772.1776357105548,True,liquidation_price,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.0006278726421456993,0.028175996543892134,0.870121130551817,0.9629878869448183,0.7725437415881561,
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,base,4,SOLUSDT_2024-01-10T23:00:00+00:00,2024-01-10 23:01:00+00:00,2024-01-11 06:00:00+00:00,103.1236206,98.2213518,99.0,98.483057673,20.0,-2597.7906492333886,-0.9499999999999998,2734.5164728772515,136.72582364386258,True,account_floor_after_costs,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.01832383879663746,0.023819755219106398,0.9986541049798116,0.382907133243607,0.9569313593539704,
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,base,18,SOLUSDT_2024-02-28T10:45:00+00:00,2024-02-28 10:46:00+00:00,2024-02-28 17:31:00+00:00,112.17243,107.12467065,104.6,107.12467065,20.0,-353.98651464523397,-0.95,372.6173838370884,18.630869191854423,True,liquidation_price,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.0006278726421456993,0.028175996543892134,0.870121130551817,0.9629878869448183,0.7725437415881561,
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,base,23,SOLUSDT_2024-03-08T12:00:00+00:00,2024-03-08 12:01:00+00:00,2024-03-08 15:32:00+00:00,149.63592119999998,142.90230474599997,141.5,142.90230474599997,20.0,-66.54949920994976,-0.95,70.05210443152606,3.502605221576303,True,liquidation_price,fixed_20x,L1_liquidation,60m,False,False,False,False,-0.008353082535104472,0.003629334424814612,0.6352624495289367,0.3613728129205922,0.6736204576043069,
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,base,95,SOLUSDT_2024-11-13T17:00:00+00:00,2024-11-13 17:01:00+00:00,2024-11-13 20:02:00+00:00,218.513694,208.68057777,208.2,208.68057777,20.0,-46.87069133859123,-0.9499999999999998,49.33756983009605,2.4668784915048025,True,liquidation_price,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.010817143569958554,0.010325696109462212,0.9798115746971736,0.5491251682368775,0.8977119784656796,
BNBUSDT,P4_BREAKOUT_TOP20,fixed_20x,base,2,BNBUSDT_2024-01-03T06:15:00+00:00,2024-01-03 06:16:00+00:00,2024-01-03 12:00:00+00:00,318.203628,298.270334,315.41,303.88446473999994,20.0,-1143.0221845627689,-0.95,1203.181246908178,60.1590623454089,True,account_floor_after_costs,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.0015512959519116132,0.010862138881710282,0.5165876777251185,0.8952080042127436,0.6329647182727751,
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,base,2,BNBUSDT_2024-01-03T06:15:00+00:00,2024-01-03 06:16:00+00:00,2024-01-03 12:00:00+00:00,318.203628,298.270334,315.41,303.88446473999994,20.0,-1046.5110922813844,-0.95,1101.590623454089,55.07953117270445,True,account_floor_after_costs,all_raise_conditions_met,L1_liquidation,60m,True,True,False,False,-0.0015512959519116132,0.010862138881710282,0.5165876777251185,0.8952080042127436,0.6329647182727751,
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,base,2,BNBUSDT_2024-01-03T06:15:00+00:00,2024-01-03 06:16:00+00:00,2024-01-03 12:00:00+00:00,318.203628,298.270334,315.41,303.88446473999994,20.0,-1143.0221845627689,-0.95,1203.181246908178,60.1590623454089,True,account_floor_after_costs,fixed_20x,L1_liquidation,60m,True,True,False,False,-0.0015512959519116132,0.010862138881710282,0.5165876777251185,0.8952080042127436,0.6329647182727751,
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,base,2,BNBUSDT_2024-01-03T06:15:00+00:00,2024-01-03 06:16:00+00:00,2024-01-03 12:00:00+00:00,318.203628,298.270334,315.41,303.88446473999994,20.0,-1046.5110922813844,-0.95,1101.590623454089,55.07953117270445,True,account_floor_after_costs,all_raise_conditions_met,L1_liquidation,60m,True,True,False,False,-0.0015512959519116132,0.010862138881710282,0.5165876777251185,0.8952080042127436,0.6329647182727751,
SOLUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,3,SOLUSDT_2024-01-14T16:15:00+00:00,2024-01-14 16:16:00+00:00,2024-01-14 19:30:00+00:00,100.1330226,97.13057,98.138,90.620385453,10.0,-446.032157920793,-0.3096964733290691,1440.2235618836378,994.1914039628448,False,,fixed_10x,L2_extreme_trade_loss,60m,True,True,False,False,-0.0005794551936355585,0.02812236489902986,0.8714670255720054,0.8768506056527591,0.9138627187079408,
