time,equity
2020-01-01 00:00:00+00:00,1000.0
2020-01-06 13:55:00+00:00,971.1662878456441
2020-01-08 02:58:00+00:00,948.6184098371035
2020-01-11 21:54:00+00:00,932.8387406343784
2020-01-13 00:24:00+00:00,923.434907155587
2020-01-14 09:48:00+00:00,911.7765635343303
2020-01-15 04:00:00+00:00,928.939816395879
2020-01-17 14:30:00+00:00,910.7549746775671
2020-01-22 07:36:00+00:00,901.3049573058654
2020-01-27 09:00:00+00:00,896.0981141313711
2020-01-30 23:39:00+00:00,878.3529095383835
2020-02-02 22:15:00+00:00,893.3781012198733
2020-02-06 23:00:00+00:00,922.1825384189352
2020-02-13 08:00:00+00:00,1013.369534600589
2020-02-15 02:00:00+00:00,998.0715520722431
2020-02-19 17:46:00+00:00,978.1019482031454
2020-02-23 12:00:00+00:00,1007.6831623116803
2020-03-20 01:30:00+00:00,1116.751404993327
2020-03-20 13:22:00+00:00,1074.8483461812104
2020-03-24 12:19:00+00:00,1040.3352193718697
2020-03-27 05:15:00+00:00,1021.392563847998
2020-03-31 23:59:00+00:00,1006.6015969722253
2020-04-07 14:15:00+00:00,1167.1871821802258
2020-04-17 23:43:00+00:00,1114.6524601964793
2020-04-19 05:15:00+00:00,1149.4570906547103
2020-04-23 06:15:00+00:00,1150.5966693793227
2020-04-25 21:45:00+00:00,1203.0854955730392
2020-04-30 09:15:00+00:00,1371.3228610060896
2020-05-01 12:32:00+00:00,1295.719625386107
2020-05-03 06:11:00+00:00,1281.0328662531742
2020-05-08 05:30:00+00:00,1267.0177589150971
2020-05-14 16:45:00+00:00,1300.7129491226501
2020-05-18 09:00:00+00:00,1357.9508028549187
2020-05-29 05:15:00+00:00,1499.5995294215386
2020-05-31 03:45:00+00:00,1779.7979515128325
2020-06-05 10:10:00+00:00,1691.396168346816
2020-06-09 00:23:00+00:00,1636.093979802311
2020-06-10 18:52:00+00:00,1615.3698020567601
2020-06-16 14:42:00+00:00,1595.4331631434525
2020-06-23 01:45:00+00:00,1612.5990271742505
2020-06-24 07:25:00+00:00,1599.2466834031766
2020-06-30 04:58:00+00:00,1580.8424840980936
2020-07-07 06:30:00+00:00,1624.2896355298042
2020-07-20 11:00:00+00:00,1622.4940700067605
2020-07-22 08:00:00+00:00,1625.121227905431
2020-07-23 05:15:00+00:00,1720.782962591936
2020-07-24 05:00:00+00:00,1678.274135393014
2020-07-24 23:45:00+00:00,1679.9012514658018
2020-07-27 08:00:00+00:00,1818.1018742461133
2020-07-31 01:30:00+00:00,1871.8713750928016
2020-08-01 10:27:00+00:00,1781.878040147031
2020-08-05 14:25:00+00:00,1702.6003789208785
2020-08-05 22:03:00+00:00,1675.6135478973788
2020-08-09 06:00:00+00:00,1653.6451230050675
2020-08-14 14:15:00+00:00,1698.9301092331145
2020-08-15 08:42:00+00:00,1659.062425648117
2020-08-17 23:30:00+00:00,1627.2638067146308
2020-08-24 15:45:00+00:00,1614.9204680838113
2020-08-31 06:15:00+00:00,1652.4866483238852
2020-09-02 08:00:00+00:00,1690.726026858527
2020-09-09 23:26:00+00:00,1652.7640404705548
2020-09-10 07:45:00+00:00,1646.6493929005173
2020-09-13 10:00:00+00:00,1660.503878478257
2020-09-18 01:15:00+00:00,1627.6376906276791
