time,equity
2020-01-01 00:00:00+00:00,1000.0
2020-01-05 09:00:00+00:00,994.6317323228278
2020-01-08 02:58:00+00:00,971.4144128063535
2020-01-11 05:15:00+00:00,955.370069061009
2020-01-11 21:46:00+00:00,943.8810534978526
2020-01-15 04:00:00+00:00,961.8309373453278
2020-01-15 04:15:00+00:00,1009.6172265443888
2020-01-17 14:30:00+00:00,990.2475467945011
2020-01-19 06:45:00+00:00,986.2688682217056
2020-01-27 09:00:00+00:00,981.7380213001321
2020-01-28 17:30:00+00:00,987.2709831659587
2020-01-29 10:15:00+00:00,977.5090458966005
2020-02-02 22:15:00+00:00,993.584349591154
2020-02-06 00:30:00+00:00,995.1803191623478
2020-02-06 23:00:00+00:00,1026.5162035659566
2020-02-13 08:00:00+00:00,1128.8156177023159
2020-02-15 02:00:00+00:00,1110.1090331419716
2020-02-23 11:00:00+00:00,1116.132921868658
2020-03-05 15:00:00+00:00,1125.7377310483673
2020-03-20 01:30:00+00:00,1236.3661719890508
2020-03-27 05:15:00+00:00,1209.7476494980453
2020-04-02 20:30:00+00:00,1193.8074064202601
2020-04-07 14:15:00+00:00,1418.5341237965335
2020-04-12 22:16:00+00:00,1400.736971396775
2020-04-17 23:43:00+00:00,1362.4370740645802
2020-04-19 05:15:00+00:00,1418.7150279397197
2020-04-23 06:15:00+00:00,1419.347846601872
2020-04-23 23:15:00+00:00,1438.487719504562
2020-04-25 21:45:00+00:00,1418.8661480346773
2020-04-26 15:08:00+00:00,1410.0917026532577
2020-04-30 09:15:00+00:00,1578.8201531426587
2020-05-03 06:10:00+00:00,1536.023449638509
2020-05-05 10:01:00+00:00,1518.198553725694
2020-05-06 23:56:00+00:00,1501.062419938964
2020-05-08 05:30:00+00:00,1479.1813623595344
2020-05-14 16:45:00+00:00,1531.2060020286574
2020-05-15 02:45:00+00:00,1558.267069663633
2020-05-17 22:15:00+00:00,1553.753233382063
2020-05-18 09:00:00+00:00,1644.4165761681818
2020-05-29 05:15:00+00:00,1722.3583184357358
2020-05-29 08:30:00+00:00,1732.4049679854975
2020-05-30 20:15:00+00:00,1723.089957657435
2020-05-31 03:43:00+00:00,1705.1660681055737
2020-05-31 03:45:00+00:00,1854.4898798864833
2020-06-02 14:46:00+00:00,1829.2023578554883
2020-06-09 00:00:00+00:00,1821.0030373516754
2020-06-09 00:22:00+00:00,1808.8175807716013
2020-06-09 00:23:00+00:00,1779.432928221271
2020-06-10 18:52:00+00:00,1736.0154054806505
2020-06-23 01:45:00+00:00,1729.2268112874935
2020-06-24 07:25:00+00:00,1701.9204181490404
2020-07-02 06:00:00+00:00,1699.0404919961438
2020-07-07 06:30:00+00:00,1679.1136308008354
2020-07-09 00:30:00+00:00,1675.2835456833932
2020-07-20 11:00:00+00:00,1672.5731951288194
2020-07-22 05:00:00+00:00,1673.5818473159827
