time,equity
2020-01-01 00:00:00+00:00,1000.0
2020-01-05 09:00:00+00:00,994.6317323228278
2020-01-06 13:55:00+00:00,985.0204949380426
2020-01-07 13:15:00+00:00,1010.8145464630867
2020-01-08 02:58:00+00:00,988.043521285235
2020-01-11 05:15:00+00:00,971.1624972336965
2020-01-11 21:46:00+00:00,959.0743525810732
2020-01-11 21:54:00+00:00,943.517300064339
2020-01-13 00:24:00+00:00,934.4029628951707
2020-01-14 09:48:00+00:00,923.2185887983031
2020-01-15 04:00:00+00:00,939.4735359557731
2020-01-15 04:15:00+00:00,989.7517841725115
2020-01-17 14:30:00+00:00,972.2111068362719
2020-01-18 04:45:00+00:00,974.0142527048677
2020-01-19 06:45:00+00:00,969.8141605492318
2020-01-22 07:36:00+00:00,960.8808950891304
2020-01-27 09:00:00+00:00,957.0253914311562
2020-01-28 17:30:00+00:00,962.8662627920617
2020-01-29 10:15:00+00:00,952.5610734185883
2020-01-30 23:39:00+00:00,936.0585542276123
2020-02-02 22:15:00+00:00,949.7492475586487
2020-02-06 00:30:00+00:00,951.434032884721
2020-02-06 13:48:00+00:00,937.5589563095587
2020-02-06 23:00:00+00:00,964.2464759843479
2020-02-12 08:03:00+00:00,952.0489469941654
2020-02-13 08:00:00+00:00,1039.173267224588
2020-02-15 02:00:00+00:00,1023.2416172008598
2020-02-19 17:46:00+00:00,1002.7636030867222
2020-02-23 11:00:00+00:00,1008.8143006629391
2020-02-23 12:00:00+00:00,1018.71930124523
2020-03-05 15:00:00+00:00,1028.3668558831896
2020-03-20 01:30:00+00:00,1250.178886012177
2020-03-20 13:22:00+00:00,1204.427425221612
2020-03-20 16:30:00+00:00,1186.6284880813885
2020-03-24 12:19:00+00:00,1112.5874253297204
2020-03-27 05:15:00+00:00,1093.3707569536505
2020-03-30 23:08:00+00:00,1063.4662163346093
2020-03-31 23:59:00+00:00,1048.739572374768
2020-04-02 20:30:00+00:00,1031.235875829804
2020-04-07 14:15:00+00:00,1188.773729790305
2020-04-12 22:16:00+00:00,1169.2309942467048
2020-04-17 23:43:00+00:00,1138.2437394806605
2020-04-19 05:15:00+00:00,1177.6956933128024
2020-04-23 06:15:00+00:00,1178.1393116557642
2020-04-23 23:15:00+00:00,1199.156464629094
2020-04-25 08:46:00+00:00,1190.8097865872146
2020-04-25 21:45:00+00:00,1211.2360355625747
2020-04-26 15:08:00+00:00,1201.753425098307
2020-04-30 09:15:00+00:00,1354.067568490331
2020-05-01 12:32:00+00:00,1326.2597819516818
2020-05-01 13:30:00+00:00,1307.9178041778482
2020-05-03 06:10:00+00:00,1290.2721362428222
2020-05-03 06:11:00+00:00,1273.7510356296066
2020-05-05 10:01:00+00:00,1255.0788983289713
2020-05-06 23:56:00+00:00,1237.1282609489324
2020-05-08 05:30:00+00:00,1221.5434485303206
