symbol,period,event_count,mean_short_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,sample_status
BNBUSDT,2020Q1,85,0.012416661757973239,0.5176470588235295,0.43529411764705883,valid
BNBUSDT,2020Q2,76,0.0017669006273795236,0.4605263157894737,0.47368421052631576,valid
BNBUSDT,2020Q3,77,-0.0006584626771011194,0.45454545454545453,0.5194805194805194,valid
BNBUSDT,2020Q4,95,-0.002622813906105389,0.4,0.5894736842105263,valid
BNBUSDT,2021Q1,69,-0.007152002941137309,0.2898550724637681,0.6376811594202898,valid
BNBUSDT,2021Q2,147,-0.005214760468789909,0.5306122448979592,0.46258503401360546,valid
BNBUSDT,2021Q3,107,-0.004181885695041086,0.45794392523364486,0.5046728971962616,valid
BNBUSDT,2021Q4,117,-0.004667457873037794,0.4700854700854701,0.48717948717948717,valid
BNBUSDT,2022Q1,148,0.007662506364638325,0.5405405405405406,0.4189189189189189,valid
BNBUSDT,2022Q2,184,-0.005559948683279781,0.5380434782608695,0.45108695652173914,valid
BNBUSDT,2022Q3,89,-0.004479930156406203,0.4157303370786517,0.5617977528089888,valid
BNBUSDT,2022Q4,97,-0.004301375324250829,0.4639175257731959,0.4948453608247423,valid
BNBUSDT,2023Q1,88,-0.0017815276093682034,0.4659090909090909,0.45454545454545453,valid
BNBUSDT,2023Q2,116,0.00286987062419274,0.4482758620689655,0.5086206896551724,valid
BNBUSDT,2023Q3,96,-0.001482051628275394,0.4791666666666667,0.4791666666666667,valid
BNBUSDT,2023Q4,75,-0.003685090252014513,0.44,0.52,valid
BNBUSDT,2024Q1,59,-0.007300886643262038,0.4406779661016949,0.559322033898305,valid
BNBUSDT,2024Q2,113,-0.001687146943219549,0.3893805309734513,0.5486725663716814,valid
BNBUSDT,2024Q3,134,0.0016210558700206126,0.5,0.48507462686567165,valid
BNBUSDT,2024Q4,110,-0.005919765125729206,0.4,0.5181818181818182,valid
BNBUSDT,2025Q1,196,0.002140535622697994,0.5051020408163265,0.47959183673469385,valid
BNBUSDT,2025Q2,166,0.00046477976484489306,0.5240963855421686,0.4578313253012048,valid
BNBUSDT,2025Q3,84,-0.003469102858179418,0.34523809523809523,0.6428571428571429,valid
BNBUSDT,2025Q4,154,-7.922329544697768e-05,0.5,0.487012987012987,valid
BNBUSDT,2026Q1,167,0.0023496779164513715,0.5149700598802395,0.4431137724550898,valid
BNBUSDT,2026Q2,117,0.0011555442203595714,0.5172413793103449,0.45689655172413796,valid
BTCUSDT,2020Q1,96,0.002838372660146501,0.5,0.4375,valid
BTCUSDT,2020Q2,57,-9.348543119526407e-05,0.5614035087719298,0.3684210526315789,valid
BTCUSDT,2020Q3,75,0.0005570510685159303,0.52,0.4266666666666667,valid
BTCUSDT,2020Q4,34,-0.012585004278786158,0.3235294117647059,0.6176470588235294,valid
BTCUSDT,2021Q1,103,-0.005376653764184163,0.5048543689320388,0.4854368932038835,valid
BTCUSDT,2021Q2,147,-0.00713402162736719,0.5034013605442177,0.4557823129251701,valid
BTCUSDT,2021Q3,97,-0.005012035428167402,0.422680412371134,0.4639175257731959,valid
BTCUSDT,2021Q4,92,-0.0028717165571063826,0.5,0.44565217391304346,valid
BTCUSDT,2022Q1,99,6.894686534743246e-05,0.5151515151515151,0.43434343434343436,valid
