symbol,volatility_regime,trend_strength_bucket,event_count,mean_short_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16
ETHUSDT,high_vol,1_0_1_5,279,0.001378404569363354,0.5161290322580645,0.44086021505376344
ETHUSDT,high_vol,1_5_2_5,428,-0.002608607703820908,0.4742990654205608,0.49065420560747663
ETHUSDT,high_vol,gt_2_5,537,-0.005276040998179298,0.49162011173184356,0.4729981378026071
ETHUSDT,low_vol,0_0_5,38,-0.0013571711535783043,0.7368421052631579,0.23684210526315788
ETHUSDT,low_vol,0_5_1_0,38,0.0029870445823877378,0.4473684210526316,0.5263157894736842
ETHUSDT,low_vol,1_0_1_5,30,-0.0005562155418016153,0.4666666666666667,0.5333333333333333
ETHUSDT,low_vol,1_5_2_5,56,-0.00135303042234538,0.39285714285714285,0.5535714285714286
ETHUSDT,low_vol,gt_2_5,69,0.0035380062642133277,0.463768115942029,0.4927536231884058
ETHUSDT,mid_vol,0_0_5,96,0.0005033642122502432,0.5416666666666666,0.40625
ETHUSDT,mid_vol,0_5_1_0,85,-0.001892998056865567,0.5529411764705883,0.4117647058823529
ETHUSDT,mid_vol,1_0_1_5,76,0.0036576631662925173,0.5263157894736842,0.4473684210526316
ETHUSDT,mid_vol,1_5_2_5,140,-0.0022522767259954297,0.4928571428571429,0.4642857142857143
ETHUSDT,mid_vol,gt_2_5,161,-0.000443878155213225,0.4968944099378882,0.453416149068323
SOLUSDT,high_vol,0_0_5,188,-0.0009972309508052256,0.44680851063829785,0.5212765957446809
SOLUSDT,high_vol,0_5_1_0,219,-0.004224712076579623,0.5388127853881278,0.4200913242009132
SOLUSDT,high_vol,1_0_1_5,264,-0.002158442737460957,0.4810606060606061,0.48484848484848486
SOLUSDT,high_vol,1_5_2_5,503,-0.00301061135173853,0.4731610337972167,0.4970178926441352
SOLUSDT,high_vol,gt_2_5,706,-0.007434829509520122,0.4660056657223796,0.5056657223796034
SOLUSDT,low_vol,0_0_5,68,0.0020886820057317373,0.4264705882352941,0.5735294117647058
SOLUSDT,low_vol,0_5_1_0,59,0.002072446146105907,0.5423728813559322,0.4576271186440678
SOLUSDT,low_vol,1_0_1_5,60,-0.0034118046365670027,0.4166666666666667,0.5833333333333334
SOLUSDT,low_vol,1_5_2_5,99,0.005091074961407098,0.5050505050505051,0.48484848484848486
SOLUSDT,low_vol,gt_2_5,168,-0.0001373620963497701,0.4583333333333333,0.5238095238095238
SOLUSDT,mid_vol,0_0_5,93,-0.0036188163537551215,0.44086021505376344,0.5483870967741935
SOLUSDT,mid_vol,0_5_1_0,84,0.0002215244820189453,0.4880952380952381,0.5
SOLUSDT,mid_vol,1_0_1_5,93,-0.004585520581011845,0.4731182795698925,0.5161290322580645
SOLUSDT,mid_vol,1_5_2_5,195,0.0011106154323803226,0.5538461538461539,0.4307692307692308
SOLUSDT,mid_vol,gt_2_5,310,0.002398981820750621,0.5225806451612903,0.44193548387096776
