symbol,period,event_count,mean_short_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,sample_status
BNBUSDT,2020,333,0.0026721674170924054,0.45645645645645644,0.5075075075075075,valid
BNBUSDT,2021,440,-0.005121846209921384,0.4590909090909091,0.5068181818181818,valid
BNBUSDT,2022,518,-0.001360862560095541,0.5038610038610039,0.4691119691119691,valid
BNBUSDT,2023,375,-0.0006467417664895209,0.45866666666666667,0.49066666666666664,valid
BNBUSDT,2024,416,-0.002536905273518557,0.43509615384615385,0.5216346153846154,valid
BNBUSDT,2025,600,0.00032182232571192237,0.4866666666666667,0.49833333333333335,valid
BNBUSDT,2026,284,0.0018602096876646267,0.5159010600706714,0.44876325088339225,valid
BTCUSDT,2020,262,-0.0004540313341377885,0.4961832061068702,0.44274809160305345,valid
BTCUSDT,2021,439,-0.005359594252209501,0.48519362186788156,0.4624145785876993,valid
BTCUSDT,2022,420,-0.0013569001433415611,0.47619047619047616,0.4738095238095238,valid
BTCUSDT,2023,226,-0.0011065399087295505,0.46017699115044247,0.4778761061946903,valid
BTCUSDT,2024,379,-0.0018057596539417225,0.43535620052770446,0.5303430079155673,valid
BTCUSDT,2025,612,0.0006957613777219995,0.4820261437908497,0.4820261437908497,valid
BTCUSDT,2026,301,0.0017029623495706029,0.4883720930232558,0.4418604651162791,valid
ETHUSDT,2020,306,-3.5077279873950366e-05,0.48366013071895425,0.46078431372549017,valid
ETHUSDT,2021,467,-0.00572386568383511,0.4925053533190578,0.47751605995717344,valid
ETHUSDT,2022,452,-0.0011834002207613305,0.5154867256637168,0.4424778761061947,valid
ETHUSDT,2023,240,-0.0010858025238937548,0.4708333333333333,0.4791666666666667,valid
ETHUSDT,2024,377,-0.00025954689118358666,0.46949602122015915,0.4986737400530504,valid
ETHUSDT,2025,472,0.0012407042043904128,0.5190677966101694,0.4576271186440678,valid
ETHUSDT,2026,223,-0.0004936218206942982,0.484304932735426,0.47533632286995514,valid
SOLUSDT,2020,249,0.000362577922823075,0.5381526104417671,0.44176706827309237,valid
SOLUSDT,2021,553,-0.009056055026943097,0.49547920433996384,0.4755877034358047,valid
SOLUSDT,2022,589,-0.0026644687063551963,0.46519524617996605,0.5110356536502547,valid
SOLUSDT,2023,319,-0.004161964210340292,0.38557993730407525,0.5736677115987461,valid
SOLUSDT,2024,511,-0.001742948160804592,0.49706457925636005,0.48336594911937375,valid
SOLUSDT,2025,616,0.0013277883428320235,0.5275974025974026,0.4496753246753247,valid
SOLUSDT,2026,272,0.0007280580312460221,0.44485294117647056,0.5257352941176471,valid
