symbol,event_count,mean_short_fwd_ret_1,median_short_fwd_ret_1,plus_1atr_first_rate_1,minus_1atr_first_rate_1,ambiguous_rate_1,mean_short_fwd_ret_4,median_short_fwd_ret_4,plus_1atr_first_rate_4,minus_1atr_first_rate_4,ambiguous_rate_4,mean_short_fwd_ret_8,median_short_fwd_ret_8,plus_1atr_first_rate_8,minus_1atr_first_rate_8,ambiguous_rate_8,mean_short_fwd_ret_16,median_short_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,ambiguous_rate_16,mean_short_fwd_ret_32,median_short_fwd_ret_32,plus_1atr_first_rate_32,minus_1atr_first_rate_32,ambiguous_rate_32
BNBUSDT,2966,0.00014144028612247524,-0.0005454109773497251,0.27612946729602156,0.2339851652056642,0.023263654753877275,-0.0007633432141040163,-0.0011568217862784058,0.4383007417397168,0.4393122049898854,0.025960890087660147,-0.0007069631356974217,-0.0013438199388659533,0.4676331759946055,0.48347943358057993,0.025960890087660147,-0.0008927674225241739,-0.0021091676060948084,0.4741989881956155,0.49308600337268127,0.02664418212478921,-0.0005009253297951067,-0.0022214845645124326,0.47586905163685456,0.49679379007762403,0.0269996625042187
BTCUSDT,2639,-0.00014107470756866461,-0.00059696269992493,0.2546419098143236,0.20917014020462296,0.030693444486547934,-0.0010745004445574745,-0.001247268352384534,0.4281924971580144,0.4236453201970443,0.038272072754831375,-0.0009315520543821804,-0.0014168607385877108,0.46267525577870405,0.4645699128457749,0.03940886699507389,-0.0011511100584682466,-0.0019138062580185133,0.4751799924213717,0.47555892383478593,0.03978779840848806,-0.0006905134721241198,-0.0018848122376216025,0.4793482379689276,0.47896930655551345,0.04016672982190224
ETHUSDT,2537,2.7074966907582567e-05,-0.0007748372487971222,0.27906976744186046,0.18880567599527,0.029168309026409146,-0.0009358844628376336,-0.0015166191857520772,0.4532912889239259,0.4052029956641703,0.031139140717382736,-0.0006965598159163777,-0.0016582927010369009,0.48640126133228223,0.45841545132045725,0.031533307055577456,-0.0012225395691879439,-0.002684618954467144,0.4942845880961766,0.4686637761135199,0.031533307055577456,-0.0006241327734126846,-0.003253517316017418,0.4966495861253449,0.4718171068190776,0.031533307055577456
SOLUSDT,3109,-0.0002628512845803777,-0.0009440386282034696,0.24638147314248954,0.19909938887101963,0.014795754261820521,-0.0012450038064641268,-0.001739992703256421,0.4293985204245738,0.4310067545834674,0.017690575747828882,-0.0011084321569255638,-0.0022290545734050538,0.473142489546478,0.4782888388549373,0.018012222579607592,-0.0024732879655021077,-0.002804381184189686,0.484078481826954,0.49018977163074945,0.018012222579607592,-0.002954220696789874,-0.0032145112220882677,0.48761659697651977,0.4934062399485365,0.018012222579607592
ALL,11251,-6.233221201229239e-05,-0.0007045561296383784,0.2635321304772909,0.2083370367078482,0.023997866856279443,-0.0010083315583268807,-0.0013547060075183026,0.4368500577726424,0.42565105323971203,0.027730868367256245,-0.0008682345001203943,-0.0015684850085853075,0.47222469113856547,0.4719580481734957,0.028175273309039198,-0.0014645217798984658,-0.0022603966717294477,0.4816888888888889,0.4826666666666667,0.028444444444444446,-0.0012512983461580858,-0.0025165888178112494,0.4846194879089616,0.4860419630156472,0.028627311522048365
