event_id,symbol,prototype,signal_time,execution_time,execution_open,close_15m,donchian55_lower,donchian20_upper,ema50,ema200,atr14,body_ratio,close_location,lower_shadow_ratio,upper_shadow_ratio,volume,volume_mean,trend_regime,volatility_regime,trend_strength_bucket,short_breakout_distance_atr,data_layer,oos_status,short_fwd_ret_1,short_mfe_1,short_mae_1,plus_1atr_first_1,minus_1atr_first_1,ambiguous_touch_1,short_fwd_ret_4,short_mfe_4,short_mae_4,plus_1atr_first_4,minus_1atr_first_4,ambiguous_touch_4,short_fwd_ret_8,short_mfe_8,short_mae_8,plus_1atr_first_8,minus_1atr_first_8,ambiguous_touch_8,short_fwd_ret_16,short_mfe_16,short_mae_16,plus_1atr_first_16,minus_1atr_first_16,ambiguous_touch_16,short_fwd_ret_32,short_mfe_32,short_mae_32,plus_1atr_first_32,minus_1atr_first_32,ambiguous_touch_32
ETHUSDT_SHORT_2020-01-02T17:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-02 17:00:00+00:00,2020-01-02 17:00:00+00:00,127.45,127.45,128.67,129.95,129.57551485915457,129.90756164383225,0.5485714285714322,0.716738197424894,0.283261802575106,,0.0,58886.181,5129.019270833333,bear,high_vol,0_5_1_0,2.223958333333291,expanded_discovery,not_oos,0.005284745227953858,0.009504950495049513,0.00015692428403291103,True,False,False,0.0007066582914572184,0.009504950495049513,0.0011769321302470548,True,False,False,-7.845598619171668e-05,0.009504950495049513,0.0014123185562964213,True,False,False,0.0026748485563685698,0.009504950495049513,0.0014123185562964213,True,False,False,0.0035433070866142113,0.009504950495049513,0.0026677128285601537,True,False,False
ETHUSDT_SHORT_2020-01-02T17:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-02 17:15:00+00:00,2020-01-02 17:15:00+00:00,126.76,126.78,126.79,129.95,129.46588682546223,129.8764416274757,0.5821428571428606,0.5491803278688544,0.43442622950819804,,0.016393442622947573,41051.498,5669.1558749999995,bear,high_vol,0_5_1_0,0.017177914110438133,expanded_discovery,not_oos,0.00015780337699244917,0.0026101399984181928,0.004181129693909824,False,False,False,-0.004241948153966946,0.0026101399984181928,0.006626696118649411,False,True,False,-0.004007228726329748,0.0026101399984181928,0.006863363837172454,False,True,False,-0.0033807689283748,0.0026101399984181928,0.006863363837172454,False,True,False,-0.0005519198927698143,0.0026101399984181928,0.008125591669296384,False,True,False
ETHUSDT_SHORT_2020-01-03T02:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-03 02:00:00+00:00,2020-01-03 02:00:00+00:00,125.96,125.96,126.21,127.79,127.66105814976062,129.0664730657456,0.3142857142857157,0.6271186440678007,0.30508474576269756,,0.06779661016950173,8883.627,5469.384614583333,bear,low_vol,gt_2_5,0.7954545454545419,expanded_discovery,not_oos,-0.0026130334943385014,0.0012718600953893766,0.0032550015878056726,False,True,False,-0.007485619730517756,0.0012718600953893766,0.00833597967608779,False,True,False,-0.00631113916061854,0.0012718600953893766,0.00833597967608779,False,True,False,-0.024926459204211326,0.0012718600953893766,0.03350269926960947,False,True,False,-0.04806529625151146,0.0012718600953893766,0.05565258812321372,False,True,False
ETHUSDT_SHORT_2020-01-09T16:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-09 16:15:00+00:00,2020-01-09 16:15:00+00:00,136.61,136.66,137.6,138.9,138.76783929124923,140.3222270548889,0.5678571428571421,0.6837209302325649,0.16744186046511117,,0.14883720930232397,26163.335,10130.682020833334,bear,low_vol,gt_2_5,1.6553459119496838,expanded_discovery,not_oos,0.004854726002206933,0.008564045773348239,0.0005856086670081861,True,False,False,0.007448377581121157,0.009458361043375385,0.0005856086670081861,True,False,False,0.004928644990437103,0.009458361043375385,0.0005856086670081861,True,False,False,-0.01825368307581743,0.009458361043375385,0.019910694678281216,True,False,False,-0.009354604786076859,0.009458361043375385,0.019910694678281216,True,False,False
ETHUSDT_SHORT_2020-01-09T16:30:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-09 16:30:00+00:00,2020-01-09 16:30:00+00:00,135.95,135.95,136.3,138.9,138.65733578963162,140.2787223080741,0.634999999999999,0.5322580645161453,0.40322580645160994,,0.06451612903224475,22386.769,10259.238218749999,bear,mid_vol,gt_2_5,0.5511811023622414,expanded_discovery,not_oos,-0.00212859659424558,0.0045813936303849,0.005075395365943258,False,True,False,0.0005887981158458899,0.0045813936303849,0.005075395365943258,False,True,False,0.0008097762073024928,0.0045813936303849,0.005075395365943258,False,True,False,-0.020744795793416593,0.0045813936303849,0.02486208164766479,False,True,False,-0.01227840743969777,0.0045813936303849,0.02486208164766479,False,True,False
ETHUSDT_SHORT_2020-01-20T12:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-20 12:00:00+00:00,2020-01-20 12:00:00+00:00,163.3,163.24,163.63,166.65,165.63442915670015,168.1370952159522,0.6957142857142884,0.6422413793103384,0.306034482758625,,0.0517241379310366,15784.401999999998,4613.3234999999995,bear,low_vol,gt_2_5,0.560574948665276,expanded_discovery,not_oos,-0.004025372041961406,0.003626083215536813,0.0063686466625840765,False,True,False,0.0030712530712531105,0.007154311089182297,0.0063686466625840765,False,True,False,-0.00572333170969308,0.011145510835913308,0.012308634415186814,False,True,False,-0.022331317727354305,0.011145510835913308,0.0240661359461114,False,True,False,-0.026527570789865784,0.011145510835913308,0.028597672994488565,False,True,False
ETHUSDT_SHORT_2020-01-20T13:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-20 13:15:00+00:00,2020-01-20 13:15:00+00:00,161.73,161.76,162.14,166.4,165.15211123319128,167.88667734232547,0.9342857142857152,0.7936507936507994,0.20634920634920062,,0.0,12632.13,4436.029635416667,bear,mid_vol,gt_2_5,0.40672782874617214,expanded_discovery,not_oos,-0.003512014787430795,0.0008663902469210338,0.004946515797934925,False,False,False,-0.017077914185000598,0.0008663902469210338,0.022135658195758356,False,True,False,-0.02607491268216311,0.0008663902469210338,0.032585172818895725,False,True,False,-0.03080242104632358,0.0008663902469210338,0.03858282322389184,False,True,False,-0.03288883573521495,0.0008663902469210338,0.03858282322389184,False,True,False
ETHUSDT_SHORT_2020-01-23T01:45:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-23 01:45:00+00:00,2020-01-23 01:45:00+00:00,165.66,165.7,166.12,168.38,167.83664408677356,168.07169809165262,0.5021428571428572,0.6523809523809563,0.3333333333333288,,0.014285714285714866,24938.289,3499.7964583333337,bear,low_vol,0_0_5,0.8364153627311838,expanded_discovery,not_oos,0.0035134480251997058,0.0040000000000000036,0.0012676566461427008,True,False,False,0.0007249003262050913,0.00790946702360662,0.0022938548834963157,True,False,False,-0.0004223737404210892,0.00790946702360662,0.003501146927441745,True,False,False,0.0111083984375,0.01700534102768736,0.003501146927441745,True,False,False,0.011911306578706204,0.01700534102768736,0.003501146927441745,True,False,False
ETHUSDT_SHORT_2020-01-23T05:30:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-23 05:30:00+00:00,2020-01-23 05:30:00+00:00,163.19,163.19,163.8,167.9,166.6572254557075,167.68338732016878,0.7085714285714236,0.8333333333333403,0.05797101449274228,,0.10869565217391752,6656.84,4076.293489583333,bear,high_vol,1_0_1_5,0.8608870967742188,expanded_discovery,not_oos,-0.00396728515625,0.0018417336853091548,0.005269930755561036,False,True,False,-0.0035415521768333846,0.0018417336853091548,0.00723083522274659,False,True,False,-0.011448994426944581,0.0018417336853091548,0.01262332250750653,False,True,False,-0.000612407373384749,0.0018417336853091548,0.015993627060481685,False,True,False,0.0041843578856686214,0.00827927092987335,0.015993627060481685,False,True,False
ETHUSDT_SHORT_2020-01-23T14:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-01-23 14:00:00+00:00,2020-01-23 14:00:00+00:00,161.81,161.74,161.85,164.68,164.2195051040509,166.5044019647092,0.7664285714285707,0.5037593984962264,0.4360902255639151,,0.06015037593985846,9825.813,4249.98803125,bear,high_vol,gt_2_5,0.14352283317798645,expanded_discovery,not_oos,-0.00018536826495307857,0.0027266530334015826,0.001668623694456528,False,False,False,-0.0030805249214466146,0.0027266530334015826,0.004573264940362254,False,False,False,-0.009002939735423765,0.0027266530334015826,0.013534392188369049,False,True,False,-0.0006793478260869179,0.0035351029521211164,0.013534392188369049,False,True,False,-0.005042120150033802,0.01505551721974796,0.013534392188369049,False,True,False
