block,horizon,runs,mean,p05,p50,p95,positive_rate,bootstrap_status
month,16,1000,-0.0014595481195664804,-0.0024423919127206494,-0.0014393013529875342,-0.0005344200426194438,0.008,weak
symbol,16,1000,-0.0014533588153652223,-0.0020920446031583413,-0.0014645217798984662,-0.0010144244918061883,0.0,weak
