time,equity,prototype,sizing_mode
2024-01-01 00:00:00+00:00,1000.0,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-02 14:45:00+00:00,1049.2541604411904,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-09 00:15:00+00:00,1084.3913989606795,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-11 16:00:00+00:00,1353.0451650453574,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-12 16:45:00+00:00,1348.7625421080145,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-14 02:15:00+00:00,1326.585329790737,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-17 03:45:00+00:00,1363.7553335336213,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-27 05:30:00+00:00,1368.9486294752649,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-28 12:00:00+00:00,1369.114843071638,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-30 06:30:00+00:00,1355.5233381837502,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-30 23:00:00+00:00,1375.6441114189472,P0_ALL_TREND_CONTEXT,fixed_2x
2024-01-31 20:07:00+00:00,1327.9853326206546,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-02 13:30:00+00:00,1307.6552579961617,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-03 07:30:00+00:00,1299.712496426476,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-05 15:00:00+00:00,1284.4455017305886,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-06 12:48:00+00:00,1264.8570799733582,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-07 03:15:00+00:00,1290.1241604011223,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-08 05:30:00+00:00,1337.3335913531537,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-08 23:15:00+00:00,1315.8160127496546,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-10 07:45:00+00:00,1343.971036875506,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-10 22:22:00+00:00,1322.4946285479084,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-11 10:15:00+00:00,1324.673851257756,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-13 13:30:00+00:00,1434.3643793856434,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-15 05:45:00+00:00,1558.3638774890114,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-15 21:45:00+00:00,1525.2091697315389,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-18 12:45:00+00:00,1506.121560126564,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-20 01:15:00+00:00,1610.7022365215032,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-20 14:40:00+00:00,1559.5965852102704,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-21 05:45:00+00:00,1530.087720694732,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-22 13:15:00+00:00,1495.8980080045583,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-26 02:45:00+00:00,1622.637146153,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-27 15:45:00+00:00,1734.216685601386,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-28 17:31:00+00:00,1697.7562527385649,P0_ALL_TREND_CONTEXT,fixed_2x
2024-02-29 16:15:00+00:00,1646.186111195742,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-02 05:00:00+00:00,1666.3576056263726,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-03 06:10:00+00:00,1638.6090908372248,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-05 16:00:00+00:00,1882.738155442242,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-07 03:30:00+00:00,1874.8964147330523,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-08 16:00:00+00:00,1847.581175507102,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-10 13:45:00+00:00,1832.0205496394271,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-12 03:15:00+00:00,1850.277294438352,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-13 12:30:00+00:00,1822.2404668312759,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-21 04:30:00+00:00,1798.6232563783565,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-21 15:00:00+00:00,1735.7065665635077,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-26 13:30:00+00:00,1946.0829507843935,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-27 14:00:00+00:00,1868.4787478857108,P0_ALL_TREND_CONTEXT,fixed_2x
2024-03-28 17:23:00+00:00,1798.733476828412,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-01 01:15:00+00:00,1838.0724852793505,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-04 20:00:00+00:00,1745.249577520561,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-07 18:00:00+00:00,1783.8719488401491,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-09 01:00:00+00:00,2053.8194423484388,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-11 11:30:00+00:00,2005.1283778341244,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-21 00:30:00+00:00,2089.8025730042345,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-21 10:00:00+00:00,2101.6422230699714,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-22 15:00:00+00:00,2046.968170776704,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-23 20:00:00+00:00,2041.0337021696723,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-24 14:15:00+00:00,2003.1404941425092,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-28 10:00:00+00:00,2151.5076081779075,P0_ALL_TREND_CONTEXT,fixed_2x
2024-04-28 22:32:00+00:00,2096.0172016677298,P0_ALL_TREND_CONTEXT,fixed_2x
2024-05-03 06:15:00+00:00,2067.620817576499,P0_ALL_TREND_CONTEXT,fixed_2x
