time,equity,symbol,sizing_mode,side_scope
2020-09-14 07:00:00+00:00,1000.0,SOLUSDT,fixed_risk_0_5pct,both
2020-09-23 09:51:00+00:00,1008.8772139977302,SOLUSDT,fixed_risk_0_5pct,both
2020-09-26 03:34:00+00:00,1017.1278792648857,SOLUSDT,fixed_risk_0_5pct,both
2020-09-27 08:11:00+00:00,1011.3219665134503,SOLUSDT,fixed_risk_0_5pct,both
2020-09-27 08:30:00+00:00,1005.6124780016627,SOLUSDT,fixed_risk_0_5pct,both
2020-09-27 12:45:00+00:00,1012.1324880284424,SOLUSDT,fixed_risk_0_5pct,both
2020-10-06 05:08:00+00:00,1006.0329982332853,SOLUSDT,fixed_risk_0_5pct,both
2020-10-06 06:36:00+00:00,999.8634514721831,SOLUSDT,fixed_risk_0_5pct,both
2020-10-12 13:27:00+00:00,1007.4310837576991,SOLUSDT,fixed_risk_0_5pct,both
2020-10-13 01:16:00+00:00,1001.9492079691223,SOLUSDT,fixed_risk_0_5pct,both
2020-10-13 03:05:00+00:00,996.5367414926783,SOLUSDT,fixed_risk_0_5pct,both
2020-10-13 05:28:00+00:00,1009.4101139386966,SOLUSDT,fixed_risk_0_5pct,both
2020-10-18 23:05:00+00:00,1018.9747943949785,SOLUSDT,fixed_risk_0_5pct,both
2020-10-19 00:49:00+00:00,1013.004871691503,SOLUSDT,fixed_risk_0_5pct,both
2020-10-19 03:23:00+00:00,1007.1623468466802,SOLUSDT,fixed_risk_0_5pct,both
2020-10-22 22:56:00+00:00,1001.2027752513306,SOLUSDT,fixed_risk_0_5pct,both
2020-10-22 23:13:00+00:00,995.2613444917388,SOLUSDT,fixed_risk_0_5pct,both
2020-10-22 23:24:00+00:00,989.3444553820271,SOLUSDT,fixed_risk_0_5pct,both
2020-10-23 00:16:00+00:00,983.5473615739793,SOLUSDT,fixed_risk_0_5pct,both
2020-11-02 10:17:00+00:00,977.9957912572524,SOLUSDT,fixed_risk_0_5pct,both
2020-11-02 11:22:00+00:00,972.5282485424225,SOLUSDT,fixed_risk_0_5pct,both
2020-11-02 12:46:00+00:00,967.1517734388409,SOLUSDT,fixed_risk_0_5pct,both
2020-11-07 19:36:00+00:00,962.2065734426671,SOLUSDT,fixed_risk_0_5pct,both
2020-11-15 20:00:00+00:00,957.0553262066553,SOLUSDT,fixed_risk_0_5pct,both
2020-11-15 22:11:00+00:00,951.9566663995876,SOLUSDT,fixed_risk_0_5pct,both
2020-11-22 06:15:00+00:00,950.2785146374256,SOLUSDT,fixed_risk_0_5pct,both
2020-11-23 16:59:00+00:00,960.9584090358325,SOLUSDT,fixed_risk_0_5pct,both
2020-11-25 22:45:00+00:00,955.8796869089729,SOLUSDT,fixed_risk_0_5pct,both
2020-11-25 23:15:00+00:00,950.8391128207793,SOLUSDT,fixed_risk_0_5pct,both
2020-11-26 02:11:00+00:00,945.8426752734741,SOLUSDT,fixed_risk_0_5pct,both
2020-11-30 09:31:00+00:00,940.2645439109164,SOLUSDT,fixed_risk_0_5pct,both
2020-11-30 09:59:00+00:00,947.0333201748244,SOLUSDT,fixed_risk_0_5pct,both
2020-12-01 05:24:00+00:00,941.4143685821543,SOLUSDT,fixed_risk_0_5pct,both
2020-12-14 12:21:00+00:00,936.245599319643,SOLUSDT,fixed_risk_0_5pct,both
2020-12-14 15:08:00+00:00,944.7811905562849,SOLUSDT,fixed_risk_0_5pct,both
2020-12-16 03:28:00+00:00,939.6783895626655,SOLUSDT,fixed_risk_0_5pct,both
2020-12-16 06:25:00+00:00,950.737230294248,SOLUSDT,fixed_risk_0_5pct,both
2020-12-17 07:24:00+00:00,958.9052654245987,SOLUSDT,fixed_risk_0_5pct,both
2020-12-19 20:45:00+00:00,960.1919551533462,SOLUSDT,fixed_risk_0_5pct,both
2020-12-29 06:00:00+00:00,958.6439228020079,SOLUSDT,fixed_risk_0_5pct,both
2021-01-03 21:15:00+00:00,965.0659492358207,SOLUSDT,fixed_risk_0_5pct,both
2021-01-04 09:33:00+00:00,960.1022816464994,SOLUSDT,fixed_risk_0_5pct,both
2021-01-04 10:16:00+00:00,955.1912969157955,SOLUSDT,fixed_risk_0_5pct,both
2021-01-04 12:28:00+00:00,963.3776192916564,SOLUSDT,fixed_risk_0_5pct,both
2021-01-05 09:01:00+00:00,970.698309879969,SOLUSDT,fixed_risk_0_5pct,both
2021-01-12 18:02:00+00:00,965.5771275581177,SOLUSDT,fixed_risk_0_5pct,both
2021-01-13 07:37:00+00:00,976.3729171568247,SOLUSDT,fixed_risk_0_5pct,both
2021-01-13 08:03:00+00:00,979.2983618616453,SOLUSDT,fixed_risk_0_5pct,both
2021-01-14 22:15:00+00:00,980.1180460985689,SOLUSDT,fixed_risk_0_5pct,both
2021-01-16 15:41:00+00:00,983.5170748976923,SOLUSDT,fixed_risk_0_5pct,both
2021-01-17 10:45:00+00:00,990.5155038387365,SOLUSDT,fixed_risk_0_5pct,both
2021-01-17 11:56:00+00:00,985.1570952489468,SOLUSDT,fixed_risk_0_5pct,both
2021-01-17 12:03:00+00:00,987.6742920432658,SOLUSDT,fixed_risk_0_5pct,both
2021-01-26 03:18:00+00:00,997.4159653196285,SOLUSDT,fixed_risk_0_5pct,both
