time,equity,symbol,sizing_mode,side_scope
2020-12-01 05:24:00+00:00,993.4519732986337,SOLUSDT,fixed_1x,short_only
2020-12-29 06:00:00+00:00,988.4140970784404,SOLUSDT,fixed_1x,short_only
2021-01-12 18:02:00+00:00,965.1564744446301,SOLUSDT,fixed_1x,short_only
2021-01-13 08:03:00+00:00,972.6772791734013,SOLUSDT,fixed_1x,short_only
2021-01-17 11:56:00+00:00,955.6537146413921,SOLUSDT,fixed_1x,short_only
2021-01-17 12:03:00+00:00,963.8272096809245,SOLUSDT,fixed_1x,short_only
2021-01-26 03:18:00+00:00,995.9347302272472,SOLUSDT,fixed_1x,short_only
2021-01-26 20:03:00+00:00,976.9045222998534,SOLUSDT,fixed_1x,short_only
2021-02-07 20:02:00+00:00,1005.3476996354171,SOLUSDT,fixed_1x,short_only
2021-04-01 04:05:00+00:00,996.1008458160117,SOLUSDT,fixed_1x,short_only
2021-04-21 14:31:00+00:00,975.6388326366804,SOLUSDT,fixed_1x,short_only
2021-04-23 00:48:00+00:00,1038.7511202972844,SOLUSDT,fixed_1x,short_only
2021-04-25 22:43:00+00:00,1003.1569632092828,SOLUSDT,fixed_1x,short_only
2021-05-12 21:58:00+00:00,976.5944258443421,SOLUSDT,fixed_1x,short_only
2021-05-31 15:37:00+00:00,959.0948384495301,SOLUSDT,fixed_1x,short_only
2021-06-25 04:52:00+00:00,976.5310414932557,SOLUSDT,fixed_1x,short_only
2021-07-04 16:47:00+00:00,987.1038724941116,SOLUSDT,fixed_1x,short_only
2021-11-20 21:26:00+00:00,973.5678320056073,SOLUSDT,fixed_1x,short_only
2021-12-27 13:07:00+00:00,965.6117560425039,SOLUSDT,fixed_1x,short_only
2022-03-29 20:52:00+00:00,975.7943340809389,SOLUSDT,fixed_1x,short_only
2022-07-06 04:19:00+00:00,962.4937465389387,SOLUSDT,fixed_1x,short_only
2022-07-06 05:33:00+00:00,978.6541475715829,SOLUSDT,fixed_1x,short_only
2022-09-08 10:18:00+00:00,971.9829360406187,SOLUSDT,fixed_1x,short_only
2022-09-08 10:47:00+00:00,964.2765254090632,SOLUSDT,fixed_1x,short_only
2022-12-15 06:59:00+00:00,976.6914462441125,SOLUSDT,fixed_1x,short_only
2023-01-28 02:00:00+00:00,985.1200880259206,SOLUSDT,fixed_1x,short_only
2023-02-19 05:54:00+00:00,980.7368589568374,SOLUSDT,fixed_1x,short_only
2023-06-30 17:18:00+00:00,963.2238670368707,SOLUSDT,fixed_1x,short_only
2023-07-06 18:56:00+00:00,952.3547979120989,SOLUSDT,fixed_1x,short_only
2023-08-06 17:55:00+00:00,955.0464318043325,SOLUSDT,fixed_1x,short_only
2024-01-14 14:47:00+00:00,949.753376163829,SOLUSDT,fixed_1x,short_only
2024-01-14 15:30:00+00:00,945.890509491624,SOLUSDT,fixed_1x,short_only
2024-01-17 22:24:00+00:00,955.2471155007169,SOLUSDT,fixed_1x,short_only
2024-02-19 06:38:00+00:00,957.4521321906866,SOLUSDT,fixed_1x,short_only
2024-02-19 08:37:00+00:00,962.825047431,SOLUSDT,fixed_1x,short_only
2024-06-26 20:14:00+00:00,965.1529043435381,SOLUSDT,fixed_1x,short_only
2024-08-07 02:30:00+00:00,957.5212437056631,SOLUSDT,fixed_1x,short_only
2024-09-12 14:34:00+00:00,953.8063500925924,SOLUSDT,fixed_1x,short_only
2024-09-24 20:30:00+00:00,948.6810968371999,SOLUSDT,fixed_1x,short_only
2024-10-16 11:17:00+00:00,945.220113802535,SOLUSDT,fixed_1x,short_only
2024-10-19 14:41:00+00:00,942.7132257835267,SOLUSDT,fixed_1x,short_only
2024-10-19 14:47:00+00:00,940.123531374513,SOLUSDT,fixed_1x,short_only
2024-10-29 17:47:00+00:00,945.9263213278782,SOLUSDT,fixed_1x,short_only
2024-11-10 14:36:00+00:00,952.838839042856,SOLUSDT,fixed_1x,short_only
2024-11-29 11:26:00+00:00,949.4353533601989,SOLUSDT,fixed_1x,short_only
2024-11-29 11:34:00+00:00,946.3719764896719,SOLUSDT,fixed_1x,short_only
2024-11-29 21:15:00+00:00,946.2249360784238,SOLUSDT,fixed_1x,short_only
2024-12-17 18:45:00+00:00,940.9691810331122,SOLUSDT,fixed_1x,short_only
2024-12-24 07:08:00+00:00,944.3501833948831,SOLUSDT,fixed_1x,short_only
2025-04-17 18:12:00+00:00,939.2850359013242,SOLUSDT,fixed_1x,short_only
2025-07-08 19:53:00+00:00,942.5210350798615,SOLUSDT,fixed_1x,short_only
2025-07-27 16:31:00+00:00,939.6311509117248,SOLUSDT,fixed_1x,short_only
2025-09-07 22:19:00+00:00,937.3011868102034,SOLUSDT,fixed_1x,short_only
2025-10-13 07:29:00+00:00,933.2779606592653,SOLUSDT,fixed_1x,short_only
2025-10-13 07:48:00+00:00,939.8984189331777,SOLUSDT,fixed_1x,short_only
2025-10-28 14:37:00+00:00,942.0653179870426,SOLUSDT,fixed_1x,short_only
2025-12-20 00:08:00+00:00,946.3663089055611,SOLUSDT,fixed_1x,short_only
2026-01-12 01:00:00+00:00,943.1049208571585,SOLUSDT,fixed_1x,short_only
2026-01-12 02:15:00+00:00,939.3121803620372,SOLUSDT,fixed_1x,short_only
2026-03-10 03:45:00+00:00,942.7429928485091,SOLUSDT,fixed_1x,short_only
2026-05-04 02:00:00+00:00,940.0268602396816,SOLUSDT,fixed_1x,short_only
