candidate,trend_regime,volatility_regime,event_count,mean_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_reversion_rate_32
FB1_FAILED_BREAKOUT_REVERSION,weak_or_range,high_vol,19055,-5.86425039537759e-05,0.4678562057202834,0.4988716872212018,0.4241406454998688
FB1_FAILED_BREAKOUT_REVERSION,weak_or_range,low_vol,13086,-0.00043107263176920727,0.49067563436258027,0.49212778966676857,0.5936879107443069
FB1_FAILED_BREAKOUT_REVERSION,weak_or_range,mid_vol,12806,-0.000162051746260123,0.4928521209280525,0.48707132255292557,0.5447446509448696
FB1_FAILED_BREAKOUT_REVERSION,weak_or_range,unknown,3,-0.0012115808403693935,0.3333333333333333,0.6666666666666666,0.3333333333333333
MR1_SHORT_TERM_DEVIATION_REVERSION,weak_or_range,high_vol,63613,2.7984464674677254e-05,0.45723358433024697,0.49999213997138947,0.40710232185245154
MR1_SHORT_TERM_DEVIATION_REVERSION,weak_or_range,low_vol,31447,-0.0007155018553675753,0.5040394402035624,0.4763358778625954,0.6433682068241804
MR1_SHORT_TERM_DEVIATION_REVERSION,weak_or_range,mid_vol,33739,0.00016765882229125223,0.49552300759013285,0.4819437855787476,0.574942944367053
MR1_SHORT_TERM_DEVIATION_REVERSION,weak_or_range,unknown,13,-0.00018827678707854768,0.6153846153846154,0.3076923076923077,0.8461538461538461
