time,equity,candidate_id
2020-01-01 00:00:00+00:00,1000.0,D3
2020-01-05 09:00:00+00:00,997.3158661614139,D3
2020-01-06 13:55:00+00:00,992.5102474690212,D3
2020-01-07 13:15:00+00:00,1005.4772593262562,D3
2020-01-08 02:58:00+00:00,993.9801731526746,D3
2020-01-11 05:15:00+00:00,985.7041635810207,D3
2020-01-11 21:46:00+00:00,979.6785506396287,D3
2020-01-11 21:54:00+00:00,971.6325510761387,D3
2020-01-13 00:24:00+00:00,966.8375684251449,D3
2020-01-14 09:48:00+00:00,960.8930187338594,D3
2020-01-15 04:00:00+00:00,969.6445028909698,D3
2020-01-15 04:15:00+00:00,995.0150726490634,D3
2020-01-17 14:30:00+00:00,985.7426838145495,D3
2020-01-18 04:45:00+00:00,986.6103346280653,D3
2020-01-19 06:45:00+00:00,984.5926561145577,D3
2020-01-22 07:36:00+00:00,979.7741244539225,D3
2020-01-27 09:00:00+00:00,977.6086702603334,D3
2020-01-28 17:30:00+00:00,980.4228410838581,D3
2020-01-29 10:15:00+00:00,975.48427990134,D3
2020-01-30 23:39:00+00:00,966.4360605391396,D3
2020-02-02 22:15:00+00:00,974.0973545851351,D3
2020-02-06 00:30:00+00:00,974.9125183149266,D3
2020-02-06 13:48:00+00:00,968.2097442647434,D3
2020-02-06 23:00:00+00:00,982.8970286528217,D3
2020-02-12 08:03:00+00:00,976.9265869259809,D3
2020-02-13 08:00:00+00:00,1023.4225255953944,D3
2020-02-15 02:00:00+00:00,1015.6221364260136,D3
2020-02-19 17:46:00+00:00,1005.4397034516851,D3
2020-02-23 11:00:00+00:00,1008.4367096192773,D3
2020-02-23 12:00:00+00:00,1013.46449638183,D3
2020-03-05 15:00:00+00:00,1018.2151494753109,D3
2020-03-20 01:30:00+00:00,1128.0320692454243,D3
2020-03-20 13:22:00+00:00,1107.0839889258295,D3
2020-03-20 16:30:00+00:00,1099.1678518568847,D3
2020-03-24 12:19:00+00:00,1064.8498783569855,D3
2020-03-27 05:15:00+00:00,1055.3801097856817,D3
2020-03-30 23:08:00+00:00,1041.4536589392565,D3
2020-03-31 23:59:00+00:00,1034.0593929619824,D3
2020-04-02 20:30:00+00:00,1025.6883651758478,D3
2020-04-07 14:15:00+00:00,1105.9679398052206,D3
2020-04-12 22:16:00+00:00,1096.4695720547634,D3
2020-04-17 23:43:00+00:00,1082.047933746348,D3
2020-04-19 05:15:00+00:00,1099.9940868840868,D3
2020-04-23 06:15:00+00:00,1100.1899521471773,D3
2020-04-23 23:15:00+00:00,1110.7152261329186,D3
2020-04-25 08:46:00+00:00,1106.6185243837735,D3
2020-04-25 21:45:00+00:00,1115.6340924493252,D3
2020-04-26 15:08:00+00:00,1110.9424413779063,D3
2020-04-30 09:15:00+00:00,1182.841031434601,D3
2020-05-01 12:32:00+00:00,1171.2641836367773,D3
2020-05-01 13:30:00+00:00,1162.777772558771,D3
2020-05-03 06:10:00+00:00,1154.4842432908267,D3
2020-05-03 06:11:00+00:00,1147.475010512171,D3
2020-05-05 10:01:00+00:00,1138.5611392682692,D3
2020-05-06 23:56:00+00:00,1129.844317765183,D3
2020-05-08 05:30:00+00:00,1123.155629752989,D3
2020-05-14 16:45:00+00:00,1139.2366064714145,D3
2020-05-15 02:45:00+00:00,1153.237439506979,D3
2020-05-17 22:15:00+00:00,1150.961907240764,D3
2020-05-18 09:00:00+00:00,1178.27858322958,D3
2020-05-29 05:15:00+00:00,1200.812460815486,D3
2020-05-29 08:30:00+00:00,1205.899046745534,D3
2020-05-30 20:15:00+00:00,1204.3773169791584,D3
2020-05-31 03:43:00+00:00,1195.2542423066052,D3
