time,equity
2020-01-01 00:00:00+00:00,1000.0
2020-01-05 09:00:00+00:00,994.6317323228278
2020-01-07 13:15:00+00:00,1020.5657560372975
2020-01-11 05:15:00+00:00,1004.0137368939897
2020-01-11 21:46:00+00:00,991.9625110112058
2020-01-15 04:15:00+00:00,1042.7036505273932
2020-01-18 04:45:00+00:00,1044.4389521544247
2020-01-19 06:45:00+00:00,1040.4035951274097
2020-01-27 09:00:00+00:00,1041.382589929065
2020-01-28 17:30:00+00:00,1047.0109315761144
2020-01-29 10:15:00+00:00,1037.1338092110782
2020-02-06 00:30:00+00:00,1038.7641366706612
2020-02-06 13:48:00+00:00,1025.3585885702948
2020-02-12 08:03:00+00:00,1013.4177051166129
2020-02-23 11:00:00+00:00,1019.411717451797
2020-03-05 15:00:00+00:00,1028.9130236387584
2020-03-20 01:30:00+00:00,1139.4965755493135
2020-03-20 16:30:00+00:00,1123.6643014114238
2020-03-24 12:19:00+00:00,1089.5357995947618
2020-03-30 23:08:00+00:00,1061.6828979019115
2020-04-02 20:30:00+00:00,1044.9408423296422
2020-04-12 22:16:00+00:00,1025.9441068287285
2020-04-17 23:43:00+00:00,1014.6095214129781
2020-04-23 23:15:00+00:00,1035.6600693844605
2020-04-25 08:46:00+00:00,1027.4666658861706
2020-04-26 15:08:00+00:00,1018.0833637433326
2020-04-30 09:15:00+00:00,1105.7680462250944
2020-05-01 13:30:00+00:00,1088.7952240690818
2020-05-03 06:10:00+00:00,1072.208165533193
2020-05-05 10:01:00+00:00,1054.38042304539
2020-05-06 23:56:00+00:00,1036.9467800392172
2020-05-15 02:45:00+00:00,1064.9484461103457
2020-05-17 22:15:00+00:00,1060.3973815779157
2020-05-29 08:30:00+00:00,1070.5705534380118
2020-05-30 20:15:00+00:00,1067.5270939052605
2020-05-31 03:43:00+00:00,1049.280944560154
2020-06-02 14:48:00+00:00,1039.404506797913
2020-06-09 00:00:00+00:00,1030.547752058748
2020-06-09 00:22:00+00:00,1017.2711445763582
2020-06-09 22:01:00+00:00,1008.8828957122114
2020-06-10 18:52:00+00:00,997.9233115265506
2020-06-16 14:42:00+00:00,984.6790851275188
2020-06-30 01:08:00+00:00,976.6789293763409
2020-07-02 06:00:00+00:00,973.5586987382956
2020-07-07 06:30:00+00:00,979.3803665929754
2020-07-09 00:30:00+00:00,975.2419519475613
2020-07-22 05:00:00+00:00,976.3364471199501
2020-07-23 14:30:00+00:00,980.7536103172094
2020-07-24 22:09:00+00:00,973.9898704299591
2020-07-26 01:45:00+00:00,969.8159600116536
2020-07-26 19:45:00+00:00,971.9021782708791
2020-07-28 08:15:00+00:00,1039.3320359785707
2020-07-29 14:55:00+00:00,1023.1562354654504
2020-07-31 13:32:00+00:00,1012.6726315399306
2020-08-06 21:45:00+00:00,1033.3179366454199
2020-08-10 10:29:00+00:00,1021.2741246896489
