time,equity,candidate_id
2020-01-01 00:00:00+00:00,1000.0,C3
2020-01-05 09:00:00+00:00,997.3158661614139,C3
2020-01-08 02:58:00+00:00,985.7072064031767,C3
2020-01-11 05:15:00+00:00,977.6415019757261,C3
2020-01-11 21:46:00+00:00,971.7690084075758,C3
2020-01-15 04:00:00+00:00,980.9624713712072,C3
2020-01-15 04:15:00+00:00,1005.6883389590943,C3
2020-01-17 14:30:00+00:00,995.9476639142522,C3
2020-01-19 06:45:00+00:00,993.9845245950747,C3
2020-01-27 09:00:00+00:00,991.6425126255648,C3
2020-01-28 17:30:00+00:00,994.3806145370231,C3
2020-01-29 10:15:00+00:00,989.5755459531727,C3
2020-02-02 22:15:00+00:00,997.8724460841565,C3
2020-02-06 00:30:00+00:00,998.6655753952969,C3
2020-02-06 23:00:00+00:00,1014.5713650741221,C3
2020-02-13 08:00:00+00:00,1064.9247593336866,C3
2020-02-15 02:00:00+00:00,1056.4772242916154,C3
2020-02-23 11:00:00+00:00,1059.4661508827467,C3
2020-03-05 15:00:00+00:00,1064.2039967737187,C3
2020-03-20 01:30:00+00:00,1114.3529708636404,C3
2020-03-27 05:15:00+00:00,1103.2316189209075,C3
2020-04-02 20:30:00+00:00,1095.2907131645852,C3
2020-04-07 14:15:00+00:00,1190.9568767629376,C3
2020-04-12 22:16:00+00:00,1181.9465562775367,C3
2020-04-17 23:43:00+00:00,1166.1382357673608,C3
2020-04-19 05:15:00+00:00,1187.5239945978246,C3
2020-04-23 06:15:00+00:00,1187.757399899093,C3
2020-04-23 23:15:00+00:00,1197.741861892957,C3
2020-04-25 21:45:00+00:00,1190.507141110741,C3
2020-04-26 15:08:00+00:00,1186.0210668901013,C3
2020-04-30 09:15:00+00:00,1260.5379086935425,C3
2020-05-03 06:10:00+00:00,1243.2276652543685,C3
2020-05-05 10:01:00+00:00,1234.5715120443917,C3
2020-05-06 23:56:00+00:00,1226.106711468956,C3
2020-05-08 05:30:00+00:00,1218.2008682433295,C3
2020-05-14 16:45:00+00:00,1237.2081355308824,C3
2020-05-15 02:45:00+00:00,1250.8041761856164,C3
2020-05-17 22:15:00+00:00,1248.594434156408,C3
2020-05-18 09:00:00+00:00,1280.881985529577,C3
2020-05-29 05:15:00+00:00,1307.516402194676,C3
2020-05-29 08:30:00+00:00,1312.4559246447375,C3
2020-05-30 20:15:00+00:00,1307.919229234917,C3
2020-05-31 03:43:00+00:00,1299.1122047994547,C3
2020-05-31 03:45:00+00:00,1348.480583020974,C3
2020-06-02 14:46:00+00:00,1335.8355001391426,C3
2020-06-09 00:00:00+00:00,1331.6276626637195,C3
2020-06-09 00:22:00+00:00,1325.3199564941178,C3
2020-06-09 00:23:00+00:00,1316.1430637556073,C3
2020-06-10 18:52:00+00:00,1300.3434329436107,C3
2020-06-23 01:45:00+00:00,1298.171858661174,C3
2020-06-24 07:25:00+00:00,1289.413743206797,C3
2020-07-02 06:00:00+00:00,1287.8864854075093,C3
2020-07-07 06:30:00+00:00,1282.5383991151905,C3
2020-07-09 00:30:00+00:00,1280.512771276392,C3
2020-07-20 11:00:00+00:00,1279.6249190279818,C3
2020-07-22 05:00:00+00:00,1280.1606410569664,C3
2020-07-22 08:00:00+00:00,1281.4596903076501,C3
2020-07-23 05:15:00+00:00,1328.7614930757695,C3
2020-07-23 14:30:00+00:00,1330.9235598350294,C3
2020-07-24 22:09:00+00:00,1327.612915304717,C3
2020-07-26 01:45:00+00:00,1325.5699133669245,C3
2020-07-26 19:45:00+00:00,1326.5910536212918,C3
2020-07-27 08:00:00+00:00,1396.5900454327493,C3
2020-07-28 08:15:00+00:00,1400.5012868625022,C3
2020-07-31 01:30:00+00:00,1409.5794197337666,C3
2020-08-06 21:45:00+00:00,1419.3575658412683,C3
2020-08-09 06:00:00+00:00,1407.1652714190222,C3
2020-08-10 10:29:00+00:00,1401.4610131194684,C3
2020-08-14 07:15:00+00:00,1395.859897149511,C3
2020-08-14 14:15:00+00:00,1420.9926905885593,C3
2020-08-15 12:21:00+00:00,1415.5055718393803,C3
2020-08-17 23:30:00+00:00,1397.4335157517023,C3
2020-08-17 23:45:00+00:00,1392.7678199552704,C3
2020-08-24 15:45:00+00:00,1385.7527508885298,C3
2020-08-30 22:00:00+00:00,1384.6209621654102,C3
2020-08-31 06:15:00+00:00,1405.9708867554846,C3
