label,period,trade_count,total_return_pct,net_pnl,profit_factor,max_drawdown_pct,win_rate_pct,avg_win,avg_loss,payoff_ratio,avg_mae_atr,avg_mfe_atr,longest_drawdown_duration,top_1_profit_contribution,top_3_profit_contribution,top_5_profit_contribution,top_10_profit_contribution
B0,2024Q1,51,5.714754805029876,37.024804775649194,1.042265478376335,-32.62679578222494,31.372549019607842,57.064413653498015,-25.028737533723397,2.279955733948233,-1.890735735255164,5.169796046774496,69194,594.4457986904129,1151.5325680344424,1594.7508095729927,2298.910772475567
B0,2024Q2,35,10.474748060998262,154.75013600443108,1.2562800753670382,-20.982634817400836,28.57142857142857,75.85822356430846,-24.15328398554614,3.140700188417596,-2.154845718713781,5.566366493719215,60336,236.68797371403815,390.4067155561072,437.8091860946273,490.19810594632594
B0,2024Q3,42,-29.219446507279866,-366.0581340082544,0.4476556067043975,-34.781272285222485,23.809523809523807,29.667717832856916,-20.710478510525736,1.4324979414540722,-2.0890642017967678,3.928169108577696,132360,0.0,0.0,0.0,0.0
B0,2024Q4,44,3.778078370389193,31.196228077314785,1.049212248836227,-27.118551125601243,34.090909090909086,44.34053904633134,-21.859029573022593,2.0284770144167052,-1.9756276531459442,4.671905059547065,71456,497.612344203983,964.7372984959063,1373.8072841411722,1973.5549335247426
B0,2025Q1,31,-18.48222633924841,-158.3766066313405,0.5942972490222705,-38.26419322197873,29.03225806451613,25.777707502915323,-17.744362461708114,1.452726608721106,-1.8767002966807005,4.171804585788438,85437,0.0,0.0,0.0,0.0
B0,2025Q2,53,-26.634822399179335,-190.1935589930822,0.747493514966704,-42.56672128906986,16.9811320754717,62.55876817360401,-17.11869255807996,3.6544127398372197,-2.253063108209607,4.653278220458295,69372,0.0,0.0,0.0,0.0
B0,2025Q3,44,49.45248446141684,257.16968704156636,1.5723824757643559,-24.188676901879212,36.36363636363637,44.15416333522994,-16.046318797218312,2.751669332587623,-1.9865527075327185,5.560413813259797,56332,40.24439553163832,108.49247842449017,156.12478926847155,233.8368586582123
B0,2025Q4,33,-20.448226341228416,-156.53374017585315,0.6589209011887511,-29.541295416167657,24.242424242424242,37.800378820704985,-18.357470829659725,2.059127816214847,-2.0809654751386435,4.384031517553751,129412,0.0,0.0,0.0,0.0
B0,2026Q1,35,-11.836081189548874,-82.91688511535274,0.7666873911745319,-28.478023906290495,25.71428571428571,30.274751046311305,-13.668832482005941,2.2148746856153143,-2.0796765287165844,5.034521507817079,110638,0.0,0.0,0.0,0.0
B0,2026Q2,33,-21.999181354342447,-107.78316641560798,0.6025626250009841,-35.7645085819295,21.21212121212121,23.344597079680963,-10.43059022974518,2.2380897500036556,-2.110244771081868,4.603576546229402,84184,0.0,0.0,0.0,0.0
B1,2024Q1,43,6.624114900673783,45.94530955660567,1.059486017804274,-32.93643906058733,37.2093023255814,51.14480559435714,-28.606354813078088,1.7878826550447122,-1.8949292551306443,5.0782896375762245,69212,472.9510581583671,888.9984985605028,1206.7667584600804,1684.2148938210692
B1,2024Q2,30,21.296960488989214,274.12931455644105,1.5411035221747453,-18.329705360840986,30.0,86.74898915550438,-24.124361325861827,3.5959082184077396,-2.1083054584628638,5.898438899269892,55431,148.65814690127837,239.5689771645475,266.94460966242184,284.80752000669054
B1,2024Q3,31,-19.669231910865705,-282.28904028394834,0.5036699988883796,-24.47452556270957,29.03225806451613,31.82929822398158,-25.852396559081015,1.231193330616039,-2.108120266436813,4.099782279807165,132360,0.0,0.0,0.0,0.0
B1,2024Q4,38,10.733077094414512,111.38632678709675,1.1648230055519246,-18.672716526511923,36.84210526315789,56.22713524515531,-28.158065276878236,1.9968394380890138,-1.9245685073324463,4.925509648226909,71456,177.35508780421537,341.0457453071471,462.5504137547973,655.5874630172652
B1,2025Q1,26,-16.65877241287457,-191.43793322223448,0.5773153768990491,-32.18955321308263,26.923076923076923,37.353098514564365,-23.837348569693948,1.566998880154562,-1.8978555602636737,3.997221078287601,85437,0.0,0.0,0.0,0.0
B1,2025Q2,36,15.78888963186511,151.21556065760421,1.1859616212409265,-27.362955811146293,22.22222222222222,120.54627876819094,-29.041238195997266,4.150865674343243,-2.1554437462209077,6.209893337312296,69372,376.1270900571344,530.3206313221734,619.9988454274636,637.745365590477
