symbol,prototype,year,quarter,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
ETHUSDT,P4_BREAKOUT_TOP20,2020,2020Q1,10,1.0231452317802305,4.260893560481041,-0.07504093195059269,0.5,valid
ETHUSDT,P4_BREAKOUT_TOP20,2020,2020Q2,16,3.2839085159927035,2.9091400236215934,-0.18241752415968282,0.5,valid
ETHUSDT,P4_BREAKOUT_TOP20,2020,2020Q3,14,2.925959230402363,3.0291246097305455,-0.25067576088009613,0.5714285714285714,valid
ETHUSDT,P4_BREAKOUT_TOP20,2020,2020Q4,15,8.79634091346978,2.105134327767945,-0.2994493213734857,0.4,valid
ETHUSDT,P4_BREAKOUT_TOP20,2021,2021Q1,16,-1.105843457558744,0.8632785854247707,-1.09171343569683,0.25,valid
ETHUSDT,P4_BREAKOUT_TOP20,2021,2021Q2,9,5.016859369758843,6.213078439257721,-0.1996088952525067,0.4444444444444444,insufficient_sample
ETHUSDT,P4_BREAKOUT_TOP20,2021,2021Q3,20,0.351401579498925,1.037293651282711,-1.0346769421130613,0.4,valid
ETHUSDT,P4_BREAKOUT_TOP20,2021,2021Q4,12,-0.7602690256169082,0.8897244561875448,-0.9827954119888219,0.4166666666666667,valid
ETHUSDT,P4_BREAKOUT_TOP20,2022,2022Q1,9,-1.1063969523375314,0.5663206932907188,-3.1793746347222713,0.3333333333333333,insufficient_sample
ETHUSDT,P4_BREAKOUT_TOP20,2022,2022Q2,5,-0.06403824971099556,0.8903378188845118,-0.32319182874683094,0.4,insufficient_sample
ETHUSDT,P4_BREAKOUT_TOP20,2022,2022Q3,9,-0.6422703200247732,0.7580876119954164,-0.8159909851555762,0.3333333333333333,insufficient_sample
ETHUSDT,P4_BREAKOUT_TOP20,2022,2022Q4,6,-0.710232535415691,0.21816695754671706,-0.7536318883804103,0.3333333333333333,insufficient_sample
ETHUSDT,P4_BREAKOUT_TOP20,2023,2023Q1,12,2.563334074180452,2.8853271672847343,-0.21237647547138538,0.5,valid
ETHUSDT,P4_BREAKOUT_TOP20,2023,2023Q2,19,-2.1331283080000616,0.38529333988208897,-1.6100805737134745,0.3157894736842105,valid
ETHUSDT,P4_BREAKOUT_TOP20,2023,2023Q3,12,-0.6127644814744803,0.6058953642355854,-0.7568769778832043,0.08333333333333333,valid
ETHUSDT,P4_BREAKOUT_TOP20,2023,2023Q4,21,-1.0604597933793893,0.6127344725776316,-1.4932305146427827,0.2857142857142857,valid
ETHUSDT,P4_BREAKOUT_TOP20,2024,2024Q1,16,1.0483237722684084,1.6306509458063938,-0.47447958726649897,0.5,valid
ETHUSDT,P4_BREAKOUT_TOP20,2024,2024Q2,11,1.9411242296482791,1.9365580168431684,-0.2862262372582076,0.36363636363636365,valid
ETHUSDT,P4_BREAKOUT_TOP20,2024,2024Q3,13,-1.751348675373345,0.18132622007084753,-1.7566427839612657,0.3076923076923077,valid
ETHUSDT,P4_BREAKOUT_TOP20,2024,2024Q4,17,1.5724037771535084,1.6227381185448049,-0.2853070736093418,0.4117647058823529,valid
