symbol,prototype,invalid_trade_count,invalid_total_return,invalid_max_drawdown,invalid_profit_factor,invalid_win_rate,invalid_liquidation_count,realistic_trade_count,realistic_total_return,realistic_max_drawdown,realistic_profit_factor,realistic_win_rate,realistic_liquidation_count,trade_count_delta,return_delta,drawdown_delta,profit_factor_delta,win_rate_delta,liquidation_count_delta
BNBUSDT,P4_BREAKOUT_TOP20,318,1400603.41409297,-0.1861193460272252,2.344634475131586,0.6194968553459119,0,323,3.0469509668186454,-0.41989255304043405,1.1958590597791015,0.33126934984520123,0,5,-1400600.3671420033,-0.23377320701320883,-1.1487754153524847,-0.2882275055007107,0
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,379,714109.141761591,-0.2416769131951577,2.2772937223803464,0.5804749340369393,0,389,2.535247769550021,-0.4701110824200925,1.1498313741993178,0.3264781491002571,0,10,-714106.6065138214,-0.22843416922493479,-1.1274623481810286,-0.2539967849366822,0
BTCUSDT,P4_BREAKOUT_TOP20,340,5127370.81643757,-0.1794314730749823,3.1972150510114035,0.6352941176470588,0,349,2.6769763035657057,-0.3126940100602662,1.262662523038318,0.38968481375358166,0,9,-5127368.139461267,-0.1332625369852839,-1.9345525279730855,-0.24560930389347713,0
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,373,9359669.149653863,-0.1849183687789193,2.6997456409380773,0.6327077747989276,0,386,2.215224824868689,-0.2988421032682883,1.2216558863802984,0.3860103626943005,0,13,-9359666.934429038,-0.11392373448936902,-1.478089754557779,-0.2466974121046271,0
ETHUSDT,P4_BREAKOUT_TOP20,334,3301640979.901668,-0.2070429430508592,2.932798225618233,0.6347305389221557,0,341,19.986163882790162,-0.3595351415213448,1.227933225568554,0.3841642228739003,0,7,-3301640959.915504,-0.1524921984704856,-1.704865000049679,-0.2505663160482554,0
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,410,11421435340.56988,-0.2070429430508591,2.9643057960435444,0.6170731707317073,0,420,10.722786052753563,-0.3715369966368893,1.178808384320007,0.38333333333333336,0,10,-11421435329.847094,-0.16449405358603023,-1.7854974117235374,-0.23373983739837395,0
SOLUSDT,P4_BREAKOUT_TOP20,262,494166845.0059315,-0.2801936762591717,2.319656157961115,0.6335877862595419,0,269,0.7528767505304799,-0.5633766469177244,1.076591887850267,0.3420074349442379,0,7,-494166844.25305474,-0.2831829706585527,-1.243064270110848,-0.291580351315304,0
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,420,413787035.2798056,-0.3903694784931739,2.412783717229525,0.5428571428571428,0,433,-0.49100536563961006,-0.7677424408257809,0.9013199914982061,0.34872979214780603,0,13,-413787035.77081096,-0.37737296233260703,-1.5114637257313186,-0.1941273507093368,0
