symbol,prototype,year,quarter,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
ETHUSDT,P4_BREAKOUT_TOP20,2020,,55,16.029353891645076,2.4017354046115,-0.19126777453496935,0.4909090909090909,valid
ETHUSDT,P4_BREAKOUT_TOP20,2021,,57,3.5021484660821147,1.1380566053806858,-1.09171343569683,0.3684210526315789,valid
ETHUSDT,P4_BREAKOUT_TOP20,2022,,29,-2.5229380574889917,0.6233598177980741,-4.4176301883946865,0.3448275862068966,valid
ETHUSDT,P4_BREAKOUT_TOP20,2023,,64,-1.2430185086734795,0.8637479399606617,-1.1405266297710572,0.296875,valid
ETHUSDT,P4_BREAKOUT_TOP20,2024,,57,2.8105031036968517,1.3346180241047474,-0.5784277420587527,0.40350877192982454,valid
ETHUSDT,P4_BREAKOUT_TOP20,2025,,57,2.5694758741878707,1.1167067743717778,-1.3277242058157608,0.42105263157894735,valid
ETHUSDT,P4_BREAKOUT_TOP20,2026,,22,-1.1593608866592682,0.7503706492798609,-2.934458788991372,0.3181818181818182,partial_year
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020,,67,10.742312715004752,2.1449710961778954,-0.17442545919085672,0.44776119402985076,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2021,,82,-1.0335758296159114,0.936074184143245,-1.4867538763229562,0.3902439024390244,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2022,,50,-0.5479559950786841,0.897986835551378,-1.2218174440586445,0.34,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2023,,67,-0.17689124181562077,0.9697864138306925,-0.8675870364912484,0.31343283582089554,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2024,,66,0.42129357157489306,1.050343743119081,-0.6707814655923557,0.3939393939393939,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2025,,64,1.9213989623596224,1.160773705732043,-1.1545059866122618,0.40625,valid
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2026,,24,-0.6037961296754792,0.7897707972271591,-1.066702839904636,0.375,partial_year
BTCUSDT,P4_BREAKOUT_TOP20,2020,,71,-0.1691761895687057,0.8233259570125745,-0.281764493237764,0.3380281690140845,valid
BTCUSDT,P4_BREAKOUT_TOP20,2021,,49,0.09595188704475004,1.2347233534063011,-0.09299544135359383,0.5102040816326531,valid
BTCUSDT,P4_BREAKOUT_TOP20,2022,,33,-0.021796035094829632,0.9275677337025157,-0.12481221535837517,0.3939393939393939,valid
BTCUSDT,P4_BREAKOUT_TOP20,2023,,56,0.4802819763237385,1.3261073820084235,-0.20689916354385818,0.3392857142857143,valid
