factor,horizon,q5_minus_q1,direction_consistency,monotonicity_violations,sample_sufficient,candidate_status
volatility_ratio_short_long,32,0.013509634914434809,0.75,1.0,True,candidate_for_validation
body_ratio,1,0.007421442501837608,1.0,0.0,True,candidate_for_validation
body_ratio,4,0.007372421108640422,1.0,0.0,True,candidate_for_validation
body_ratio,8,0.007499455996830622,1.0,0.0,True,candidate_for_validation
body_ratio,16,0.007388069231071385,1.0,0.0,True,candidate_for_validation
body_ratio,32,0.00977001091559073,1.0,0.0,True,candidate_for_validation
upper_shadow_ratio,1,-0.00495496214125362,1.0,0.0,True,candidate_for_validation
upper_shadow_ratio,4,-0.004024980920441507,1.0,0.0,True,candidate_for_validation
upper_shadow_ratio,8,-0.0037954047977149,1.0,0.0,True,candidate_for_validation
upper_shadow_ratio,16,-0.004622932888350048,0.75,1.0,True,candidate_for_validation
upper_shadow_ratio,32,-0.00786963871623575,0.75,1.0,True,candidate_for_validation
lower_shadow_ratio,1,-0.003924682499606792,0.75,1.0,True,candidate_for_validation
lower_shadow_ratio,4,-0.005018540352338547,0.75,1.0,True,candidate_for_validation
lower_shadow_ratio,8,-0.006327203483504521,1.0,0.0,True,candidate_for_validation
lower_shadow_ratio,16,-0.0050207455936521605,0.75,1.0,True,candidate_for_validation
lower_shadow_ratio,32,-0.005153046715192745,0.75,1.0,True,candidate_for_validation
close_location,1,0.00495496214125362,1.0,0.0,True,candidate_for_validation
close_location,4,0.004024980920441507,1.0,0.0,True,candidate_for_validation
close_location,8,0.0037954047977149,1.0,0.0,True,candidate_for_validation
close_location,16,0.004622932888350048,0.75,1.0,True,candidate_for_validation
close_location,32,0.00786963871623575,0.75,1.0,True,candidate_for_validation
bars_after_breakout,1,,,,False,invalid_or_sparse
bars_after_breakout,4,,,,False,invalid_or_sparse
bars_after_breakout,8,,,,False,invalid_or_sparse
bars_after_breakout,16,,,,False,invalid_or_sparse
bars_after_breakout,32,,,,False,invalid_or_sparse
pullback_depth_atr,1,0.0023030730923401877,0.75,1.0,True,candidate_for_validation
pullback_depth_atr,4,0.0015342820743600005,0.5,2.0,True,weak_candidate
pullback_depth_atr,8,0.0019291330513576625,0.5,2.0,True,weak_candidate
pullback_depth_atr,16,0.002142686360906732,0.75,1.0,True,candidate_for_validation
pullback_depth_atr,32,0.003781038388881444,0.75,1.0,True,candidate_for_validation
inside_bar_compression,1,0.007041872061801811,1.0,0.0,True,candidate_for_validation
inside_bar_compression,4,0.007501741227049744,1.0,0.0,True,candidate_for_validation
inside_bar_compression,8,0.007636394663729187,1.0,0.0,True,candidate_for_validation
inside_bar_compression,16,0.007250691528019054,1.0,0.0,True,candidate_for_validation
inside_bar_compression,32,0.007495440269927593,1.0,0.0,True,candidate_for_validation
